algorithm,original,reordered,model,size,column,value
random,"[36473 47495 39061 20993  2919 17965 39434 19478  9764 29866 25096 48219
 40905 38275 15709 46134 12114 27392 21316  3162 18055 35603 40263 35380
 38641 38379 27878 11028 25169 18390  8571 18691   574   998 41669    61
 11461 15553  4418 23356 33645 10009 14554 27906 22508 40678    85 18724
  4416 34354]","[36473 47495 39061 20993  2919 17965 39434 19478  9764 29866 25096 48219
 40905 38275 15709 46134 12114 27392 21316  3162 18055 35603 40263 35380
 38641 38379 27878 11028 25169 18390  8571 18691   574   998 41669    61
 11461 15553  4418 23356 33645 10009 14554 27906 22508 40678    85 18724
  4416 34354]",,50,workclass,State-gov
opt,"[47495  2919 18691 38379 18055 33645 27906  4418    61 11028 29866 41669
 17965 27878   998 35603 18390 27392 35380 48219 20993 25169 12114 39061
   574  8571 19478 18724 25096 38641 36473 21316 14554 11461 38275 15709
 40678    85 23356  9764  3162 34354  4416 39434 40905 10009 40263 46134
 15553 22508]","[47495, 2919, 18691, 38379, 18055, 33645, 27906, 4418, 61, 11028, 29866, 41669, 17965, 27878, 998, 35603, 18390, 27392, 35380, 48219, 20993, 25169, 12114, 39061, 574, 8571, 19478, 18724, 25096, 38641, 36473, 21316, 14554, 11461, 38275, 15709, 40678, 85, 23356, 9764, 3162, 34354, 4416, 39434, 40905, 10009, 40263, 46134, 15553, 22508]",,50,workclass,State-gov
warmup,"[   61 39434 19478 21316 34354 25169   574  2919 38641 40263 18724    85
 29866 18691 25096 11461 22508 48219 27878 10009 23356 14554  3162 36473
 41669 11028 38275   998 15709  4418 35603  9764 18390 38379 46134 35380
 47495 40905  4416 12114  8571 39061 17965 40678 15553 27392 18055 27906
 33645 20993]","[61, 34354, 34354, 34354, 40263, 18724, 29866, 22508, 23356, 23356, 4418, 8571, 15553, 27392, 39434, 19478, 21316, 25169, 574, 2919, 38641, 85, 18691, 25096, 11461, 48219, 27878, 10009, 14554, 3162, 36473, 41669, 11028, 38275, 998, 15709, 35603, 9764, 18390, 38379, 46134, 35380, 47495, 40905, 4416, 12114, 39061, 17965, 40678, 18055]",qwen2:7b,50,workclass,State-gov
bigraph,"[38275 47495 35603 18691  3162  4416 40263 11461 23356 38379 12114    85
 14554 36473 18390 17965 15709  4418 35380 25096 39434 20993 27906 41669
 40678 48219 40905 18724  9764 33645 39061 15553 22508  2919 25169  8571
 38641 27392 10009   998 34354 27878 19478 29866    61 11028 46134 18055
 21316   574]","[15709, 998, 27878, 39061, 18691, 27906, 38275, 27392, 19478, 36473, 48219, 46134, 47495, 38379, 40263, 4418, 21316, 33645, 40678, 23356, 9764, 574, 18724, 11028, 3162, 41669, 25096, 85, 35603, 4416, 11461, 12114, 14554, 18390, 17965, 35380, 39434, 20993, 40905, 15553, 22508, 2919, 25169, 8571, 38641, 10009, 34354, 29866, 61, 18055]",qwen2:7b,50,workclass,State-gov
random,"[23735 48066 11998  3548 14118 19835 42091 10299 39423 39073  4091  4654
 44450 33153 42476 41571 33167 36089 20071 26874 32862 27902 12346 15005
 37299 21844  2135 15258 32548 36445  6963 38108 43655 26342 41164 11863
 28733  8856 12000  8488 25314 46088  7700 47739  1810 42719  1299 19577
 47130 42469]","[23735 48066 11998  3548 14118 19835 42091 10299 39423 39073  4091  4654
 44450 33153 42476 41571 33167 36089 20071 26874 32862 27902 12346 15005
 37299 21844  2135 15258 32548 36445  6963 38108 43655 26342 41164 11863
 28733  8856 12000  8488 25314 46088  7700 47739  1810 42719  1299 19577
 47130 42469]",,50,workclass,State-gov
opt,"[48066 36089 26874 27902 37299 44450 33167  7700  1810 33153  1299 15258
 46088 26342  8856 14118 39423 10299 42469 25314 47130  8488 32862 42091
  3548 23735 11863 42476 32548 15005 47739 39073 38108  4654 42719 43655
 11998 19577  6963 28733 19835  2135 21844 12346 41164 20071  4091 12000
 36445 41571]","[47130, 43655, 48066, 36089, 26874, 27902, 37299, 44450, 33167, 7700, 1810, 33153, 1299, 15258, 46088, 26342, 8856, 14118, 39423, 10299, 42469, 25314, 8488, 32862, 42091, 3548, 23735, 11863, 42476, 32548, 15005, 47739, 39073, 38108, 4654, 42719, 11998, 19577, 6963, 28733, 19835, 2135, 21844, 12346, 41164, 20071, 4091, 12000, 36445, 41571]",,50,workclass,State-gov
warmup,"[47739  3548 48066 46088  7700 21844 43655 42476 28733 19577  1299 15258
  8856 32548 15005 33153  4654 39073 39423 42469 23735 41571 10299 11998
  8488 12346 25314 42091 41164 14118 26874 36089  4091 19835  6963 12000
 26342 33167 38108 11863 20071 36445 32862 27902 42719 47130 37299  1810
 44450  2135]","[3548, 3548, 8856, 23735, 41164, 33167, 38108, 26342, 47130, 42719, 47739, 48066, 46088, 7700, 21844, 43655, 42476, 28733, 19577, 1299, 15258, 32548, 15005, 33153, 4654, 39073, 39423, 42469, 41571, 10299, 11998, 8488, 12346, 25314, 42091, 14118, 26874, 36089, 4091, 19835, 6963, 12000, 11863, 20071, 36445, 32862, 27902, 37299, 1810]",qwen2:7b,50,workclass,State-gov
bigraph,"[41571 36089 47130 28733 42469  6963 15258 25314  4654 19835 26342 32862
 33153 11863  8856 11998 19577  8488 42719 42476 12000 39073 39423  2135
 21844 23735  1299 44450 46088  3548 42091 37299 47739 36445 48066  4091
 41164 27902 12346 15005 20071 26874 10299  1810  7700 43655 32548 14118
 33167 38108]","[43655, 47130, 4091, 42476, 2135, 46088, 8856, 3548, 39423, 15005, 48066, 19835, 42719, 26874, 26342, 1810, 41164, 11863, 10299, 42469, 33153, 8488, 36089, 19577, 21844, 42091, 32862, 6963, 11998, 44450, 36445, 25314, 37299, 47739, 12346, 27902, 32548, 7700, 39073, 4654, 14118, 41571, 23735, 1299, 28733, 15258, 12000, 20071, 33167, 38108]",qwen2:7b,50,workclass,State-gov
random,"[46299  3103  3302 41285 23098 40975 32379 45354 10263 13235 12093   462
 48536  8116 26856 26795  6884  7857 15560 27296 29991 12152   614 17700
  7247 43316 36127 18948  3834 31720 21361 18047 47720 16281 38132 23145
  9925 41647  7843 33497 42974 44311 10790 32866 38204 36483 15027 13885
 48841 33227]","[46299  3103  3302 41285 23098 40975 32379 45354 10263 13235 12093   462
 48536  8116 26856 26795  6884  7857 15560 27296 29991 12152   614 17700
  7247 43316 36127 18948  3834 31720 21361 18047 47720 16281 38132 23145
  9925 41647  7843 33497 42974 44311 10790 32866 38204 36483 15027 13885
 48841 33227]",,50,workclass,State-gov
opt,"[41285 47720   462  7857 12093  3103 16281 15027 48841 45354 44311   614
 43316 13885 21361 38204 12152  7843 32866 31720 23098 10263 46299 33227
 26795 38132 26856  8116  9925 40975  7247 13235 29991 18948 42974 10790
 15560 33497  6884 36127  3302 41647 48536 17700 32379 36483  3834 27296
 18047 23145]","[16281, 41285, 47720, 462, 7857, 12093, 3103, 15027, 48841, 45354, 44311, 614, 43316, 13885, 21361, 38204, 12152, 7843, 32866, 31720, 23098, 10263, 46299, 33227, 26795, 38132, 26856, 8116, 9925, 40975, 7247, 13235, 29991, 18948, 42974, 10790, 15560, 33497, 6884, 36127, 3302, 41647, 48536, 17700, 32379, 36483, 3834, 27296, 18047, 23145]",,50,workclass,State-gov
warmup,"[27296 38132  7857  6884 21361  3834 18948 23145   462  7843 44311 47720
 41647  8116 18047 10263 43316 32866 33497 12152 26795 15560 16281 13235
 13885 29991 10790 33227 41285  3302 23098  3103 48536 17700  7247 38204
 48841   614 12093 36483 31720  9925 15027 40975 32379 42974 45354 46299
 26856 36127]","[27296, 38132, 3834, 18948, 23145, 31720, 9925, 15027, 40975, 32379, 7857, 6884, 21361, 462, 7843, 44311, 47720, 41647, 8116, 18047, 10263, 43316, 32866, 33497, 12152, 26795, 15560, 16281, 13235, 13885, 29991, 10790, 33227, 41285, 3302, 23098, 3103, 48536, 17700, 7247, 38204, 48841, 614, 12093, 36483, 42974, 45354, 46299]",qwen2:7b,50,workclass,State-gov
bigraph,"[17700   462 23145 21361 26795 31720 10790 47720 32866  3834 38132 40975
 13235 41285 36483  6884  8116 38204  7247 13885 16281   614 27296  3302
 43316 44311 41647 12093 15027  9925 12152 23098 46299 33227  3103 18948
  7843  7857 48536 29991 33497 15560 42974 45354 36127 32379 10263 18047
 48841 26856]","[33497, 9925, 15560, 38132, 3302, 18047, 12093, 15027, 17700, 18948, 16281, 3834, 36127, 3103, 48536, 40975, 23145, 41285, 27296, 10263, 45354, 13885, 8116, 26795, 7843, 32379, 21361, 7857, 31720, 41647, 44311, 48841, 32866, 29991, 38204, 462, 23098, 36483, 47720, 12152, 6884, 26856, 43316, 10790, 46299, 13235, 42974, 33227, 7247, 614]",qwen2:7b,50,workclass,State-gov
random,"[29909 43330 38189 34742 20331 34385 34597 39888 24554 42211 12553 25545
 40413  2236  7952 11285 40302 14281 34998  1240 15961  2433 29284 48205
 38143  1665 33535 27402 20771 35015 25073  5459 19614 43310  5202   668
 14126  9359 15727 47384 10071  1996 34225 34890 35997 29338 27351 20388
 34245 23127]","[29909 43330 38189 34742 20331 34385 34597 39888 24554 42211 12553 25545
 40413  2236  7952 11285 40302 14281 34998  1240 15961  2433 29284 48205
 38143  1665 33535 27402 20771 35015 25073  5459 19614 43310  5202   668
 14126  9359 15727 47384 10071  1996 34225 34890 35997 29338 27351 20388
 34245 23127]",,50,workclass,State-gov
opt,"[23127 10071 35015 24554 39888 34225   668 25073 15961 20388 38189  2236
 47384 43310 43330 29338 33535 40413  1240 11285 34742 27351 27402 20771
  1665 34890 38143 34597 20331 35997 40302  9359  2433  7952 25545 29909
 14126 15727 42211 34385  5459  1996 19614 34998 48205 14281 29284  5202
 12553 34245]","[10071, 38143, 15727, 29284, 23127, 35015, 24554, 39888, 34225, 668, 25073, 15961, 20388, 38189, 2236, 47384, 43310, 43330, 29338, 33535, 40413, 1240, 11285, 34742, 27351, 27402, 20771, 1665, 34890, 34597, 20331, 35997, 40302, 9359, 2433, 7952, 25545, 29909, 14126, 42211, 34385, 5459, 1996, 19614, 34998, 48205, 14281, 5202, 12553, 34245]",,50,workclass,State-gov
warmup,"[20388 34998 29284 33535 43330  1996 25073 34245 35015  7952 39888 34385
 14126 38143 12553 25545 34742   668 19614 20771 15961 27351 48205  2236
 47384  9359 34890 43310 20331  1240 34597  5202 27402 35997 10071  1665
 29338 11285 40302 38189 29909 42211 14281 24554 15727  2433  5459 23127
 40413 34225]","[29284, 29284, 38143, 38143, 27351, 48205, 2236, 47384, 9359, 34890, 43310, 20331, 20331, 10071, 10071, 35997, 29909, 20388, 34998, 33535, 43330, 1996, 25073, 34245, 35015, 7952, 39888, 34385, 14126, 12553, 25545, 34742, 668, 19614, 20771, 15961, 1240, 34597, 5202, 27402, 1665, 29338, 11285, 40302, 38189, 42211, 14281, 24554, 15727, 2433]",qwen2:7b,50,workclass,State-gov
bigraph,"[34225 15961  1665 48205   668 38143 27351 42211 11285 35997  1240 15727
  1996 10071  7952 20388 20771  5202  5459 29284 20331 34742 35015 14126
 12553  2236 14281 47384 23127  9359 27402 29909 34998 25545 43310 34890
  2433 24554 38189 40413 25073 34385 34245 39888 33535 40302 43330 29338
 34597 19614]","[10071, 29284, 48205, 15727, 29909, 2236, 11285, 12553, 14126, 38189, 1996, 40302, 25073, 27402, 43310, 1665, 34597, 34890, 38143, 7952, 1240, 34245, 24554, 43330, 5459, 34998, 34385, 42211, 40413, 15961, 25545, 34225, 20331, 27351, 19614, 34742, 35997, 668, 39888, 33535, 20388, 35015, 5202, 2433, 20771, 14281, 47384, 23127, 9359, 29338]",qwen2:7b,50,workclass,State-gov
random,"[18094 33490 47437 33558 48362 19774 12283 44367 10784 40695  7421 22606
 28974 19667  6962 18159 17836 46121  6060 36601 23609  1054 33971 32635
 43041 36271 36531 17028 12240 16518  6698 29576 16707 43515 37035 22603
 38786 35527 22827 39317 27556 11718 48633  9393  9061 46685 35338  1527
 11629 23122]","[18094 33490 47437 33558 48362 19774 12283 44367 10784 40695  7421 22606
 28974 19667  6962 18159 17836 46121  6060 36601 23609  1054 33971 32635
 43041 36271 36531 17028 12240 16518  6698 29576 16707 43515 37035 22603
 38786 35527 22827 39317 27556 11718 48633  9393  9061 46685 35338  1527
 11629 23122]",,50,workclass,State-gov
opt,"[33490  9393 17836 16518  7421 44367  6060 33558 48633 18094 11718 35338
 16707 47437 33971 22603 17028 10784 27556 18159 43041 35527 48362 11629
 19667 22606 40695 22827 38786 36601 37035 46685 12283 23122 28974 19774
 39317  1054  1527 36271 46121 12240 36531 32635  6698 23609  9061 29576
  6962 43515]","[28974, 36531, 33490, 9393, 17836, 16518, 7421, 44367, 6060, 33558, 48633, 18094, 11718, 35338, 16707, 47437, 33971, 22603, 17028, 10784, 27556, 18159, 43041, 35527, 48362, 11629, 19667, 22606, 40695, 22827, 38786, 36601, 37035, 46685, 12283, 23122, 19774, 39317, 1054, 1527, 36271, 46121, 12240, 32635, 6698, 23609, 9061, 29576, 6962, 43515]",,50,workclass,State-gov
warmup,"[35338 11629  7421 19774 18094 19667 16518 37035  1054 43041 48362  1527
 48633  9393 23122  6698 23609 47437 46121 10784 38786 39317 29576 35527
 44367  6060 22603 27556 33971 22827 12240 16707 33490 18159 36601 32635
 12283 36271  6962 17028 22606 40695  9061 33558 43515 17836 11718 36531
 46685 28974]","[11629, 7421, 19774, 44367, 6060, 22603, 27556, 33490, 18159, 17028, 12283, 35338, 18094, 19667, 16518, 37035, 1054, 43041, 48362, 1527, 48633, 9393, 23122, 6698, 23609, 47437, 46121, 10784, 38786, 39317, 29576, 35527, 33971, 22827, 12240, 16707, 36601, 32635, 36271, 6962, 22606, 40695, 9061, 33558, 43515, 17836, 11718, 36531]",qwen2:7b,50,workclass,State-gov
bigraph,"[12240 17836  9393 22606  1527  6698 40695 36531 19667 12283 46121 46685
 37035 23609  6962 29576 33490 19774 18094 44367 18159 36601 22603 39317
  9061 11718 33558 28974  1054 43515 47437 32635 43041 23122  6060 48362
 48633 11629  7421 17028 22827 16518 33971 10784 35527 35338 38786 16707
 27556 36271]","[36531, 12283, 28974, 23122, 17028, 6962, 11629, 19774, 1054, 48362, 43515, 36601, 22606, 7421, 48633, 33971, 47437, 22603, 38786, 17836, 46121, 11718, 35527, 39317, 19667, 32635, 46685, 36271, 12240, 9061, 16518, 43041, 16707, 29576, 37035, 18159, 33490, 6060, 1527, 27556, 9393, 6698, 40695, 23609, 18094, 44367, 33558, 22827, 10784, 35338]",qwen2:7b,50,workclass,State-gov
random,"[14949 34268 22319 11332  6480 29689 44132 19845 18857 10284 31015    37
 45464 26974 45596 41543 11346  7048 18669  7691 21979 19268 48500 32378
 29979 30196 23395  6642 37861 15941 48807 37012 38078 24925 19078  6520
 19425  5694 10926 33752 48097  5103 23162 44707 25052 13932 14439 24445
 29470 42177]","[14949 34268 22319 11332  6480 29689 44132 19845 18857 10284 31015    37
 45464 26974 45596 41543 11346  7048 18669  7691 21979 19268 48500 32378
 29979 30196 23395  6642 37861 15941 48807 37012 38078 24925 19078  6520
 19425  5694 10926 33752 48097  5103 23162 44707 25052 13932 14439 24445
 29470 42177]",,50,workclass,State-gov
opt,"[19425 48097 18857 14439 23395 31015 30196  6642 32378 18669 24445 23162
  6480  7691  5103 19078 29470 37861    37 45464 13932 34268 11332 37012
 26974 48500 25052 10284 44707 21979  5694 14949 11346 24925 29689 19268
 41543 42177 44132 19845  6520 38078  7048 15941 29979 10926 22319 33752
 45596 48807]","[23162, 19425, 48097, 18857, 14439, 23395, 31015, 30196, 6642, 32378, 18669, 24445, 6480, 7691, 5103, 19078, 29470, 37861, 37, 45464, 13932, 34268, 11332, 37012, 26974, 48500, 25052, 10284, 44707, 21979, 5694, 14949, 11346, 24925, 29689, 19268, 41543, 42177, 44132, 19845, 6520, 38078, 7048, 15941, 29979, 10926, 22319, 33752, 45596, 48807]",,50,workclass,State-gov
