algorithm,original,reordered,model,size,column,value
random,"[12994   494 23118 25935 10142 12928 10725  8555 21181  6741 11029 12776
 22447 24150 18624  5216 24031  2722  4751 14185 14704 18854 23181 17683
  8997  4621  6967 14759 19588 15414 32189  2773 10202  6989  5396 27141
  4049   206  6052  6433  1867 30774  2151  4232 15207 28986  3043   339
 27601 21671 26764 24686   699  1251 17259  1596 22117 25072  9544 13929
 20925 27134 20900  9639 16519   864 22374   618 18303 27827  9522 18478
 24622 19191 13046 28239 15426 13300  5132 12344 28008 23030  2503 24952
  6360  1331 32203  6658  2961 11307 28330 15032 29872 21613 25572 20144
 25560  2777 17577 31448]","[12994   494 23118 25935 10142 12928 10725  8555 21181  6741 11029 12776
 22447 24150 18624  5216 24031  2722  4751 14185 14704 18854 23181 17683
  8997  4621  6967 14759 19588 15414 32189  2773 10202  6989  5396 27141
  4049   206  6052  6433  1867 30774  2151  4232 15207 28986  3043   339
 27601 21671 26764 24686   699  1251 17259  1596 22117 25072  9544 13929
 20925 27134 20900  9639 16519   864 22374   618 18303 27827  9522 18478
 24622 19191 13046 28239 15426 13300  5132 12344 28008 23030  2503 24952
  6360  1331 32203  6658  2961 11307 28330 15032 29872 21613 25572 20144
 25560  2777 17577 31448]",,100,code_module,DDD
opt,"[12928 12776 13300 14759  6989   206 14704 13929 23181 10202 31448  2961
 20144 27827 22374  8997 15414 28330  1331  6433  4621  1867 28239 32203
 21181 18624 23118 20900  6967  2773 25560  9522 15032   864 24150  9544
 24622 11029 22117 16519  9639 18854 23030 19191  6658 30774 12344 27601
  2503  4049  2777 24686   699   618 15426 20925   494  2722  1596 10725
 18478 22447  4232   339 17259 25935 12994 28008 15207 27134 25572 28986
 21613 21671 24952 10142  6360  2151 14185 25072 19588  3043 11307 27141
 18303  8555 29872  6052  5132 13046 17683  1251  5396  6741 26764 17577
 24031  5216 32189  4751]","[13300, 14759, 14704, 13929, 15414, 18624, 15032, 16519, 18854, 19191, 15426, 18478, 17259, 15207, 14185, 18303, 17683, 17577, 12928, 12776, 6989, 206, 23181, 10202, 31448, 2961, 20144, 27827, 22374, 8997, 28330, 1331, 6433, 4621, 1867, 28239, 32203, 21181, 23118, 20900, 6967, 2773, 25560, 9522, 864, 24150, 9544, 24622, 11029, 22117, 9639, 23030, 6658, 30774, 12344, 27601, 2503, 4049, 2777, 24686, 699, 618, 20925, 494, 2722, 1596, 10725, 22447, 4232, 339, 25935, 12994, 28008, 27134, 25572, 28986, 21613, 21671, 24952, 10142, 6360, 2151, 25072, 19588, 3043, 11307, 27141, 8555, 29872, 6052, 5132, 13046, 1251, 5396, 6741, 26764, 24031, 5216, 32189, 4751]",,100,code_module,DDD
warmup,"[27141 23181 28239 18478 22374 21181  1596  4049 23030  8997 27827  1331
   864   618 16519 18624 24622 24952  4232 11029 17577  4751  5216 27601
 26764  5132  6967 21613 28008  4621 12994  9522 15426  2961 28330 10142
 12928 22117 25072 13046 17683 10202  6658   339 25935  6360  6741 21671
  6433 10725 20900 20144 20925 12344 32189 18854 13929 24686  6989 25572
 15414 15207  1867 19191  2722   206 12776  2151  6052 28986 11307 19588
 24031  2773 14185  8555   699  1251 27134  3043 14704 23118 31448 14759
 15032  9639 17259 25560 32203 13300 22447 30774  5396  9544  2503 24150
 18303   494 29872  2777]","[18478, 16519, 18624, 17577, 15426, 17683, 18854, 13929, 15414, 15207, 19191, 14185, 14704, 14759, 15032, 17259, 13300, 18303, 27141, 23181, 28239, 22374, 21181, 1596, 4049, 23030, 8997, 27827, 1331, 864, 618, 24622, 24952, 4232, 11029, 4751, 5216, 27601, 26764, 5132, 6967, 21613, 28008, 4621, 12994, 9522, 2961, 28330, 10142, 12928, 22117, 25072, 13046, 10202, 6658, 339, 25935, 6360, 6741, 21671, 6433, 10725, 20900, 20144, 20925, 12344, 32189, 24686, 6989, 25572, 1867, 2722, 206, 12776, 2151, 6052, 28986, 11307, 19588, 24031, 2773, 8555, 699, 1251, 27134, 3043, 23118, 31448, 9639, 25560, 32203, 22447, 30774, 5396, 9544, 2503, 24150, 494, 29872, 2777]",gemma2:9b,100,code_module,DDD
bigraph,"[ 6741 18303 21181 13929 28986  2777 27827  5216 25560 32189  3043 11029
  8997 29872  4621 22374  2961 23181 28239 27134  1251 27601 22447 12344
 25072   699  6989  4232   864 10202 10142 20144 24686  1331 17259 24622
  8555 15207  5396 32203 10725 17683  2503   494 16519  2151  6360  2722
   206  6967 18854  9522 15426 25935   618 28330  6658  9544 14185 27141
 12994  4049 28008 24952 18478  4751 20900 21671 23030 13046 22117 21613
 23118 11307  9639 20925 30774 12776 17577 25572 13300 14759 26764  5132
  6433 19191  2773  1867 12928 18624 15032  6052 24150 19588 31448 15414
 24031  1596 14704   339]","[18303, 13929, 15207, 17683, 16519, 18854, 15426, 14185, 18478, 17577, 13300, 14759, 19191, 18624, 15032, 15414, 14704, 17259, 6967, 8997, 4232, 20925, 31448, 339, 6741, 21181, 28986, 2777, 27827, 5216, 25560, 32189, 3043, 11029, 29872, 4621, 22374, 2961, 23181, 28239, 27134, 1251, 27601, 22447, 12344, 25072, 699, 6989, 864, 10202, 10142, 20144, 24686, 1331, 24622, 8555, 5396, 32203, 10725, 2503, 494, 2151, 6360, 2722, 206, 9522, 25935, 618, 28330, 6658, 9544, 27141, 12994, 4049, 28008, 24952, 4751, 20900, 21671, 23030, 13046, 22117, 21613, 23118, 11307, 9639, 30774, 12776, 25572, 26764, 5132, 6433, 2773, 1867, 12928, 6052, 24150, 19588, 24031, 1596]",gemma2:9b,100,code_module,DDD
random,"[11694  3490 29607 11249 19937 17860 15726  6869  4454  1835 10637  2926
 25254 26265 14144 29316 30858 20505   932  1456  1504  2867 10613 10352
 31533 12687 11628 10915 17050 11990 30995  5794  5391 13536 19757 18601
  4643  8211  3092 31433  9418 10132 21665  1241 26596 22455 29945  7739
 12054 20338 10819 31604 26332  7834  2661 28233 15637  7166  5077 21969
 31073 11649 22822 18125 22436 26899 21681  9311  2385  3113 14333 30324
 13514 21708 27017   511 26074 13755   853 22048 26424 12506 22985  4904
 13846 15290   467  2927  3002  5869  7244 32310 32075  8057 28700 25863
 17131 18528  4842 27830]","[11694  3490 29607 11249 19937 17860 15726  6869  4454  1835 10637  2926
 25254 26265 14144 29316 30858 20505   932  1456  1504  2867 10613 10352
 31533 12687 11628 10915 17050 11990 30995  5794  5391 13536 19757 18601
  4643  8211  3092 31433  9418 10132 21665  1241 26596 22455 29945  7739
 12054 20338 10819 31604 26332  7834  2661 28233 15637  7166  5077 21969
 31073 11649 22822 18125 22436 26899 21681  9311  2385  3113 14333 30324
 13514 21708 27017   511 26074 13755   853 22048 26424 12506 22985  4904
 13846 15290   467  2927  3002  5869  7244 32310 32075  8057 28700 25863
 17131 18528  4842 27830]",,100,code_module,DDD
opt,"[10915 12687 26332 31073  2867 26596 22048  5794 15290 15726  5869  2385
 22436  7739   853 10613  9418 20505  2926  4842 11694 10819 21969  8211
  5077 18528   511 11990  3092 31533 15637 25863 28233 26265 11649 12506
  4454  3002 17131  7834 30324 31433 11628 18601 11249 19757  7166 17050
 20338 26424 22455 14144  7244 30995 30858 27830 13536 29945  1504  1456
 21708 29316  4643  1835 26074   932 12054  9311 22822 14333 32075 18125
 13755   467 22985  3113 26899  8057 32310  2661 10352  6869 10637 21681
  4904 10132  5391 29607  2927 19937 31604 13846 27017 13514 17860  1241
 25254 21665 28700  3490]","[15290, 15726, 18528, 15637, 17131, 18601, 17050, 14144, 13536, 14333, 18125, 13755, 13846, 13514, 17860, 10915, 12687, 26332, 31073, 2867, 26596, 22048, 5794, 5869, 2385, 22436, 7739, 853, 10613, 9418, 20505, 2926, 4842, 11694, 10819, 21969, 8211, 5077, 511, 11990, 3092, 31533, 25863, 28233, 26265, 11649, 12506, 4454, 3002, 7834, 30324, 31433, 11628, 11249, 19757, 7166, 20338, 26424, 22455, 7244, 30995, 30858, 27830, 29945, 1504, 1456, 21708, 29316, 4643, 1835, 26074, 932, 12054, 9311, 22822, 32075, 467, 22985, 3113, 26899, 8057, 32310, 2661, 10352, 6869, 10637, 21681, 4904, 10132, 5391, 29607, 2927, 19937, 31604, 27017, 1241, 25254, 21665, 28700, 3490]",,100,code_module,DDD
warmup,"[15637 30995 29316 25863 17050 22436 12506  2385 21665  1456  3092  3002
  3490 22048 20338 22985 18528  2661  2927 21681 26424 10819  5794   511
  7244 17131 11694 12054  2867 32075  4904 31073   467  5869  4842 10132
  4643 21708 15726 14144  7166 26596   932  7834 26332 11249 28700 17860
 31533  9311  6869  8211  1241  9418 27830  8057  7739  3113 29607 19757
  4454 13514  5077  2926 22455 32310  5391 15290 18125  1504 22822 29945
 10637 11649 14333 26265 11628 10352 12687 11990   853 13846 31433 10915
 30858 18601 25254  1835 10613 28233 19937 26074 31604 26899 27017 13536
 30324 13755 20505 21969]","[15637, 17050, 18528, 17131, 15726, 14144, 17860, 13514, 15290, 18125, 14333, 13846, 18601, 13536, 13755, 30995, 29316, 25863, 22436, 12506, 2385, 21665, 1456, 3092, 3002, 3490, 22048, 20338, 22985, 2661, 2927, 21681, 26424, 10819, 5794, 511, 7244, 11694, 12054, 2867, 32075, 4904, 31073, 467, 5869, 4842, 10132, 4643, 21708, 7166, 26596, 932, 7834, 26332, 11249, 28700, 31533, 9311, 6869, 8211, 1241, 9418, 27830, 8057, 7739, 3113, 29607, 19757, 4454, 5077, 2926, 22455, 32310, 5391, 1504, 22822, 29945, 10637, 11649, 26265, 11628, 10352, 12687, 11990, 853, 31433, 10915, 30858, 25254, 1835, 10613, 28233, 19937, 26074, 31604, 26899, 27017, 30324, 20505, 21969]",gemma2:9b,100,code_module,DDD
bigraph,"[19937 10613 11649 28700 12054 21681   932 29607  7244  8057  2867 27017
 17131 27830  5077 12506 15637  1504 17860  7166 15726  5794 14333 20505
 31073 31433  4454 21665 14144 26332 31604 10819 28233 26596 18125  3002
 10637  6869  3490 20338 22822 15290 19757 21969  1456 18601  5391 22455
 26424 11249   853 30858  2661 22985  7739  7834  9418 11628 13514 32075
 11694 31533 10915 22048  3113 13846 17050 12687 26074 11990   467 21708
  2926 10132 25254 13536  9311  4904  5869 30995 26265 30324 22436 18528
 26899  2385  4842  1241 13755  2927  3092 29316  1835  8211   511  4643
 25863 32310 10352 29945]","[17131, 15637, 17860, 15726, 14333, 14144, 10819, 18125, 15290, 18601, 13514, 13846, 17050, 13536, 18528, 13755, 19937, 11628, 2385, 3113, 12687, 10613, 11649, 28700, 12054, 21681, 932, 29607, 7244, 8057, 2867, 27017, 27830, 5077, 12506, 1504, 7166, 5794, 20505, 31073, 31433, 4454, 21665, 26332, 31604, 28233, 26596, 3002, 10637, 6869, 3490, 20338, 22822, 19757, 21969, 1456, 5391, 22455, 26424, 11249, 853, 30858, 2661, 22985, 7739, 7834, 9418, 32075, 11694, 31533, 10915, 22048, 26074, 11990, 467, 21708, 2926, 10132, 25254, 9311, 4904, 5869, 30995, 26265, 30324, 22436, 26899, 4842, 1241, 2927, 3092, 29316, 1835, 8211, 511, 4643, 25863, 32310, 10352, 29945]",gemma2:9b,100,code_module,DDD
random,"[  217 30794 25691 15547 16162  9853 21481 32489 32188 18513 25001 12006
 24151 27559 28651 24303 10826  8488 20960  3874 10821 17789 13306 12889
 18311  6032 16560 19546 14965 24765  6800 18072 26995    90  9221 18483
 30150   305    27 19095 27021  3089 28995 15521 17337 24259 24276 14445
  6689  1693 16740 11142 16138 25933 21556 29102  7016 30701 32451  7609
 14421 17656 25980 10718 12639 18774 20937 15573  6336 18064 21896 29952
  9929  1834  9783 29213  7851 11913 29698  1518 11085  8717 11689  6468
 12875 28967 17750 12843  1479 23542 22458   343 25698   896  6655  7342
 20701 31138 29558 30197]","[  217 30794 25691 15547 16162  9853 21481 32489 32188 18513 25001 12006
 24151 27559 28651 24303 10826  8488 20960  3874 10821 17789 13306 12889
 18311  6032 16560 19546 14965 24765  6800 18072 26995    90  9221 18483
 30150   305    27 19095 27021  3089 28995 15521 17337 24259 24276 14445
  6689  1693 16740 11142 16138 25933 21556 29102  7016 30701 32451  7609
 14421 17656 25980 10718 12639 18774 20937 15573  6336 18064 21896 29952
  9929  1834  9783 29213  7851 11913 29698  1518 11085  8717 11689  6468
 12875 28967 17750 12843  1479 23542 22458   343 25698   896  6655  7342
 20701 31138 29558 30197]",,100,code_module,DDD
opt,"[18072  3874 11913 17337 16560  9783    90   217 11085 30701 10821 17750
 15547 14445  7016 11689 16138 17656 29952 20937 32489 18311 30197 18774
 27559  1479 25980 24765 28995 30150 29698 30794 29102 25691 12875  7342
 12006  1834   305 10826  9221  1518 31138  6336 16740 16162  7851 32188
  6689  9853 14965 11142 18513 20701 32451    27 21896 14421 13306 17789
 29558  6032 22458 21556 19095 15521  7609 12843 26995  9929 10718  6468
 18064 25001 20960 24151 29213 25933 18483 19546 28967 12639  6655 21481
 23542   896 24303 12889  3089  1693 28651   343  8488  6800 25698 15573
 24276 24259  8717 27021]","[18072, 17337, 16560, 17750, 15547, 14445, 16138, 17656, 18311, 18774, 16740, 16162, 14965, 18513, 14421, 13306, 17789, 19095, 15521, 18064, 18483, 15573, 3874, 11913, 9783, 90, 217, 11085, 30701, 10821, 7016, 11689, 29952, 20937, 32489, 30197, 27559, 1479, 25980, 24765, 28995, 30150, 29698, 30794, 29102, 25691, 12875, 7342, 12006, 1834, 305, 10826, 9221, 1518, 31138, 6336, 7851, 32188, 6689, 9853, 11142, 20701, 32451, 27, 21896, 29558, 6032, 22458, 21556, 7609, 12843, 26995, 9929, 10718, 6468, 25001, 20960, 24151, 29213, 25933, 19546, 28967, 12639, 6655, 21481, 23542, 896, 24303, 12889, 3089, 1693, 28651, 343, 8488, 6800, 25698, 24276, 24259, 8717, 27021]",,100,code_module,DDD
