algorithm,original,reordered,model,size,column,value
random,"[28128 29702 23862  9403  5418  4817 14425 21436    46  6635  2583  4043
 31913 13365  2960 22915  1813 18779 29755 21537  8989 22901  1353  9293
 15174 11695 13404 32381  9322   400  7270 21107  2006 19417  1760 16756
  7919 18751  5231 16768 12130 28511 31815  8534 11623 29633 14761 19553
 16575 21858 11395  9416 31701 24898 28457    23 21210 12572 25035 20318
  3911 24473 11644 12675 12454  3715  9113 13866 21131  5898  6812 28555
 18490 32095 10082 30919 29200 20762  9588  7952 12848 22309 23015 27409
 12799 30718  2843 25680 13510  5332  4782  2409  5742  1267  5119 28115
 22765  5797 14769 21161]","[28128 29702 23862  9403  5418  4817 14425 21436    46  6635  2583  4043
 31913 13365  2960 22915  1813 18779 29755 21537  8989 22901  1353  9293
 15174 11695 13404 32381  9322   400  7270 21107  2006 19417  1760 16756
  7919 18751  5231 16768 12130 28511 31815  8534 11623 29633 14761 19553
 16575 21858 11395  9416 31701 24898 28457    23 21210 12572 25035 20318
  3911 24473 11644 12675 12454  3715  9113 13866 21131  5898  6812 28555
 18490 32095 10082 30919 29200 20762  9588  7952 12848 22309 23015 27409
 12799 30718  2843 25680 13510  5332  4782  2409  5742  1267  5119 28115
 22765  5797 14769 21161]",,100,code_module,DDD
opt,"[  400 18779 16768 22765 22901 22915  9322  5797  6812 22309 13365 12675
  5332  5742 23015 13404 12454 30718 31913 13866    23 18751 21131  4043
 30919 32095 11623  5231 31701 12848  2583  3715 12130 12799 28511  5898
 19417 21537 28115 14425  9113  2960  2409  1267 31815  8989  9588 21210
 24898 21858  1760  8534 11644 29200  7919  6635  2006 21161  9403 28128
  9293 12572 25035  3911  5119 28457 16575 16756    46 19553 18490 21107
  5418 29702 14769 20318 28555  4782 21436  9416 15174 23862 29633  7270
 11395  7952 10082 13510 11695  1813 24473 27409 20762 29755 14761  4817
  2843  1353 25680 32381]","[18779, 16768, 13365, 13404, 13866, 18751, 14425, 16575, 16756, 18490, 14769, 15174, 13510, 14761, 400, 22765, 22901, 22915, 9322, 5797, 6812, 22309, 12675, 5332, 5742, 23015, 12454, 30718, 31913, 23, 21131, 4043, 30919, 32095, 11623, 5231, 31701, 12848, 2583, 3715, 12130, 12799, 28511, 5898, 19417, 21537, 28115, 9113, 2960, 2409, 1267, 31815, 8989, 9588, 21210, 24898, 21858, 1760, 8534, 11644, 29200, 7919, 6635, 2006, 21161, 9403, 28128, 9293, 12572, 25035, 3911, 5119, 28457, 46, 19553, 21107, 5418, 29702, 20318, 28555, 4782, 21436, 9416, 23862, 29633, 7270, 11395, 7952, 10082, 11695, 1813, 24473, 27409, 20762, 29755, 4817, 2843, 1353, 25680, 32381]",,100,code_module,DDD
warmup,"[28511 31815 12799 11623  8989  9588 13866  9403  2583   400 13365 10082
  2843 23015 21537  2960 12675 25035 18751 21107 18490  5119 13510 21210
  9293 28128  4043 32095 24898  3911 22915 21131 16756 22309 14425 20762
 20318 21858 22901 11395 28555 11695 29633    23 19417  5418  5898  2409
 19553 18779 21161 16575  9322 27409 28115 15174 28457 24473  1267  1353
 32381 11644 31701  8534 25680  6812 29200  7952  1760  5332 12454 13404
  5742 14769  7919  4817  3715  9113  1813 30919 12572 16768 21436  5797
 31913  5231 30718  9416 29702 23862 14761  6635  2006  4782    46  7270
 12848 29755 12130 22765]","[31815, 9588, 13866, 13365, 21537, 25035, 18490, 13510, 28128, 3911, 16756, 14425, 21858, 11695, 19417, 18779, 16575, 28115, 1267, 31701, 6812, 12454, 5742, 14769, 9113, 16768, 5231, 23862, 46, 12130, 28511, 12799, 11623, 8989, 9403, 2583, 400, 10082, 2843, 23015, 2960, 12675, 18751, 21107, 5119, 21210, 9293, 4043, 32095, 24898, 22915, 21131, 22309, 20762, 20318, 22901, 11395, 28555, 29633, 23, 5418, 5898, 2409, 19553, 21161, 9322, 27409, 15174, 28457, 24473, 1353, 32381, 11644, 8534, 25680, 29200, 7952, 1760, 5332, 13404, 7919, 4817, 3715, 1813, 30919, 12572, 21436, 5797, 31913, 30718, 9416, 29702, 14761, 6635, 2006, 4782, 7270, 12848, 29755, 22765]",llama3.1:8b,100,code_module,DDD
bigraph,"[11695 11395 20762   400  5797 18490 28555 23862 13510 19553 14761 22915
 19417  2409 29702  1760 30919 13365 25035 20318  5418  2006 24898 22901
 12799 16768 13866  5231  9416 21131 31701 11644 29200 12454 31815 32381
 30718  3715 24473 23015  6812  8989  1267  9403  3911 21107  8534 12848
 14425  2843 27409  2583 21210 29755  7919    46  5119  4043  1353 31913
  5898 12130    23 16756  6635  9293  2960  1813  7952  9588 22309 28128
 25680 21858 12572  7270 10082  4782 28115  9322 29633  4817 28457  5742
 14769  5332 18751 32095 21436 12675 21161 22765 28511 13404 15174  9113
 11623 21537 18779 16575]","[18490, 16768, 13866, 14769, 18751, 13404, 15174, 14425, 18779, 13510, 16756, 13365, 25035, 21107, 23015, 16575, 3911, 9416, 23862, 22915, 21131, 27409, 14761, 31815, 4782, 3715, 19553, 8534, 1353, 12848, 20762, 21210, 19417, 400, 29200, 5119, 7270, 20318, 24898, 2583, 22901, 21858, 21537, 10082, 4817, 5742, 11695, 12454, 4043, 12572, 9322, 9588, 31701, 30919, 6812, 22309, 21436, 29755, 32381, 32095, 12130, 23, 11395, 5797, 28555, 2409, 29702, 1760, 5418, 2006, 12799, 5231, 11644, 30718, 24473, 8989, 1267, 9403, 2843, 7919, 46, 31913, 5898, 6635, 9293, 2960, 1813, 7952, 28128, 25680, 28115, 29633, 28457, 5332, 12675, 21161, 22765, 28511, 9113, 11623]",llama3.1:8b,100,code_module,DDD
random,"[16055 25302  7203  1616  3157  9918 26829 23900 13690 23120  8916  3320
 20355 11745 28613 28174 30658  7478 29159 19789 32212 30937 27517 12120
  4105 10230 20144  3597 28105 30125   949 13682  3306 14238 17887 21127
 27591 23208  4878  6710  5764   261 23678  9022 19434 11864 28165 25814
 25204 26196 10498  2395 12589 29136 28048  3678 13172 11502  2101  4507
 11897 24096 25513  7865  4999 26052 22321  7773 13585 11921  6082  1274
 18304 18754  1968 25250 31269 29206 10757  6584  5250 10430 25515 30655
 21578  8205  2251 14653 25698 14060 17102  7957 23267  1910 30592   878
 25354 17161  7483 28395]","[16055 25302  7203  1616  3157  9918 26829 23900 13690 23120  8916  3320
 20355 11745 28613 28174 30658  7478 29159 19789 32212 30937 27517 12120
  4105 10230 20144  3597 28105 30125   949 13682  3306 14238 17887 21127
 27591 23208  4878  6710  5764   261 23678  9022 19434 11864 28165 25814
 25204 26196 10498  2395 12589 29136 28048  3678 13172 11502  2101  4507
 11897 24096 25513  7865  4999 26052 22321  7773 13585 11921  6082  1274
 18304 18754  1968 25250 31269 29206 10757  6584  5250 10430 25515 30655
 21578  8205  2251 14653 25698 14060 17102  7957 23267  1910 30592   878
 25354 17161  7483 28395]",,100,code_module,DDD
opt,"[ 7957 20144 21578 28395  7478 25698 26196 30655 10230 28174 30658 21127
 27517 23900  2101 16055  7483 26829  9022 11921 30125 10430 19789 26052
 23678  2251 29206 11502 30592  5250  4105 14238 32212 28165  3320  1968
  6584 25250  4999 28048  7203  1274 13585  6082  8916 25302 10757 12589
  3157 31269 23208 17161 11897   261 12120 29159   878 18304 25204 11745
 30937 27591 11864 14653 28613 23267 25354  6710 29136  1910 23120 17887
 22321 10498  3306  9918  2395 28105 24096 18754 14060 19434 17102 13690
  3597  4878  8205  7865 13682 20355 25515  3678  4507 13172 25814   949
 25513  1616  5764  7773]","[16055, 14238, 13585, 17161, 18304, 14653, 17887, 18754, 14060, 17102, 13690, 13682, 13172, 7957, 20144, 21578, 28395, 7478, 25698, 26196, 30655, 10230, 28174, 30658, 21127, 27517, 23900, 2101, 7483, 26829, 9022, 11921, 30125, 10430, 19789, 26052, 23678, 2251, 29206, 11502, 30592, 5250, 4105, 32212, 28165, 3320, 1968, 6584, 25250, 4999, 28048, 7203, 1274, 6082, 8916, 25302, 10757, 12589, 3157, 31269, 23208, 11897, 261, 12120, 29159, 878, 25204, 11745, 30937, 27591, 11864, 28613, 23267, 25354, 6710, 29136, 1910, 23120, 22321, 10498, 3306, 9918, 2395, 28105, 24096, 19434, 3597, 4878, 8205, 7865, 20355, 25515, 3678, 4507, 25814, 949, 25513, 1616, 5764, 7773]",,100,code_module,DDD
warmup,"[13585   949  6082  9022 21578 30655 25354  2101 21127  5250  1910  2251
 25513  3306 25814 12120 22321 20144 17102 14653 10757 25698 25302  3320
 28048   261  6584  7478  7865 28174 25515 17887 29159 17161 23120 23267
 28105 23208 30125  5764  6710 13690 20355 32212  7203 23900 27517 10498
 29206 28613 30658  7957  3157   878  4999  3678  1968  9918 16055  1274
 26196 31269 10230 18304 25204 26829 24096 19789 11502  7773 30592 30937
 13682 13172  4878 11864 25250 23678 18754  4507 26052 12589  8205 10430
 11921 28395  4105 28165  7483  3597 14238  2395 27591 29136  1616 11745
 14060 11897  8916 19434]","[13585, 30655, 5250, 25814, 20144, 17102, 14653, 25302, 6584, 25515, 17161, 30125, 13690, 23900, 28613, 878, 9918, 16055, 10230, 24096, 7773, 13682, 13172, 23678, 18754, 12589, 28395, 3597, 14238, 29136, 14060, 949, 6082, 9022, 21578, 25354, 2101, 21127, 1910, 2251, 25513, 3306, 12120, 22321, 10757, 25698, 3320, 28048, 261, 7478, 7865, 28174, 17887, 29159, 23120, 23267, 28105, 23208, 5764, 6710, 20355, 32212, 7203, 27517, 10498, 29206, 30658, 7957, 3157, 4999, 3678, 1968, 1274, 26196, 31269, 18304, 25204, 26829, 19789, 11502, 30592, 30937, 4878, 11864, 25250, 4507, 26052, 8205, 10430, 11921, 4105, 28165, 7483, 2395, 27591, 1616, 11745, 11897, 8916, 19434]",llama3.1:8b,100,code_module,DDD
bigraph,"[ 1910 10757  8205 24096 11502 17102 25814 28613  1274   878 16055 19434
 13172 10430 14060 20355 29159  3678  9022  4878  3597 10230 25515 11897
 28395 11745  4507 25513  7483  5250 17161  2101  7478  2395 27591 11921
  3306 12589 32212 17887 30125  8916  9918 23267 21578  7865  6710 18754
  7957  6584 31269 18304   261 25354 20144 27517  5764 30658  4105 13682
 13585 10498 26829 25250  6082 23900  4999 28165 23208 25698  3320 21127
 22321 29136 28048 12120 30937  1968 30655 28105 14653 28174  3157  1616
 14238 26196 19789 23678 29206 23120 25204  2251 11864  7203 13690 30592
  7773   949 25302 26052]","[17102, 13172, 14060, 17887, 18754, 18304, 13585, 13690, 16055, 17161, 14238, 13682, 14653, 2101, 3320, 21127, 7957, 1968, 26196, 7483, 1616, 878, 31269, 5764, 30125, 6584, 3306, 28048, 28165, 12589, 23267, 1274, 8205, 30658, 4878, 28395, 3157, 6710, 261, 3597, 28613, 25513, 20144, 4105, 22321, 10230, 25354, 12120, 30655, 19434, 1910, 10757, 24096, 11502, 25814, 10430, 20355, 29159, 3678, 9022, 25515, 11897, 11745, 4507, 5250, 7478, 2395, 27591, 11921, 32212, 8916, 9918, 21578, 7865, 27517, 10498, 26829, 25250, 6082, 23900, 4999, 23208, 25698, 29136, 30937, 28105, 28174, 19789, 23678, 29206, 23120, 25204, 2251, 11864, 7203, 30592, 7773, 949, 25302, 26052]",llama3.1:8b,100,code_module,DDD
random,"[32136  9585 16491 15507 26006 25038 12926 22665 13474  1727  4309 28861
 30623  8892 21539 18893  3687   729  2468  6226 28948 15835  9502 20690
  7184 11994  9733  4464 23390 20705 23037  8937  9758 13865 23876 19984
 28809  3518 20349 30629  3373 23521  7689 32151 15922 22969  9892 11219
  6004 31140 25137  7346 21349 30953  2646 27677 32518 13991 17755 19548
 12043 19521 22575 29426 17359  8471 11798  9905   583 15004 26981 14424
 13873 17682  6244   461 29847  4135 24901 13336 24727 17720  5712  7088
 22131 24030 19318  1194  3610 19476  7687  5503 29477 25007 22300 17709
 23081 10895 19680 18125]","[32136  9585 16491 15507 26006 25038 12926 22665 13474  1727  4309 28861
 30623  8892 21539 18893  3687   729  2468  6226 28948 15835  9502 20690
  7184 11994  9733  4464 23390 20705 23037  8937  9758 13865 23876 19984
 28809  3518 20349 30629  3373 23521  7689 32151 15922 22969  9892 11219
  6004 31140 25137  7346 21349 30953  2646 27677 32518 13991 17755 19548
 12043 19521 22575 29426 17359  8471 11798  9905   583 15004 26981 14424
 13873 17682  6244   461 29847  4135 24901 13336 24727 17720  5712  7088
 22131 24030 19318  1194  3610 19476  7687  5503 29477 25007 22300 17709
 23081 10895 19680 18125]",,100,code_module,DDD
opt,"[22665 24030 19548  7184  1727 28809  3518 15835 20349  7687 24901  9892
  5712 19318  8892   583  1194 28861 22131 17359  3373 19476 20705 24727
 17720 30623  4135  9758 28948 17709 21349 12043  4309  7088 23521 32136
 13474 21539   729 18125 11798  5503 32518 30953 13865 23876 11994 22969
 19680  7689  3610  7346  4464  6226 15004 22575 13991 23390  6004 15507
 11219 25038 19984 12926  2468 20690 23081 25007  9905 29477 13336 15922
 25137 29426  8471 18893 16491 27677 14424  6244 31140  9585 26981   461
 32151 23037  2646 17755 29847  8937  9733 17682 22300 10895 26006 30629
  3687  9502 19521 13873]","[15835, 19318, 17359, 17720, 17709, 13474, 18125, 13865, 15004, 13991, 15507, 13336, 15922, 18893, 16491, 14424, 17755, 17682, 13873, 22665, 24030, 19548, 7184, 1727, 28809, 3518, 20349, 7687, 24901, 9892, 5712, 8892, 583, 1194, 28861, 22131, 3373, 19476, 20705, 24727, 30623, 4135, 9758, 28948, 21349, 12043, 4309, 7088, 23521, 32136, 21539, 729, 11798, 5503, 32518, 30953, 23876, 11994, 22969, 19680, 7689, 3610, 7346, 4464, 6226, 22575, 23390, 6004, 11219, 25038, 19984, 12926, 2468, 20690, 23081, 25007, 9905, 29477, 25137, 29426, 8471, 27677, 6244, 31140, 9585, 26981, 461, 32151, 23037, 2646, 29847, 8937, 9733, 22300, 10895, 26006, 30629, 3687, 9502, 19521]",,100,code_module,DDD
