algorithm,original,reordered,model,size,column,value
random,"[ 5887  8852 27698  2226 25228 16112 15489 11447 31791  2909 23144  9936
 27722  8758  3683  2362 23912 27005 14249 28691 13324 25045 25071 19669
 11460  1922  8395 25306 13038  4114 14842  1713 20484 27595  8369 17299
 25894  6441 16379 29263  7354 22687  6289  6763   961 32340 12751  3098
 30207 12019 20995 13426  2506  4175 25297 19015 31629    25 21894 31217
   146 31514 13909 25161  4065 19685  2378 21757 13568 16645   885 18668
  6683 17647 28858 29394 28082  9217 31875  4347  2267 31767 18090  8604
 25079 28972 15571  6398  8966   842  8079  8262   139  2818 21408 21530
 15992  7051  1088 29737]","[ 5887  8852 27698  2226 25228 16112 15489 11447 31791  2909 23144  9936
 27722  8758  3683  2362 23912 27005 14249 28691 13324 25045 25071 19669
 11460  1922  8395 25306 13038  4114 14842  1713 20484 27595  8369 17299
 25894  6441 16379 29263  7354 22687  6289  6763   961 32340 12751  3098
 30207 12019 20995 13426  2506  4175 25297 19015 31629    25 21894 31217
   146 31514 13909 25161  4065 19685  2378 21757 13568 16645   885 18668
  6683 17647 28858 29394 28082  9217 31875  4347  2267 31767 18090  8604
 25079 28972 15571  6398  8966   842  8079  8262   139  2818 21408 21530
 15992  7051  1088 29737]",,100,code_module,EEE
opt,"[  885 17647 20995 11460 31767 14249 25228 31514 13324 31791  3098 30207
   146  5887 22687 13038  6683 13568  2226  2378 27595 12751 25306  2909
 29263 27005   961    25  6441 17299 13909 18668  7051 25894  8966  1713
 25161 19015 21757 28691  6289  6398 20484  8604  8369  4114 29394   139
 31629 25297 21408 31217 13426 21894  8079  2362  6763 23144 27722 15992
 19669  8758  2267  8395 15571 29737 25079 18090 31875 25071 28972  4065
  2818  4347 19685  8262 11447 32340 23912  1088 21530 15489 16379 28858
  9936 16112 16645 12019  1922 27698  9217  7354  4175   842 28082 14842
 25045  2506  8852  3683]","[20995, 21757, 20484, 21408, 21894, 19669, 19685, 21530, 885, 17647, 11460, 31767, 14249, 25228, 31514, 13324, 31791, 3098, 30207, 146, 5887, 22687, 13038, 6683, 13568, 2226, 2378, 27595, 12751, 25306, 2909, 29263, 27005, 961, 25, 6441, 17299, 13909, 18668, 7051, 25894, 8966, 1713, 25161, 19015, 28691, 6289, 6398, 8604, 8369, 4114, 29394, 139, 31629, 25297, 31217, 13426, 8079, 2362, 6763, 23144, 27722, 15992, 8758, 2267, 8395, 15571, 29737, 25079, 18090, 31875, 25071, 28972, 4065, 2818, 4347, 8262, 11447, 32340, 23912, 1088, 15489, 16379, 28858, 9936, 16112, 16645, 12019, 1922, 27698, 9217, 7354, 4175, 842, 28082, 14842, 25045, 2506, 8852, 3683]",,100,code_module,EEE
warmup,"[25161 27698 31767 11460   885 22687  3098 25297 27722 16112  2909 14842
  8262 21530 29394 29263 23144 25071 28972    25  6683 13568 13426 15489
 17647  4114 21757 28858 28691 12019  5887 20995 15992  9217  8966 27595
 16645 31791 13324 28082  4065  1088 29737  2226  4175 12751  6398  2818
 20484  4347  8604   139 13038 15571  7051  2506 21408 19669 19015  1713
  6441 31875   842 18668  8758   146  6289  6763  8852 25306  3683 19685
 13909 30207 25079 14249 23912 31629  2362  8395 25228 31217 21894  8369
  2267 17299 31514 11447 18090 25045  9936 27005  2378  8079 25894  1922
 16379  7354 32340   961]","[25161, 885, 27722, 23144, 6683, 5887, 20995, 15992, 16645, 4065, 4175, 13038, 6441, 8758, 13909, 23912, 31217, 21894, 2267, 18090, 2378, 16379, 27698, 31767, 11460, 22687, 3098, 25297, 16112, 2909, 14842, 8262, 21530, 29394, 29263, 25071, 28972, 25, 13568, 13426, 15489, 17647, 4114, 21757, 28858, 28691, 12019, 9217, 8966, 27595, 31791, 13324, 28082, 1088, 29737, 2226, 12751, 6398, 2818, 20484, 4347, 8604, 139, 15571, 7051, 2506, 21408, 19669, 19015, 1713, 31875, 842, 18668, 146, 6289, 6763, 8852, 25306, 3683, 19685, 30207, 25079, 14249, 31629, 2362, 8395, 25228, 8369, 17299, 31514, 11447, 25045, 9936, 27005, 8079, 25894, 1922, 7354, 32340, 961]",deepseek-coder-v2:16b,100,code_module,EEE
bigraph,"[27005 29394  8604  7051 17647 25306 15489  8369  7354 13038 11447 13324
 25079 19015 16379  9936 27698  2362 25228 21894   885  8966   139 19669
 20995 15571 12019  2506  8852 16112 28858  6441  8395 20484  2818   961
 11460 25297  4175 14249 31514 27595  3683  6289 21530 18668  6763  4114
 28082 13909  1922 23144  8262 25045  6398 31875 17299 31217 30207 28691
 25071  1088 31767 18090 12751   842 21408 25161  5887 25894 16645  4347
 31791 15992  6683 19685 21757 28972 13568  2909  2378 13426 29263  8079
  2226  3098 27722   146  8758  4065 22687 29737 23912 14842 32340    25
  1713 31629  9217  2267]","[21894, 19669, 20995, 20484, 21530, 21408, 19685, 21757, 32340, 1713, 8604, 25306, 27005, 29394, 7051, 17647, 15489, 8369, 7354, 13038, 11447, 13324, 25079, 19015, 16379, 9936, 27698, 2362, 25228, 885, 8966, 139, 15571, 12019, 2506, 8852, 16112, 28858, 6441, 8395, 2818, 961, 11460, 25297, 4175, 14249, 31514, 27595, 3683, 6289, 18668, 6763, 4114, 28082, 13909, 1922, 23144, 8262, 25045, 6398, 31875, 17299, 31217, 30207, 28691, 25071, 1088, 31767, 18090, 12751, 842, 25161, 5887, 25894, 16645, 4347, 31791, 15992, 6683, 28972, 13568, 2909, 2378, 13426, 29263, 8079, 2226, 3098, 27722, 146, 8758, 4065, 22687, 29737, 23912, 14842, 25, 31629, 9217, 2267]",deepseek-coder-v2:16b,100,code_module,EEE
random,"[21389 13199 22042 32218  8970  6549 30200  7972 18655  1130 22890 32301
 25544  6000 27773 26240 15565  9344 20234 17667 29213  2859 10936 24946
  8812 31094 23355 11445 23362 29246 31271 10397 10006 25432 23089 24511
 17304 17928  3565 18547  1121 16577 24868 15050  4961  1556 10714  6552
 20420 18832 14324 25631 30900 10587  5229 20880 26610 27287 10509  4426
    11 32255  5170   321  3233  8536 23776 22532 18710 23860  8729 27912
 32040  7869 32580 12265  9728 12357 22243 11298  5962 16433  9322 22433
 11661 16869  5896 25532 31334 13153   623 20134   937  8134  8265 19856
  2418  8805 15035 17445]","[21389 13199 22042 32218  8970  6549 30200  7972 18655  1130 22890 32301
 25544  6000 27773 26240 15565  9344 20234 17667 29213  2859 10936 24946
  8812 31094 23355 11445 23362 29246 31271 10397 10006 25432 23089 24511
 17304 17928  3565 18547  1121 16577 24868 15050  4961  1556 10714  6552
 20420 18832 14324 25631 30900 10587  5229 20880 26610 27287 10509  4426
    11 32255  5170   321  3233  8536 23776 22532 18710 23860  8729 27912
 32040  7869 32580 12265  9728 12357 22243 11298  5962 16433  9322 22433
 11661 16869  5896 25532 31334 13153   623 20134   937  8134  8265 19856
  2418  8805 15035 17445]",,100,code_module,EEE
opt,"[32040 27287  8812 23362  6549 26610 23355 23089  1130 20880 10714 22243
  8805  2859 10397 13153 21389 25544 27773  4961    11  9728 12265 10936
  8729 11661 10006 22890 31334 27912 31094 18832 12357 14324 25631 16577
 30200  8536 32218 25432  6000 16433 29213 20234 18710  3233 31271  8970
 19856  8265 22433 22042 15035 15565 32580 17445 13199 17304  7972  1121
 20134 22532 24511 17667 24868  8134  3565  9322 17928 10509 18655 23776
   623 16869   321 32301  9344 25532  5229  6552  4426 23860  1556 15050
 24946  2418 11445 30900 29246  7869  5896 26240 32255 11298 20420   937
 10587 18547  5962  5170]","[20880, 22243, 21389, 20234, 19856, 22042, 20134, 20420, 32040, 27287, 8812, 23362, 6549, 26610, 23355, 23089, 1130, 10714, 8805, 2859, 10397, 13153, 25544, 27773, 4961, 11, 9728, 12265, 10936, 8729, 11661, 10006, 22890, 31334, 27912, 31094, 18832, 12357, 14324, 25631, 16577, 30200, 8536, 32218, 25432, 6000, 16433, 29213, 18710, 3233, 31271, 8970, 8265, 22433, 15035, 15565, 32580, 17445, 13199, 17304, 7972, 1121, 22532, 24511, 17667, 24868, 8134, 3565, 9322, 17928, 10509, 18655, 23776, 623, 16869, 321, 32301, 9344, 25532, 5229, 6552, 4426, 23860, 1556, 15050, 24946, 2418, 11445, 30900, 29246, 7869, 5896, 26240, 32255, 11298, 937, 10587, 18547, 5962, 5170]",,100,code_module,EEE
warmup,"[11445 10006 23089  9728 10936 24946 16577 25432  5962 32580 13199 20134
 20420 22243  9322  8265 18655 15050 22532 17667 25532  5170 16433 32040
  8134   937   623 16869 15035 19856  6549 11298 15565 31094  7972 31271
 25631  1556 29246 22890 10587  6552 17445 14324  1130  5896  9344  8805
 32255  4961 23362  3565 21389 22433 29213 24511 17304  7869 13153 26240
   321 30900  8536 27287  4426  8812 23860 18547 25544 22042 27912 20234
  8970 31334 23776 23355  2859 18710  3233 26610 10509  1121 20880 12265
 10397 12357 32218 18832 30200 11661  5229  2418 24868 32301 27773    11
  8729  6000 10714 17928]","[11445, 10936, 18655, 25532, 8134, 19856, 19856, 15565, 25631, 10587, 1130, 32255, 22433, 17304, 321, 4426, 22042, 20234, 8970, 2859, 1121, 20880, 10397, 30200, 24868, 8729, 10006, 23089, 9728, 24946, 16577, 25432, 5962, 32580, 13199, 20134, 20420, 22243, 9322, 8265, 15050, 22532, 17667, 5170, 16433, 32040, 937, 623, 16869, 15035, 6549, 11298, 31094, 7972, 31271, 1556, 29246, 22890, 6552, 17445, 14324, 5896, 9344, 8805, 4961, 23362, 3565, 21389, 29213, 24511, 7869, 13153, 26240, 30900, 8536, 27287, 8812, 23860, 18547, 25544, 27912, 31334, 23776, 23355, 18710, 3233, 26610, 10509, 12265, 12357, 32218, 18832, 11661, 5229, 2418, 32301, 27773, 11, 6000, 10714]",deepseek-coder-v2:16b,100,code_module,EEE
bigraph,"[22042 27287  5229 25432 15050 29246 27912 18710 31334 18832 29213 10714
  2859 17667 23860 25544 31094  8265 14324 15035  8536 16869 23776 22890
 32040  1121 31271  8134 23362 17304 19856 10587  8805  4961 32301  5896
 24511  6000 11661 25532 32580  8729 30200 16433   623  8970 15565 25631
 23355 13199 10936 30900  1130 13153  8812  5962 17928 11298 10006 17445
  2418 26240    11 32255   937 22243 20134  9728 10509  3565 18655  5170
 27773 11445 22532  3233 12265 24868 26610  9322 12357  6552 16577 20880
 10397  4426   321 20420  6549 18547 21389 23089 24946  1556 22433 32218
 20234  7972  9344  7869]","[22042, 19856, 22243, 20134, 20880, 20420, 21389, 20234, 10936, 12357, 5896, 15050, 29246, 27287, 5229, 25432, 27912, 18710, 31334, 18832, 29213, 10714, 2859, 17667, 23860, 25544, 31094, 8265, 14324, 15035, 8536, 16869, 23776, 22890, 32040, 1121, 31271, 8134, 23362, 17304, 10587, 8805, 4961, 32301, 24511, 6000, 11661, 25532, 32580, 8729, 30200, 16433, 623, 8970, 15565, 25631, 23355, 13199, 30900, 1130, 13153, 8812, 5962, 17928, 11298, 10006, 17445, 2418, 26240, 11, 32255, 937, 9728, 10509, 3565, 18655, 5170, 27773, 11445, 22532, 3233, 12265, 24868, 26610, 9322, 6552, 16577, 10397, 4426, 321, 6549, 18547, 23089, 24946, 1556, 22433, 32218, 7972, 9344, 7869]",deepseek-coder-v2:16b,100,code_module,EEE
random,"[26930  4827 25574 11710 22964  7267  3465 14512  2802 23954 15318 13397
  9017  6001 22803  4311 14151 20048  3863  4503  4777  4176 27904  7860
  9458 10882 32360 30605 27406 23765 22013 25398 30618 17607 12271 26417
 21200  5138  9682 12021  3555 31616 20743 31009 29904 29599 24737 25155
  3000 12937 14043 28641 15365  6615 17860   836 18712 12838 13288 17563
 17881 18218   494  3510 18394 26397  2222 10534  3152 14658 30854 26779
 25857 17309 27474 20191  3829 30656 25912 11028 24121 14077 29003 26324
  6774 25673 18266 31527 25221 19784 20331  4972 14936  5576  3428  9498
  6209 14598 27240  6940]","[26930  4827 25574 11710 22964  7267  3465 14512  2802 23954 15318 13397
  9017  6001 22803  4311 14151 20048  3863  4503  4777  4176 27904  7860
  9458 10882 32360 30605 27406 23765 22013 25398 30618 17607 12271 26417
 21200  5138  9682 12021  3555 31616 20743 31009 29904 29599 24737 25155
  3000 12937 14043 28641 15365  6615 17860   836 18712 12838 13288 17563
 17881 18218   494  3510 18394 26397  2222 10534  3152 14658 30854 26779
 25857 17309 27474 20191  3829 30656 25912 11028 24121 14077 29003 26324
  6774 25673 18266 31527 25221 19784 20331  4972 14936  5576  3428  9498
  6209 14598 27240  6940]",,100,code_module,EEE
opt,"[22803  2802 13288  4311 25912 31009  4176 30656 29904 27240  9017 31616
 15318 14658  7267 20048 20191  3510 26930 25857 25574 12937  3829 17563
  6774 25155 26779  9498 14598 18712 27406  9682 19784 14936 13397  2222
 29003 30854 15365 24737 10882   836 14512 25398 27474 22013  4777 31527
 20331   494 12271 11710  4503 30618  3428  4827 10534 29599 17881 23765
 27904 17860  4972 12021  3863 25221  5576 26324 21200  7860  6001  3555
 14043 26397  3152  3465  3000 18218  6209 14077 12838 14151 24121  6940
  9458 28641 18394 26417  6615 32360 30605 17309 18266  5138 20743 17607
 11028 22964 23954 25673]","[20048, 20191, 19784, 22013, 20331, 21200, 20743, 22803, 2802, 13288, 4311, 25912, 31009, 4176, 30656, 29904, 27240, 9017, 31616, 15318, 14658, 7267, 3510, 26930, 25857, 25574, 12937, 3829, 17563, 6774, 25155, 26779, 9498, 14598, 18712, 27406, 9682, 14936, 13397, 2222, 29003, 30854, 15365, 24737, 10882, 836, 14512, 25398, 27474, 4777, 31527, 494, 12271, 11710, 4503, 30618, 3428, 4827, 10534, 29599, 17881, 23765, 27904, 17860, 4972, 12021, 3863, 25221, 5576, 26324, 7860, 6001, 3555, 14043, 26397, 3152, 3465, 3000, 18218, 6209, 14077, 12838, 14151, 24121, 6940, 9458, 28641, 18394, 26417, 6615, 32360, 30605, 17309, 18266, 5138, 17607, 11028, 22964, 23954, 25673]",,100,code_module,EEE
