algorithm,original,reordered,model,size,column,value
random,"[ 8092 31819 16159 10487 21053 30179 30647 22298 28265 25263  6806 10669
 26203 13829  4717 12831 15640  7295 13482 31167 10483 23191 28308  2224
 16379 31839  1533 16565 14961 18855  5054  1095  8609 22992 14544 21651
 10793 16443 25000 22083 29295  1363   281 22017 14381 28488 23811   316
 14940 16892 30025  5259 15083 15440 26757  9283 15820 20541 24897 32443
  4292 28259  1494  9021 14174 27483 30530  6618 26616 27415 23306 12594
  8125  9380 28853 25179  1907 24281 28027 20208  4909 10140  5712 26238
 16996  4268 14184 11677  1917 24363 17551 10660  5253 21471  5574 15911
 29045  1205 25792 11997]","[ 8092 31819 16159 10487 21053 30179 30647 22298 28265 25263  6806 10669
 26203 13829  4717 12831 15640  7295 13482 31167 10483 23191 28308  2224
 16379 31839  1533 16565 14961 18855  5054  1095  8609 22992 14544 21651
 10793 16443 25000 22083 29295  1363   281 22017 14381 28488 23811   316
 14940 16892 30025  5259 15083 15440 26757  9283 15820 20541 24897 32443
  4292 28259  1494  9021 14174 27483 30530  6618 26616 27415 23306 12594
  8125  9380 28853 25179  1907 24281 28027 20208  4909 10140  5712 26238
 16996  4268 14184 11677  1917 24363 17551 10660  5253 21471  5574 15911
 29045  1205 25792 11997]",,100,code_module,EEE
opt,"[ 5712  6806 30530  8125 25179 21651  4292  1205 16996 21471 26616 28259
 15440  8092 29295 30179 22083  1917 28488   316  5574 25000 22992 14184
 12594  1095 28265 28853  4268 14940 26238 28027 31839 20208 27483 28308
   281 14381  8609  1363 30647 25263 24897 14961  9283 21053 31167  1494
  7295 26757 24281  4717  9380  1533 22298  5253  5054 17551 12831 10487
 15640 26203 15911 14174 15820 10660  6618  4909 16159  2224 20541 23811
 10793 24363 32443  1907 16892 25792 10669 23191 10140 15083 13482 10483
  5259 16443 27415 22017 11677  9021 16565 30025 31819 18855 29045 23306
 11997 16379 14544 13829]","[21651, 21471, 22083, 20208, 21053, 20541, 22017, 5712, 6806, 30530, 8125, 25179, 4292, 1205, 16996, 26616, 28259, 15440, 8092, 29295, 30179, 1917, 28488, 316, 5574, 25000, 22992, 14184, 12594, 1095, 28265, 28853, 4268, 14940, 26238, 28027, 31839, 27483, 28308, 281, 14381, 8609, 1363, 30647, 25263, 24897, 14961, 9283, 31167, 1494, 7295, 26757, 24281, 4717, 9380, 1533, 22298, 5253, 5054, 17551, 12831, 10487, 15640, 26203, 15911, 14174, 15820, 10660, 6618, 4909, 16159, 2224, 23811, 10793, 24363, 32443, 1907, 16892, 25792, 10669, 23191, 10140, 15083, 13482, 10483, 5259, 16443, 27415, 11677, 9021, 16565, 30025, 31819, 18855, 29045, 23306, 11997, 16379, 14544, 13829]",,100,code_module,EEE
warmup,"[ 4292  5574 13482 31167 28265 15911  9283  2224 30025 15083 10669 26616
 29295   316  1907 31819 18855 14184 26757  5712 20541 10793 21471  8609
  1095 15440  5054 11677 26203  8092 17551 21053   281 16565 23191 23811
  1363 24281 16379 30647 25179 28308 28259 31839  1917 28027 27483 16443
 22083 25000 15640 16159  1205  6618 12831  4268 27415  4909 20208 14544
  8125 25792 10487 26238 16996 14174 24897 22017 15820 23306 22992 14381
 30179 12594 30530  5259 10140  1494  4717 10660  9021 16892 14940 11997
  5253  6806 32443 24363  9380 14961 29045 28853 22298 13829  1533 10483
 28488 25263 21651  7295]","[28265, 30025, 29295, 29295, 18855, 20541, 21471, 1095, 21053, 281, 25179, 1205, 8125, 22017, 10140, 9021, 5253, 9380, 22298, 21651, 21651, 4292, 5574, 13482, 31167, 15911, 9283, 2224, 15083, 10669, 26616, 316, 1907, 31819, 14184, 26757, 5712, 10793, 8609, 15440, 5054, 11677, 26203, 8092, 17551, 16565, 23191, 23811, 1363, 24281, 16379, 30647, 28308, 28259, 31839, 1917, 28027, 27483, 16443, 22083, 25000, 15640, 16159, 6618, 12831, 4268, 27415, 4909, 20208, 14544, 25792, 10487, 26238, 16996, 14174, 24897, 15820, 23306, 22992, 14381, 30179, 12594, 30530, 5259, 1494, 4717, 10660, 16892, 14940, 11997, 6806, 32443, 24363, 14961, 29045, 28853, 13829, 1533, 10483, 28488]",qwen2:7b,100,code_module,EEE
bigraph,"[22298 15083 28027 14381  8092 15640 10669 20541  2224 22992 12831  9283
  4909 14544 15820 31167 28265  5712   281 16996 12594  8125 29295  1095
 13829 14961 24363 14940  8609 24281 10793 26203 10487 30530 32443 30647
  9380  1205  4268 16159  1533 16379 28259 22083  7295 10140  5574  5253
 10483  9021 25792 21651 30025   316 16565 26238 23191 30179 22017  1494
  4292 26616 29045 23306 26757 17551 28853 28308  6806 15911 14174 14184
 31819  1907  5259 20208 10660  1363 25179 27483 11997  5054 24897 27415
  4717 25000 16892 18855 15440 16443 25263 31839 13482 21053 28488 21471
  1917  6618 11677 23811]","[20541, 2224, 1205, 5253, 25792, 10660, 16443, 21471, 7295, 26203, 5712, 22017, 20208, 5574, 28259, 8609, 10487, 21651, 16379, 9283, 26616, 28488, 15820, 29295, 32443, 9380, 30179, 17551, 31819, 13482, 6618, 29045, 4268, 22298, 18855, 25179, 6806, 21053, 5054, 26757, 10669, 22083, 24897, 28027, 8092, 1363, 23811, 27483, 26238, 4909, 281, 316, 4292, 15440, 31839, 14544, 4717, 30025, 16996, 1095, 14961, 28308, 9021, 15083, 30530, 14184, 24363, 14381, 15640, 22992, 12831, 31167, 28265, 12594, 8125, 13829, 14940, 24281, 10793, 30647, 16159, 1533, 10140, 10483, 16565, 23191, 1494, 23306, 28853, 15911, 14174, 1907, 5259, 11997, 27415, 25000, 16892, 25263, 1917, 11677]",qwen2:7b,100,code_module,EEE
random,"[23226 14086 19445 20617 30073 10620 12855 20268  4823  1308 11520 19319
 17060 24815 29707 13011  7491 13083 29586  7138 19480 21655  1484 29325
  5077 29856 17274  6226  3315   670 19918  6411 13414  5286 21429 29444
 18672  8467  2574 21690 30497  1786 13778  1424 26754 25133  8648  5631
  1160   208 16129 17634 23933 12392 12922 26627  5480 32237 27466 12012
 26907 15378   985 17973 10383 28816 25357 13450 14494 11739  6277 26542
 22608  8552 12436  9121   932 24257 23734  7914 16052  3275 30256 23184
 29763 21396 21409  7754 12560 13608 31667 22997  2064  9543  7809 25702
 10010  6224 14723  5775]","[23226 14086 19445 20617 30073 10620 12855 20268  4823  1308 11520 19319
 17060 24815 29707 13011  7491 13083 29586  7138 19480 21655  1484 29325
  5077 29856 17274  6226  3315   670 19918  6411 13414  5286 21429 29444
 18672  8467  2574 21690 30497  1786 13778  1424 26754 25133  8648  5631
  1160   208 16129 17634 23933 12392 12922 26627  5480 32237 27466 12012
 26907 15378   985 17973 10383 28816 25357 13450 14494 11739  6277 26542
 22608  8552 12436  9121   932 24257 23734  7914 16052  3275 30256 23184
 29763 21396 21409  7754 12560 13608 31667 22997  2064  9543  7809 25702
 10010  6224 14723  5775]",,100,code_module,EEE
opt,"[13608 26542  2064  9121 12560 19319 23933 29856 10620 12392   208  1308
 21690 29325 17634 13083 29707 17973 16129 23734 20617 25357  3275  5631
 10383  7914 12012 22608 12922 14723  9543 29763 21429  5286  5077 26907
  1484 19480 31667 24815 13414 30497  7138 18672 12855 30256 30073 13778
  3315  2574 11739  6224  5480  6411 29444 29586  7809 21409   932 13011
  6226 15378  8467 19445  5775 14086  1160  7754 23226 11520 19918 21396
   985 10010 13450 17060 26627 26754 32237 25133 23184 28816 12436 22997
 24257 27466 25702  6277  4823  7491 14494 21655 20268 17274   670 16052
  1424  8648  8552  1786]","[21690, 20617, 21429, 19480, 21409, 19445, 19918, 21396, 21655, 20268, 13608, 26542, 2064, 9121, 12560, 19319, 23933, 29856, 10620, 12392, 208, 1308, 29325, 17634, 13083, 29707, 17973, 16129, 23734, 25357, 3275, 5631, 10383, 7914, 12012, 22608, 12922, 14723, 9543, 29763, 5286, 5077, 26907, 1484, 31667, 24815, 13414, 30497, 7138, 18672, 12855, 30256, 30073, 13778, 3315, 2574, 11739, 6224, 5480, 6411, 29444, 29586, 7809, 932, 13011, 6226, 15378, 8467, 5775, 14086, 1160, 7754, 23226, 11520, 985, 10010, 13450, 17060, 26627, 26754, 32237, 25133, 23184, 28816, 12436, 22997, 24257, 27466, 25702, 6277, 4823, 7491, 14494, 17274, 670, 16052, 1424, 8648, 8552, 1786]",,100,code_module,EEE
warmup,"[29586  2574  7754 11520   932 21429 26907 17634 25702 13608 26542 17274
   208 22997 13083 25133 25357 21690 29707  7809 13011 21655 13414 29325
  1786 29856  7491 24257  3275  6226 23184 20268 31667 12392  7914 29444
 12012 12560  5077 16052  2064 11739 23734 20617  8648 28816 10383  6277
 21396  9121 30073 13450  6224  9543  1484 15378  1424 10620  1160 30256
 22608  6411  5480 19319 10010 14086 18672 29763 16129  4823 12922 14723
 32237 27466 30497 24815  5775 19480 23933  7138  8552 21409 14494  8467
 12855 19445 23226 26754  3315 13778 17973 19918 17060   670 26627  1308
   985  5286 12436  5631]","[13414, 1786, 20268, 20268, 12012, 20617, 21396, 16129, 19480, 19480, 21409, 14494, 8467, 21409, 23226, 19445, 26754, 19918, 3315, 985, 29586, 2574, 7754, 11520, 932, 21429, 26907, 17634, 25702, 13608, 26542, 17274, 208, 22997, 13083, 25133, 25357, 21690, 29707, 7809, 13011, 21655, 29325, 29856, 7491, 24257, 3275, 6226, 23184, 31667, 12392, 7914, 29444, 12560, 5077, 16052, 2064, 11739, 23734, 8648, 28816, 10383, 6277, 9121, 30073, 13450, 6224, 9543, 1484, 15378, 1424, 10620, 1160, 30256, 22608, 6411, 5480, 19319, 10010, 14086, 18672, 29763, 4823, 12922, 14723, 32237, 27466, 30497, 24815, 5775, 23933, 7138, 8552, 12855, 13778, 17973, 17060, 670, 26627, 1308]",qwen2:7b,100,code_module,EEE
bigraph,"[30073  5286  4823 17634 16129 32237 17274 30497 13608 26754   670 26907
  7138 22608 20268 13414 12012 12392 29763   208  6224 19918 14494 19319
  3275 10383 27466  9121 29856 23933 23734 16052  3315 18672  7809  6277
 17973  6226 30256  1308 12922 11739 23184 29325 25357  7491 19445  1484
  8467  1160 26627 15378 24257  2064  9543  1786  6411 20617  5480 31667
 29707  7914  5775 29444 28816 12560  2574 14086 13011 13083 26542 17060
  1424   932 25133 24815 23226 21429   985 11520 21655  7754  8552 12436
 12855  5631 19480 13450 10010 13778 21396 25702 14723 10620  5077 22997
  8648 21690 21409 29586]","[16129, 20268, 13414, 19918, 19445, 21655, 21409, 7754, 19480, 8552, 21396, 29763, 17634, 21429, 20617, 25702, 7809, 21690, 13450, 7914, 16052, 3315, 6226, 8467, 1786, 31667, 26542, 12855, 14723, 6411, 32237, 5286, 24815, 9543, 6277, 26627, 1160, 30256, 14086, 4823, 6224, 13778, 3275, 12922, 670, 28816, 13608, 22608, 7138, 2064, 25133, 29444, 18672, 985, 23734, 13011, 29586, 1308, 29325, 12012, 22997, 24257, 9121, 11739, 17274, 27466, 30073, 30497, 26754, 26907, 12392, 208, 14494, 19319, 10383, 29856, 23933, 17973, 23184, 25357, 7491, 1484, 15378, 5480, 29707, 5775, 12560, 2574, 13083, 17060, 1424, 932, 23226, 11520, 12436, 5631, 10010, 10620, 5077, 8648]",qwen2:7b,100,code_module,EEE
random,"[23947 11955 13918 25119  6602 11461  6025 24978 15100 26554 17512  6178
 26882 30673 15162  5964  6683 18237  1732 19378 12260 16967 22846  5942
  4227  1802 20711 22520 29513  4519  9714 14746 20545 17335 14410 18050
 12336 17038 25604 22995  3106  6057 11175  2548 13557 31897 30799 28145
 10049   890 20515 31938  9880  7952  2948 31629  7404 16408  4270 29107
 23010 28451 11674 30868   800 11835 16027 29127 12054 31345   784  7397
 32005  8531  3951 15469 25885 31255 25821 24818 26795 23034 25888   390
 29459 16508 18661 16661 17644 20387  3347 11385 15189 19433 13707  4581
  2871 18660 28433  4284]","[23947 11955 13918 25119  6602 11461  6025 24978 15100 26554 17512  6178
 26882 30673 15162  5964  6683 18237  1732 19378 12260 16967 22846  5942
  4227  1802 20711 22520 29513  4519  9714 14746 20545 17335 14410 18050
 12336 17038 25604 22995  3106  6057 11175  2548 13557 31897 30799 28145
 10049   890 20515 31938  9880  7952  2948 31629  7404 16408  4270 29107
 23010 28451 11674 30868   800 11835 16027 29127 12054 31345   784  7397
 32005  8531  3951 15469 25885 31255 25821 24818 26795 23034 25888   390
 29459 16508 18661 16661 17644 20387  3347 11385 15189 19433 13707  4581
  2871 18660 28433  4284]",,100,code_module,EEE
opt,"[28433 11835 25604 16508 20711 14410 11385 32005 11175 11674  2871 16027
  2948  9714   890 30799 11461 20515 10049 15100 31938 25885 12336   390
 25119 24978  6178 19433 20387 12260  3347  5964  4519  4581  6025 26554
  6602  9880 26882 26795 16967  8531 23947 11955 31255 29127 20545 29107
 13707  1802  6057  6683 29513  7952 25821 28451 30673 30868 23010 23034
 13918 16408  7404 31897 13557 28145 22995 17038  7397 18237  5942 14746
  3951 18050  4270   784 22520   800 31345  2548 24818 15469 29459 12054
 31629 16661 19378  4284  4227  1732 15162  3106 18660 17335 17644 15189
 18661 22846 17512 25888]","[20711, 20515, 19433, 20387, 20545, 19378, 28433, 11835, 25604, 16508, 14410, 11385, 32005, 11175, 11674, 2871, 16027, 2948, 9714, 890, 30799, 11461, 10049, 15100, 31938, 25885, 12336, 390, 25119, 24978, 6178, 12260, 3347, 5964, 4519, 4581, 6025, 26554, 6602, 9880, 26882, 26795, 16967, 8531, 23947, 11955, 31255, 29127, 29107, 13707, 1802, 6057, 6683, 29513, 7952, 25821, 28451, 30673, 30868, 23010, 23034, 13918, 16408, 7404, 31897, 13557, 28145, 22995, 17038, 7397, 18237, 5942, 14746, 3951, 18050, 4270, 784, 22520, 800, 31345, 2548, 24818, 15469, 29459, 12054, 31629, 16661, 4284, 4227, 1732, 15162, 3106, 18660, 17335, 17644, 15189, 18661, 22846, 17512, 25888]",,100,code_module,EEE
