algorithm,original,reordered,model,size,column,value
random,"[  722 11346 29097  9918 15744 21689  2611 18636  8195 29781 16423  4451
 21264 12763 31369  8891   662 18221 20265 24259    41  9304 26565 25677
  6014 23041 14394 10650  3387 27059 14048 13567 18281 28708 18256 32460
 20759  8316 14245 31495 26502 19198  4608  4553 26404 16942  4694 21359
 32272  2704  2661 28603 17848 25249  1433  3474  8119  1919 11759 12949
  7656 21815 17729 12074 12048  9582 15854 16145  8142 25429 19617  1956
 31007  8784  5723 28039  3355 32535  6426 13074 21927  8967 22980  8583
  1376  2216  3770 12405  8257 18949 23069   824  9179  3330 23056  2293
 14988  7140  7313 22525]","[  722 11346 29097  9918 15744 21689  2611 18636  8195 29781 16423  4451
 21264 12763 31369  8891   662 18221 20265 24259    41  9304 26565 25677
  6014 23041 14394 10650  3387 27059 14048 13567 18281 28708 18256 32460
 20759  8316 14245 31495 26502 19198  4608  4553 26404 16942  4694 21359
 32272  2704  2661 28603 17848 25249  1433  3474  8119  1919 11759 12949
  7656 21815 17729 12074 12048  9582 15854 16145  8142 25429 19617  1956
 31007  8784  5723 28039  3355 32535  6426 13074 21927  8967 22980  8583
  1376  2216  3770 12405  8257 18949 23069   824  9179  3330 23056  2293
 14988  7140  7313 22525]",,100,code_module,DDD
opt,"[   41 22525  2611  9179 19198 14048 19617  2293 12949  9582 18949  3387
  8891 12048 17848  1433  8195 23069 12763  7656 21815   824 26565 17729
 25677 15854 12405 28603 16423 29097  2661 14988  2704 20265 23041  8119
 14245 15744 27059  3330 22980 31369  8784  3355 32272  3474 21689 12074
 18636 24259  7140  4694  5723  4608 32535 32460  9918  7313 21927 21264
 31007 31495 25249 11346  8257 10650 26404  1376   662  8583 23056 26502
  6014 29781 11759 16942 28039  6426 16145  8142  1956  4451  9304 14394
 21359   722 18221  8316  2216 13074  3770 25429  8967  1919 18256  4553
 20759 28708 18281 13567]","[19198, 14048, 18949, 17848, 17729, 15854, 16423, 14988, 14245, 15744, 18636, 16942, 16145, 14394, 18221, 18256, 18281, 13567, 41, 22525, 2611, 9179, 19617, 2293, 12949, 9582, 3387, 8891, 12048, 1433, 8195, 23069, 12763, 7656, 21815, 824, 26565, 25677, 12405, 28603, 29097, 2661, 2704, 20265, 23041, 8119, 27059, 3330, 22980, 31369, 8784, 3355, 32272, 3474, 21689, 12074, 24259, 7140, 4694, 5723, 4608, 32535, 32460, 9918, 7313, 21927, 21264, 31007, 31495, 25249, 11346, 8257, 10650, 26404, 1376, 662, 8583, 23056, 26502, 6014, 29781, 11759, 28039, 6426, 8142, 1956, 4451, 9304, 21359, 722, 8316, 2216, 13074, 3770, 25429, 8967, 1919, 4553, 20759, 28708]",,100,code_module,DDD
warmup,"[16423 11759 17848  3474 26404 18636 27059 15854 10650  1433  4451 14048
 23056  1919 22525 31369  7140  8257  9582   662 14394  8967 20265 32460
    41 13567 29781 21927  8891  6426  2293  3355  2704  4694 23069 18256
 20759 16145 21689  9918 22980 29097 12405  2661  9179  2611 14245 19198
  3387  5723 26502 21359   824 18281  1376 14988  7313 18949  1956 31495
 17729 25249  8119  8583 16942 21264  8142  8316 24259 11346 21815 12763
  4553 28603 32272  6014 18221 15744 32535  7656 19617 28039  4608   722
 12074  3330 25677 13074 12048 31007  8195  2216  3770  8784 23041 26565
 12949 28708  9304 25429]","[11759, 16423, 17848, 17848, 18636, 15854, 27059, 14048, 23056, 7140, 13567, 41, 8891, 18256, 16145, 22980, 14245, 19198, 14245, 19198, 18949, 18949, 17729, 21264, 16942, 18221, 15744, 18221, 15744, 19617, 28039, 4608, 722, 12949, 3474, 26404, 10650, 1433, 4451, 1919, 22525, 31369, 8257, 9582, 662, 14394, 8967, 20265, 32460, 29781, 21927, 6426, 2293, 3355, 2704, 4694, 23069, 20759, 21689, 9918, 29097, 12405, 2661, 9179, 2611, 3387, 5723, 26502, 21359, 824, 18281, 1376, 14988, 7313, 1956, 31495, 25249, 8119, 8583, 8142, 8316, 24259, 11346, 21815, 12763, 4553, 28603, 32272, 6014, 32535, 7656, 12074, 3330, 25677, 13074, 12048, 31007, 8195, 2216, 3770]",qwen2:7b,100,code_module,DDD
bigraph,"[12074 31495  8119 23069 18636  8583  2704  9179 26404  2661  8891  2611
  8142 28039 29097 31007 28708  6426 12405  3355  7140 10650 32535  4608
 11346 26502 16145 16942  2293 19617 18281  1376  8967 32460  3474  8257
  3330  1919 21689 18256  1433 13567   662 24259 14988  6014 28603 17729
 18221 19198  9918 20759  5723 21927 25429 20265 23041 21359 12763  7313
  4694 25677 31369 17848   722 12949 32272  8316  8195 14394 25249  9582
 22980  7656 23056  9304 22525 21264 21815 27059 15744 29781  3770  8784
 18949 11759  3387 12048  4451  2216   824 15854 26565  1956  4553 14048
    41 14245 16423 13074]","[18281, 18256, 14988, 19198, 4694, 17848, 16423, 17729, 14245, 18221, 9582, 16942, 18636, 32272, 13567, 12763, 13074, 6426, 1376, 14394, 22980, 7656, 4608, 14048, 9179, 28708, 20265, 7313, 26565, 9304, 12405, 21359, 25429, 10650, 16145, 18949, 15854, 15744, 22525, 4553, 12048, 1956, 3330, 21927, 2661, 8583, 11346, 7140, 19617, 29097, 2704, 31495, 20759, 23041, 8784, 24259, 26404, 8891, 6014, 3355, 25249, 662, 41, 4451, 29781, 5723, 25677, 8257, 8142, 8967, 3770, 824, 12074, 11759, 8119, 23069, 2611, 28039, 31007, 32535, 26502, 2293, 32460, 3474, 1919, 21689, 1433, 28603, 9918, 31369, 722, 12949, 8316, 8195, 23056, 21264, 21815, 27059, 3387, 2216]",qwen2:7b,100,code_module,DDD
random,"[31182  4352 27663 23337  4885 23811  5032 16954 10045 25884  7636 15298
 32422 29885 25489  5873 32468 18877 20316 12117  8649 27751 22549 11085
  3588 30463 29958  1027 24075  9650   609  5638 27070  2526 29506 22892
 27234 13828 19073 13211 27260  6061 13636 29608  3982 20612  8653 26472
 28492 29485  1463 27665 20756 30988 27850 25670 26998 10510 20969 32574
  7867 28854 23452  4140  3755 31127 32076 20500  3296 30931 32105 24096
  5898 13918 20348  9603  7398 24135 22537 16335 20610 10996 22603 24829
  1907 28683 30027 11807   445 13147  6518  3109   271 19373 10332 15740
 18835 29409  2617 29620]","[31182  4352 27663 23337  4885 23811  5032 16954 10045 25884  7636 15298
 32422 29885 25489  5873 32468 18877 20316 12117  8649 27751 22549 11085
  3588 30463 29958  1027 24075  9650   609  5638 27070  2526 29506 22892
 27234 13828 19073 13211 27260  6061 13636 29608  3982 20612  8653 26472
 28492 29485  1463 27665 20756 30988 27850 25670 26998 10510 20969 32574
  7867 28854 23452  4140  3755 31127 32076 20500  3296 30931 32105 24096
  5898 13918 20348  9603  7398 24135 22537 16335 20610 10996 22603 24829
  1907 28683 30027 11807   445 13147  6518  3109   271 19373 10332 15740
 18835 29409  2617 29620]",,100,code_module,DDD
opt,"[13828  8649 28854 11807 10510 31182 27665 29958  5032  6518 29608  3109
 20316 25489 24829 25670  1463 32105  4140  7867 22549 22537 20969 19373
 30931  4885 31127 30988 23452 10996  7636 28492 10332   271 20610 23337
  1027 23811 10045  5638  3755   445 27070 24135 13147  9603 16954 28683
 22603 26472 24075 29506  2526 30463 20348 29620 29885 26998 15298  1907
  2617 20756  3296 20612 32468  8653 32574  3588 27260 13918 29485  4352
 32076 27850 22892 13211  5873  9650 11085 15740 30027 29409   609 32422
  7398 25884 16335 18877  5898 27663 18835 27234 27751  6061 12117 19073
 20500  3982 13636 24096]","[13828, 13147, 16954, 15298, 13918, 13211, 15740, 16335, 18877, 18835, 19073, 13636, 8649, 28854, 11807, 10510, 31182, 27665, 29958, 5032, 6518, 29608, 3109, 20316, 25489, 24829, 25670, 1463, 32105, 4140, 7867, 22549, 22537, 20969, 19373, 30931, 4885, 31127, 30988, 23452, 10996, 7636, 28492, 10332, 271, 20610, 23337, 1027, 23811, 10045, 5638, 3755, 445, 27070, 24135, 9603, 28683, 22603, 26472, 24075, 29506, 2526, 30463, 20348, 29620, 29885, 26998, 1907, 2617, 20756, 3296, 20612, 32468, 8653, 32574, 3588, 27260, 29485, 4352, 32076, 27850, 22892, 5873, 9650, 11085, 30027, 29409, 609, 32422, 7398, 25884, 5898, 27663, 27234, 27751, 6061, 12117, 20500, 3982, 24096]",,100,code_module,DDD
warmup,"[22603  6518 30463 16335 20500 27663 19073  3982 27751 13147 10510 10996
  6061 27260  2617 16954 20348  3296  5898 11807   271 29620 13828 11085
 27850 10332 20612  9650 12117 13636 10045 31182  8653  5638 27665 19373
  1907 27234 22537 23337 32422  1027 18877 32468 15298 15740  5873 23452
 24829   609 13211 29885 30931 32105  4352 13918  3588  8649 28854 20610
 26472 30988 18835 25884 28683 32574 29485 30027  9603  1463 20316  3109
 20969   445 25489 23811 20756 29409  5032 32076  7636  3755 25670 31127
  4885 22892 24075 22549 24096  2526 26998 28492  7398 29608 29506 24135
  7867  4140 29958 27070]","[16335, 19073, 19073, 13147, 16954, 27260, 13828, 27850, 13636, 13636, 8653, 1907, 15298, 15740, 15298, 15740, 13211, 13918, 28683, 9603, 20969, 4885, 4885, 24096, 22603, 6518, 30463, 20500, 27663, 3982, 27751, 10510, 10996, 6061, 2617, 20348, 3296, 5898, 11807, 271, 29620, 11085, 10332, 20612, 9650, 12117, 10045, 31182, 5638, 27665, 19373, 27234, 22537, 23337, 32422, 1027, 18877, 32468, 5873, 23452, 24829, 609, 29885, 30931, 32105, 4352, 3588, 8649, 28854, 20610, 26472, 30988, 18835, 25884, 32574, 29485, 30027, 1463, 20316, 3109, 445, 25489, 23811, 20756, 29409, 5032, 32076, 7636, 3755, 25670, 31127, 22892, 24075, 22549, 2526, 26998, 28492, 7398, 29608, 29506]",qwen2:7b,100,code_module,DDD
bigraph,"[20500  7636  5638 29506 10996 12117  5873 23337  3588 27260 26472  5898
 13147 24096 10510  2526  3755 32105 10045 25489 24135 20610 20969 30463
 27850 32076 22549  3296  8653 13636 23452  3982   445  9650   271 15298
 29958 27663 27234 32468 11085 28683  1463 16954 11807 22892 27751  6061
 28854 26998 19073 22603 32574 32422 16335 13918  4352 31127 25670 19373
 20612 27665  4140 25884 24075  1027 23811  9603 29409  7398  4885  2617
 27070  8649 24829 18877 30988 20756 29608 20316  3109 29885 10332  6518
 31182   609 30027 20348  7867 13211 30931 15740 29485 13828  1907 22537
 18835 29620 28492  5032]","[13147, 19073, 20348, 15298, 4352, 15740, 13828, 23811, 13918, 18835, 32468, 16954, 30988, 16335, 18877, 26472, 10996, 29506, 22892, 24135, 7636, 27260, 10510, 2526, 20610, 23452, 28854, 2617, 30027, 30931, 29620, 20612, 24096, 3588, 31127, 7867, 29885, 445, 25884, 13211, 8653, 27234, 1027, 3296, 25489, 27665, 27751, 8649, 32574, 11807, 10045, 13636, 22603, 28683, 23337, 3982, 27663, 28492, 9650, 31182, 29409, 20756, 22549, 10332, 20500, 5638, 12117, 5873, 5898, 3755, 32105, 20969, 30463, 27850, 32076, 271, 29958, 11085, 1463, 6061, 26998, 32422, 25670, 19373, 4140, 24075, 9603, 7398, 4885, 27070, 24829, 29608, 20316, 3109, 6518, 609, 29485, 1907, 22537, 5032]",qwen2:7b,100,code_module,DDD
random,"[21422 15352  2412 26372  4609 12031 24024 30433 29959 25736 13231 14971
  6686 18873 30554  7384  4717  6417 20088  6484  9286 20624 12899 24476
 23996 18918 18195  2746 15515  5529 10122  4644   430 20553  4777 14770
  8252 28182 22045   674 18528 13567 30676 30776  5028 14099 12734 23408
 25007 17771 19097 21349 13804  7686 13469  5231 30190  6657 14320 18797
 16901  6845 27191 17143 14280 21486 30501 16455 21702 14517 15157 28516
 14798 19694 30100 12421  2040 31394  1019 18201 26121 25023 31723  4195
 22547 16808  6330 25905 14018  9075  1464 11861  6302  6916 25315  6406
  9408 27563 23169  1428]","[21422 15352  2412 26372  4609 12031 24024 30433 29959 25736 13231 14971
  6686 18873 30554  7384  4717  6417 20088  6484  9286 20624 12899 24476
 23996 18918 18195  2746 15515  5529 10122  4644   430 20553  4777 14770
  8252 28182 22045   674 18528 13567 30676 30776  5028 14099 12734 23408
 25007 17771 19097 21349 13804  7686 13469  5231 30190  6657 14320 18797
 16901  6845 27191 17143 14280 21486 30501 16455 21702 14517 15157 28516
 14798 19694 30100 12421  2040 31394  1019 18201 26121 25023 31723  4195
 22547 16808  6330 25905 14018  9075  1464 11861  6302  6916 25315  6406
  9408 27563 23169  1428]",,100,code_module,DDD
opt,"[30501 30676 15515  8252 12734  6330 14971 26121 24024 30554 12031 18797
 21349 13804 27563 25023 18201 18873 23996  6916 13567 21486 18528 23169
 29959 30433 14280  6845  9286  1464 16808 18195 25007 25315 16455  6686
 14517 14770  4644  7686 31723  5231  5529 30100  2746 17143 26372  9408
 24476   430 14018  4717 18918 15157 13231  6417 14320 30776 25736 16901
  6484 17771 31394 20624  4777  2412  1428 10122  4609 30190 22547  9075
  2040 20553 15352  7384  6406 14099 11861 20088   674 27191 23408 28182
 19097 21702 22045 13469 28516  6302 12421 21422  5028 25905 12899  4195
  6657 14798  1019 19694]","[15515, 14971, 18797, 13804, 18201, 18873, 13567, 18528, 14280, 16808, 18195, 16455, 14517, 14770, 17143, 14018, 18918, 15157, 13231, 14320, 16901, 17771, 15352, 14099, 19097, 13469, 14798, 30501, 30676, 8252, 12734, 6330, 26121, 24024, 30554, 12031, 21349, 27563, 25023, 23996, 6916, 21486, 23169, 29959, 30433, 6845, 9286, 1464, 25007, 25315, 6686, 4644, 7686, 31723, 5231, 5529, 30100, 2746, 26372, 9408, 24476, 430, 4717, 6417, 30776, 25736, 6484, 31394, 20624, 4777, 2412, 1428, 10122, 4609, 30190, 22547, 9075, 2040, 20553, 7384, 6406, 11861, 20088, 674, 27191, 23408, 28182, 21702, 22045, 28516, 6302, 12421, 21422, 5028, 25905, 12899, 4195, 6657, 1019, 19694]",,100,code_module,DDD
