algorithm,original,reordered,model,size,column,value,rank_utils,gpt-3.5-turbo_error
random,"[43161 31053 16937 34704 36537 42724 39004 45875  6831 31367 15014 29639
 17025 32936 11797 42935 27865 11653 33737 35589 23143 25407 27893 28023
 11208 31591 26691 39980 14582 33652 40455 10810  2127  3583 10486 22108
  8571 39317  7591   429 40448 30252 25424 10121 44298 26807 13573 17104
 36143 17196]","[43161 31053 16937 34704 36537 42724 39004 45875  6831 31367 15014 29639
 17025 32936 11797 42935 27865 11653 33737 35589 23143 25407 27893 28023
 11208 31591 26691 39980 14582 33652 40455 10810  2127  3583 10486 22108
  8571 39317  7591   429 40448 30252 25424 10121 44298 26807 13573 17104
 36143 17196]",,50,workclass,State-gov,0.17451690821256038,0.2
opt,"[ 6831 34704 43161 40455 16937  3583 29639 10810 32936 11797 17104 42724
 39004 13573 25407 17196 26807 31591 33652 27865 26691 45875 10121 25424
 36537 22108 33737 35589 10486 31367 39980 15014 44298 14582 40448 42935
 23143  7591 17025 30252 28023 31053 36143  8571  2127   429 27893 11208
 11653 39317]","[6831, 26807, 28023, 34704, 43161, 40455, 16937, 3583, 29639, 10810, 32936, 11797, 17104, 42724, 39004, 13573, 25407, 17196, 31591, 33652, 27865, 26691, 45875, 10121, 25424, 36537, 22108, 33737, 35589, 10486, 31367, 39980, 15014, 44298, 14582, 40448, 42935, 23143, 7591, 17025, 30252, 31053, 36143, 8571, 2127, 429, 27893, 11208, 11653, 39317]",,50,workclass,State-gov,1.8333333333333333,0.2
warmup,"[35589 39004 11653 17104 27865  3583 26807 40448 43161 33737 44298 25424
 11208 36537 32936 28023 36143 17196 42935 13573 23143  6831 31591 22108
 15014 10121 29639 26691  7591   429 45875  8571 25407 30252 11797 10810
 39980 27893 39317 42724 40455  2127 16937 33652 14582 10486 31367 17025
 34704 31053]","[26807, 28023, 28023, 6831, 35589, 39004, 11653, 17104, 27865, 3583, 40448, 43161, 33737, 44298, 25424, 11208, 36537, 32936, 36143, 17196, 42935, 13573, 23143, 31591, 22108, 15014, 10121, 29639, 26691, 7591, 429, 45875, 8571, 25407, 30252, 11797, 10810, 39980, 27893, 39317, 42724, 40455, 2127, 16937, 33652, 14582, 10486, 31367, 17025]",mistral:7b,50,workclass,State-gov,2.083333333333333,0.4
bigraph,"[25407 40455 33652   429 30252 11208 44298 25424 42935 39980 11797 10810
 31053 14582 36537 27893 16937 17025 43161 29639 35589 42724 28023 34704
  6831 15014 31591 13573 10486  3583 26807 22108  2127 39317 40448 10121
 26691 45875  7591  8571 32936 31367 33737 17104 23143 17196 27865 36143
 11653 39004]","[6831, 26807, 429, 17104, 39317, 27893, 42724, 28023, 45875, 3583, 30252, 39004, 17025, 25407, 40455, 33652, 11208, 44298, 25424, 42935, 39980, 11797, 10810, 31053, 14582, 36537, 16937, 43161, 29639, 35589, 34704, 15014, 31591, 13573, 10486, 22108, 2127, 40448, 10121, 26691, 7591, 8571, 32936, 31367, 33737, 23143, 17196, 27865, 36143, 11653]",mistral:7b,50,workclass,State-gov,1.625,-0.1
random,"[35968 29742 25302 17615 18944 33021  9620  1335  7542  8190 15243 10231
 47393 14257 37563 46291 39788 42571 38954  6576  1316 12108 46329 23532
 32385 20279 21810   688 21208 18729 10088  2267 36899 36314 18767  2935
 48009 14403  5877 11142  7500   707  8496 25370 30263 23765 13424  1458
 24036 15040]","[35968 29742 25302 17615 18944 33021  9620  1335  7542  8190 15243 10231
 47393 14257 37563 46291 39788 42571 38954  6576  1316 12108 46329 23532
 32385 20279 21810   688 21208 18729 10088  2267 36899 36314 18767  2935
 48009 14403  5877 11142  7500   707  8496 25370 30263 23765 13424  1458
 24036 15040]",,50,workclass,State-gov,0.2909090909090909,0.0
opt,"[25302  5877 20279 37563 42571 10088 13424 14257 35968 15040 39788  6576
 47393 23532 32385 17615 36314 14403 38954 21208 21810 46329  7500 30263
  7542  1335  1316 46291  8496 10231 12108 25370  9620 18767 15243 11142
   688  2935   707  2267 18944  8190 29742 18729 36899 48009 24036 33021
  1458 23765]","[15243, 18944, 25302, 5877, 20279, 37563, 42571, 10088, 13424, 14257, 35968, 15040, 39788, 6576, 47393, 23532, 32385, 17615, 36314, 14403, 38954, 21208, 21810, 46329, 7500, 30263, 7542, 1335, 1316, 46291, 8496, 10231, 12108, 25370, 9620, 18767, 11142, 688, 2935, 707, 2267, 8190, 29742, 18729, 36899, 48009, 24036, 33021, 1458, 23765]",,50,workclass,State-gov,1.5,0.0
warmup,"[48009 38954 20279 47393  5877  9620 14403   707  1316 13424 25302 35968
 18944 30263 36314 15040 14257 23765 42571 18729 32385  2267 21208 11142
 10088 46329 17615 10231  1335  7500 39788  1458 18767  8190 24036   688
  8496 21810  6576 29742  7542 25370  2935 37563 23532 15243 46291 33021
 36899 12108]","[18944, 18944, 15243, 48009, 38954, 20279, 47393, 5877, 9620, 14403, 707, 1316, 13424, 25302, 35968, 30263, 36314, 15040, 14257, 23765, 42571, 18729, 32385, 2267, 21208, 11142, 10088, 46329, 17615, 10231, 1335, 7500, 39788, 1458, 18767, 8190, 24036, 688, 8496, 21810, 6576, 29742, 7542, 25370, 2935, 37563, 23532, 46291, 33021]",mistral:7b,50,workclass,State-gov,1.8333333333333333,0.4
bigraph,"[36899 21810 46329  8190 17615 39788  6576 25370  1316 36314   707 23532
 24036   688 25302 13424 12108  7500 18944 11142 20279 29742 47393 14403
 30263 15040 48009 18767 23765  2935 18729 14257  9620 37563  2267 42571
 15243 10088 33021 21208 38954  8496  7542 10231  1335 46291  1458  5877
 35968 32385]","[15243, 18944, 25302, 21208, 29742, 11142, 46291, 38954, 36899, 21810, 46329, 8190, 17615, 39788, 6576, 25370, 1316, 36314, 707, 23532, 24036, 688, 13424, 12108, 7500, 20279, 47393, 14403, 30263, 15040, 48009, 18767, 23765, 2935, 18729, 14257, 9620, 37563, 2267, 42571, 10088, 33021, 8496, 7542, 10231, 1335, 1458, 5877, 35968, 32385]",mistral:7b,50,workclass,State-gov,1.5,-0.1
random,"[27217 19640 17822 30388 20093 15133 47496  3123 16033 25715  3040 26994
 14288 24130 13756 45116 16748 20216 14983 11755  2345 27961  2236 32622
 40016  3160 11875 29690 16159 20761  6095 32373  6395 30020 45872 28533
 11590 43326 33582 27218  7908  6315  8071 43493  8187 39911 30812 21596
  5015 27437]","[27217 19640 17822 30388 20093 15133 47496  3123 16033 25715  3040 26994
 14288 24130 13756 45116 16748 20216 14983 11755  2345 27961  2236 32622
 40016  3160 11875 29690 16159 20761  6095 32373  6395 30020 45872 28533
 11590 43326 33582 27218  7908  6315  8071 43493  8187 39911 30812 21596
  5015 27437]",,50,workclass,State-gov,0.23125,0.2
opt,"[ 7908 32373 24130 15133 27217 13756  5015 19640 17822 21596  2236 11590
 25715  8071  3160 30388 33582 30020 11755 26994 30812 14288  6095 32622
  6315 11875  3123 28533 39911 27437  2345 20216 27218 45116 20093 14983
 16748  6395 45872 43326 16033  8187 43493 40016 16159 20761  3040 29690
 27961 47496]","[32373, 20093, 7908, 24130, 15133, 27217, 13756, 5015, 19640, 17822, 21596, 2236, 11590, 25715, 8071, 3160, 30388, 33582, 30020, 11755, 26994, 30812, 14288, 6095, 32622, 6315, 11875, 3123, 28533, 39911, 27437, 2345, 20216, 27218, 45116, 14983, 16748, 6395, 45872, 43326, 16033, 8187, 43493, 40016, 16159, 20761, 3040, 29690, 27961, 47496]",,50,workclass,State-gov,1.5,0.0
