algorithm,original,reordered,model,size,column,value,rank_utils,gpt-3.5-turbo_error
random,"[13438 19509  1233 18016 19278 29658 29143 12366  5185 20070 10823  3753
  1671  8500 24654  4153 31908  7003 29660 20513  7891 17657  9704 24568
 27804 15003  6834  2032 28218 28068  2137   304 15511 26156 17117  3498
  6679 28007 20997  6917  6747  1746 32160  9607 18684  5313  8045  3125
  8718 14889  3749  6331 26044 19773 11787 16045 29904 31900 23067  2994
 16594 12279  6029 18811  1342  9616 23976 26785  8909  2623 28179 18174
 14333 11933 28870 19918 30747 19318 12568 22532  3944 29116 17685 31049
 13685  2432 21014 30201  7919 20821 13610 10879  9672  8673  6435 19364
 17728   794 19497  4333]","[13438 19509  1233 18016 19278 29658 29143 12366  5185 20070 10823  3753
  1671  8500 24654  4153 31908  7003 29660 20513  7891 17657  9704 24568
 27804 15003  6834  2032 28218 28068  2137   304 15511 26156 17117  3498
  6679 28007 20997  6917  6747  1746 32160  9607 18684  5313  8045  3125
  8718 14889  3749  6331 26044 19773 11787 16045 29904 31900 23067  2994
 16594 12279  6029 18811  1342  9616 23976 26785  8909  2623 28179 18174
 14333 11933 28870 19918 30747 19318 12568 22532  3944 29116 17685 31049
 13685  2432 21014 30201  7919 20821 13610 10879  9672  8673  6435 19364
 17728   794 19497  4333]",,100,code_module,EEE,0.7504404796487373,0.2
opt,"[ 3125 18016  1671  8673 19918  7891  4153 24568 21014  3749 19497 15003
  3498 17685 19773  2432  9616  2137  1746  2032 29116 28218 13610 13685
  8909 14889 24654 19278 30747  6331  3753 18174  5185  9672 23976 31900
 19364 22532  7003 29660  9704 11787  9607 20821  6679 32160 30201 17657
 17117 23067 29904  6834  1342 10823  4333 17728  2623 26785 20070 26156
   304 28068 14333 12279 16594  6435 12568 18684  6917 19318  2994  6747
 18811 16045  6029  7919  5313 20997 27804 28007 13438 31908   794 28870
 15511  8045  8718 11933 19509 28179  8500  1233 29143 29658 26044 12366
 31049  3944 20513 10879]","[19918, 21014, 19497, 19773, 19364, 20821, 20070, 20997, 19509, 20513, 3125, 18016, 1671, 8673, 7891, 4153, 24568, 3749, 15003, 3498, 17685, 2432, 9616, 2137, 1746, 2032, 29116, 28218, 13610, 13685, 8909, 14889, 24654, 19278, 30747, 6331, 3753, 18174, 5185, 9672, 23976, 31900, 22532, 7003, 29660, 9704, 11787, 9607, 6679, 32160, 30201, 17657, 17117, 23067, 29904, 6834, 1342, 10823, 4333, 17728, 2623, 26785, 26156, 304, 28068, 14333, 12279, 16594, 6435, 12568, 18684, 6917, 19318, 2994, 6747, 18811, 16045, 6029, 7919, 5313, 27804, 28007, 13438, 31908, 794, 28870, 15511, 8045, 8718, 11933, 28179, 8500, 1233, 29143, 29658, 26044, 12366, 31049, 3944, 10879]",,100,code_module,EEE,2.9289682539682538,0.6
warmup,"[13685  4153 20070 28007 20997 18811 24568 29904  2994 29660 29143 18684
  4333 26044 10879  1233 20821 18174  3753  6029 31049 19509  8909 28218
  1746 20513  6747  2623 26785  5313 11933 19364 15003  7003 26156  2137
  9607  5185  1671 18016  3749  3125 28870  6679 12279 21014  9704 23067
 19497  1342 23976   304 17728  8045  9616  6435  7891 12568  6834 28179
 13610 13438 29658 31908  2432  3944 31900 32160 19278 16045 28068 27804
  2032 11787 19918  6917   794  8718 14333  9672 19318  3498  7919 19773
  8500 17685 15511  6331 30747 22532 10823 14889 30201 29116  8673 17117
 24654 16594 17657 12366]","[20070, 20997, 18811, 20821, 20821, 19509, 31049, 19509, 20513, 20513, 19364, 21014, 19497, 19918, 19918, 19773, 19773, 13685, 4153, 28007, 24568, 29904, 2994, 29660, 29143, 18684, 4333, 26044, 10879, 1233, 18174, 3753, 6029, 8909, 28218, 1746, 6747, 2623, 26785, 5313, 11933, 15003, 7003, 26156, 2137, 9607, 5185, 1671, 18016, 3749, 3125, 28870, 6679, 12279, 9704, 23067, 1342, 23976, 304, 17728, 8045, 9616, 6435, 7891, 12568, 6834, 28179, 13610, 13438, 29658, 31908, 2432, 3944, 31900, 32160, 19278, 16045, 28068, 27804, 2032, 11787, 6917, 794, 8718, 14333, 9672, 19318, 3498, 7919, 8500, 17685, 15511, 6331, 30747, 22532, 10823, 14889, 30201, 29116, 8673]",mistral:7b,100,code_module,EEE,2.9633620464502823,1.4
bigraph,"[ 5313 11933 19509  6331  2623  2994 29660 30747 32160 23976  3749 12279
 31908 30201  3498 17117  6029 19918 23067  6747  9607 28870  7919 31049
 22532  8909 19497 26785 20821  1233 21014 26044  4333 18684 19278  3944
 29658  5185  7891 29904 10823  9704  2137  7003  3753  9672 17728 19773
  8718 28007  2432  1342  1746 13685 28179 28068  9616  6679 16045 17657
  6435 19318 14333 18811  8500 13610 31900 10879 29116 17685 20513  6917
  3125  4153 24654 11787 19364 18174 28218 20070  1671 20997 15003 15511
 16594 26156 18016 29143  2032   304 27804  8045 12366   794 24568  8673
 12568 14889 13438  6834]","[19918, 19497, 19773, 20997, 20821, 20070, 19509, 20513, 29143, 6331, 2994, 3944, 15003, 10879, 3125, 2032, 8718, 7003, 13685, 2623, 21014, 19364, 31900, 9616, 17657, 18174, 7919, 26785, 12279, 5185, 17117, 8500, 8045, 24654, 28179, 5313, 11933, 29660, 30747, 32160, 23976, 3749, 31908, 30201, 3498, 6029, 23067, 6747, 9607, 28870, 31049, 22532, 8909, 1233, 26044, 4333, 18684, 19278, 29658, 7891, 29904, 10823, 9704, 2137, 3753, 9672, 17728, 28007, 2432, 1342, 1746, 28068, 6679, 16045, 6435, 19318, 14333, 18811, 13610, 29116, 17685, 6917, 4153, 11787, 28218, 1671, 15511, 16594, 26156, 18016, 304, 27804, 12366, 794, 24568, 8673, 12568, 14889, 13438, 6834]",mistral:7b,100,code_module,EEE,2.8109307359307354,0.8
random,"[25657 15612 30388 16718 23232 13157 29691  5122  2538 15806 29556 29619
    88  2322  5253 28900 24806   456 25516 32331  7597 20506 20179  9230
 29796 22687 18056  6656 11843 18230 32538 21348 25447 29666  9582 27038
  9799  7015 27745 21320  3894  2452  5320 23952 30915 27528 31305 28143
 17466  1238  4314 24857  5294 24808 19325 10105 16444 10423 12292 12947
 27134 30126 22879 32365 17762  5456 10175  4429 30029 12766 24126 21321
 29163  8745 17596 15369   455  8975  9515  4857 14574 21559  9782 29378
  3507  6310  2033 25165 22356 29765 14170 30991 19190  7374 10236  7822
 23033  9362 28167  2931]","[25657 15612 30388 16718 23232 13157 29691  5122  2538 15806 29556 29619
    88  2322  5253 28900 24806   456 25516 32331  7597 20506 20179  9230
 29796 22687 18056  6656 11843 18230 32538 21348 25447 29666  9582 27038
  9799  7015 27745 21320  3894  2452  5320 23952 30915 27528 31305 28143
 17466  1238  4314 24857  5294 24808 19325 10105 16444 10423 12292 12947
 27134 30126 22879 32365 17762  5456 10175  4429 30029 12766 24126 21321
 29163  8745 17596 15369   455  8975  9515  4857 14574 21559  9782 29378
  3507  6310  2033 25165 22356 29765 14170 30991 19190  7374 10236  7822
 23033  9362 28167  2931]",,100,code_module,EEE,0.1712668171642191,1.6
opt,"[ 6310 31305   455 21320  5294 28143 17466 30126 15369 30915 32331  3507
 14574 12947 23033  5253 25447 10105  7822 22687 18056 29619 10236 27528
 28167  9515 29163 15612 32538 20179  1238 12292 17596 11843  8975  9582
 14170  9230  2538  8745  3894  9362  2452 27134 21559 25657 24808  4857
 24857 15806    88 10175 30388 22879  4314 22356  2931 16444 27745 12766
 29796 25165 20506  2322  7015 28900 25516 30991 32365   456 29666 27038
 29378  9799  7597  5456 18230 21348 24126  2033  6656 23232 24806 29691
  5320 29556 10423 29765 19325 21321 13157 30029  9782  4429 23952  5122
 16718 17762 19190  7374]","[21320, 20179, 21559, 20506, 21348, 21321, 6310, 31305, 455, 5294, 28143, 17466, 30126, 15369, 30915, 32331, 3507, 14574, 12947, 23033, 5253, 25447, 10105, 7822, 22687, 18056, 29619, 10236, 27528, 28167, 9515, 29163, 15612, 32538, 1238, 12292, 17596, 11843, 8975, 9582, 14170, 9230, 2538, 8745, 3894, 9362, 2452, 27134, 25657, 24808, 4857, 24857, 15806, 88, 10175, 30388, 22879, 4314, 22356, 2931, 16444, 27745, 12766, 29796, 25165, 2322, 7015, 28900, 25516, 30991, 32365, 456, 29666, 27038, 29378, 9799, 7597, 5456, 18230, 24126, 2033, 6656, 23232, 24806, 29691, 5320, 29556, 10423, 29765, 19325, 13157, 30029, 9782, 4429, 23952, 5122, 16718, 17762, 19190, 7374]",,100,code_module,EEE,2.4499999999999997,2.0
warmup,"[ 9799 28900  3507  4857 21348 20506 15806  5253 31305 19325 24857   455
 17596 15369 10423  2452 24806 27038 11843 29796 30029  2931  9230 18056
 32365 27134  5122    88 30126  5456 12292  7597 23952 15612 10236  9515
 21559 12766 20179  8975  1238  3894  4429  2033 14170  6656  9362 23232
 32538 29619 10105 27745 30915 19190  2538 25165  9582 29666 30991  2322
 32331 12947   456  9782 22879 30388 25657 16718 29163 27528 22687  5294
 13157  4314 29556  5320 21321 24808 25516 29378  6310 28167 17466 16444
  7015 14574 25447 24126 21320  7822 18230 23033 29765  8745  7374 17762
 10175 22356 29691 28143]","[21348, 20506, 21348, 20506, 21559, 20179, 21559, 20179, 21321, 24808, 25516, 29378, 21320, 21320, 9799, 28900, 3507, 4857, 15806, 5253, 31305, 19325, 24857, 455, 17596, 15369, 10423, 2452, 24806, 27038, 11843, 29796, 30029, 2931, 9230, 18056, 32365, 27134, 5122, 88, 30126, 5456, 12292, 7597, 23952, 15612, 10236, 9515, 12766, 8975, 1238, 3894, 4429, 2033, 14170, 6656, 9362, 23232, 32538, 29619, 10105, 27745, 30915, 19190, 2538, 25165, 9582, 29666, 30991, 2322, 32331, 12947, 456, 9782, 22879, 30388, 25657, 16718, 29163, 27528, 22687, 5294, 13157, 4314, 29556, 5320, 6310, 28167, 17466, 16444, 7015, 14574, 25447, 24126, 7822, 18230, 23033, 29765, 8745, 7374]",mistral:7b,100,code_module,EEE,2.9773199023199024,2.6
bigraph,"[10105  2452   456 29691 24857 31305 30915  6656 27038 29666 32331 21320
 32365  7015  5294 25516 17762  9230 24808 27745 14170 10236 19190  9782
 30126 28143 23952 15612 11843  9362 22879  9515  2033 23033  5253 12947
 23232  9799 29619  2931 22687  6310 29378 28900 25657 30388  1238  4314
 10175 21348 12766  7822 21321 24806 29556  2322 16718  4857 32538 27134
 20179    88  3894 17596   455 29796 19325 15806  8975 21559 17466 27528
 24126 15369 20506 25165 22356  2538 28167 30991  9582  5320 30029  3507
  5456 25447 13157 14574 12292 18056 18230 29163  7597  4429 16444 29765
  5122  8745  7374 10423]","[21348, 21321, 20179, 21559, 20506, 21320, 9515, 23232, 30388, 27038, 25165, 32331, 19325, 25516, 4429, 10105, 2452, 456, 29691, 24857, 31305, 30915, 6656, 29666, 32365, 7015, 5294, 17762, 9230, 24808, 27745, 14170, 10236, 19190, 9782, 30126, 28143, 23952, 15612, 11843, 9362, 22879, 2033, 23033, 5253, 12947, 9799, 29619, 2931, 22687, 6310, 29378, 28900, 25657, 1238, 4314, 10175, 12766, 7822, 24806, 29556, 2322, 16718, 4857, 32538, 27134, 88, 3894, 17596, 455, 29796, 15806, 8975, 17466, 27528, 24126, 15369, 22356, 2538, 28167, 30991, 9582, 5320, 30029, 3507, 5456, 25447, 13157, 14574, 12292, 18056, 18230, 29163, 7597, 16444, 29765, 5122, 8745, 7374, 10423]",mistral:7b,100,code_module,EEE,2.4499999999999997,1.6
random,"[ 7437 27334 19273  4458 22262  3468 12706  4622 11835  5302 25380 25247
 26753 31402 27307 21226   229 15503  5422  9208 22607 32518  8755 21237
 23914 22077 18078 12325 29734  5132 10182 21301  1754 23491 25942 31490
 25330 28758 24582 14308 13156 25001 20150 17299 21049 18923 24164  9617
 32434 30839 19248 29666  5637 20902  7026  3706 10757  1237 17964 19377
 21861  7351 32349 22182 21901 11891 11836 24880 30628 12784 25201 22376
  1162 16771 23536 24806 15749  4756 28854 12913  9413  4865 21633 15026
   552 20399 22587 30869 24317 19943   197 22339   152 19765 22656 21238
 27448 24904 23611 15047]","[ 7437 27334 19273  4458 22262  3468 12706  4622 11835  5302 25380 25247
 26753 31402 27307 21226   229 15503  5422  9208 22607 32518  8755 21237
 23914 22077 18078 12325 29734  5132 10182 21301  1754 23491 25942 31490
 25330 28758 24582 14308 13156 25001 20150 17299 21049 18923 24164  9617
 32434 30839 19248 29666  5637 20902  7026  3706 10757  1237 17964 19377
 21861  7351 32349 22182 21901 11891 11836 24880 30628 12784 25201 22376
  1162 16771 23536 24806 15749  4756 28854 12913  9413  4865 21633 15026
   552 20399 22587 30869 24317 19943   197 22339   152 19765 22656 21238
 27448 24904 23611 15047]",,100,code_module,EEE,0.5577866598946137,2.4
opt,"[11891   152 11835 19765 12784 25001 32518 25380 19273 12913 22587 32349
 23611 24904 18078  4865  7026 22077 15749 21226  3706 30839 26753  5132
 20902 16771 24582  5302  9617 17299  1237 25247 24880  1754  7351 28854
 18923 22182 15047 25201 19248 21901   552 23536 21237 30869 28758 29734
 22339 30628 15026 23914  4622 22607 31402 24806 32434 20399  5637 21301
  5422 21049 29666   197 10757 22656  1162  8755   229  9208 12325 17964
 21633 27307 27448  4756 13156 25942 21238 20150 24164 22376 25330 11836
 23491 24317 22262 21861 15503  9413 19377 19943  4458 10182  3468 27334
 31490  7437 14308 12706]","[19765, 22077, 21226, 20902, 22182, 21901, 21237, 20399, 21301, 21049, 21633, 21238, 20150, 22262, 21861, 19377, 19943, 11891, 152, 11835, 12784, 25001, 32518, 25380, 19273, 12913, 22587, 32349, 23611, 24904, 18078, 4865, 7026, 15749, 3706, 30839, 26753, 5132, 16771, 24582, 5302, 9617, 17299, 1237, 25247, 24880, 1754, 7351, 28854, 18923, 15047, 25201, 19248, 552, 23536, 30869, 28758, 29734, 22339, 30628, 15026, 23914, 4622, 22607, 31402, 24806, 32434, 5637, 5422, 29666, 197, 10757, 22656, 1162, 8755, 229, 9208, 12325, 17964, 27307, 27448, 4756, 13156, 25942, 24164, 22376, 25330, 11836, 23491, 24317, 15503, 9413, 4458, 10182, 3468, 27334, 31490, 7437, 14308, 12706]",,100,code_module,EEE,3.439552522640758,2.4
