algorithm,original,reordered,model,size,column,value,rank_utils,gpt-3.5-turbo_error
random,"[506 318 284 599 446 324 703 199 427  29 614 860 763 211 312 667   2 500
 216 591 153 108 662 351 874 453 385 560 723  14 610 919 726 744 471 132
 676 875 336 137 487 101 921 680 250 640 433 779 228 958 190 691 592 683
 559 208 837 844 868 569]","[506 318 284 599 446 324 703 199 427  29 614 860 763 211 312 667   2 500
 216 591 153 108 662 351 874 453 385 560 723  14 610 919 726 744 471 132
 676 875 336 137 487 101 921 680 250 640 433 779 228 958 190 691 592 683
 559 208 837 844 868 569]",,60,High_Rated,True,0.2614209320091673,0.8
opt,"[284 703 868 250 667 559 108 763 569 324 318 683 385 680 874 610 487 723
 614 837 860 132 592 153 506 101 691 446 662 433 919  14 211 216 351  29
 560 427 208 599 190 500 228 726 744 676 591 137   2 336 199 875 779 453
 921 640 312 958 471 844]","[108, 101, 14, 29, 2, 284, 703, 868, 250, 667, 559, 763, 569, 324, 318, 683, 385, 680, 874, 610, 487, 723, 614, 837, 860, 132, 592, 153, 506, 691, 446, 662, 433, 919, 211, 216, 351, 560, 427, 208, 599, 190, 500, 228, 726, 744, 676, 591, 137, 336, 199, 875, 779, 453, 921, 640, 312, 958, 471, 844]",,60,High_Rated,True,2.283333333333333,0.0
warmup,"[676 560 190 614 312 199 506 427 487 108 958 101 324 433 153 667 137 723
 691 868 726 680 837 703 211 228 662 351 591 500 208 336 446 844 874 610
 385 250 569   2 284 763 216 875 132 683 453 592  14 559 919 471 779 640
 921  29 599 744 318 860]","[676, 108, 101, 591, 2, 2, 132, 132, 683, 132, 14, 471, 14, 471, 29, 599, 560, 190, 614, 312, 199, 506, 427, 487, 958, 324, 433, 153, 667, 137, 723, 691, 868, 726, 680, 837, 703, 211, 228, 662, 351, 500, 208, 336, 446, 844, 874, 610, 385, 250, 569, 284, 763, 216, 875, 453, 592, 559, 919, 779]",mistral:7b,60,High_Rated,True,1.4344988344988343,4.3
bigraph,"[958 919 569 471 385   2 132 318 875 446 216 726 610 599 487 560 592 250
 190 108  29 667 199 662 860 101 211 676 591 137 153 228 284 336 427 506
 844 837 614 921 683 874 559 324 208 351 703 868 779 691 500 744 453 312
 680 723 640  14 433 763]","[108, 29, 101, 14, 506, 592, 844, 132, 324, 216, 560, 662, 921, 190, 2, 250, 569, 487, 211, 640, 683, 779, 446, 559, 875, 763, 427, 919, 958, 614, 599, 318, 837, 860, 471, 385, 726, 610, 667, 199, 676, 591, 137, 153, 228, 284, 336, 874, 208, 351, 703, 868, 691, 500, 744, 453, 312, 680, 723, 433]",mistral:7b,60,High_Rated,True,2.15,-0.6000000000000001
random,"[377 732 979 495 167 234 225 485  59 753 606 359 212 366 897 490 249 173
 958 794 557 181 370 931  63 574 248 446 975   9 162 287 299 780 191 789
 887 385 524 651 422 740 646 103 211 312  86 502 527 715 854  66 831 414
 165 115 714 168 531 770]","[377 732 979 495 167 234 225 485  59 753 606 359 212 366 897 490 249 173
 958 794 557 181 370 931  63 574 248 446 975   9 162 287 299 780 191 789
 887 385 524 651 422 740 646 103 211 312  86 502 527 715 854  66 831 414
 165 115 714 168 531 770]",,60,High_Rated,True,0.2655362250043101,0.8
opt,"[524  86 103 173 422 715 212 975 770 168 162 740 831 854 527 490 502 234
 249 646 794 557 211 414 248 287 931 887 495 574   9 446 299 897 651 606
 485 312 753  63  66 958 366 789 167 531  59 165 370 181 359 780 115 714
 191 979 225 385 377 732]","[86, 103, 9, 63, 66, 59, 115, 524, 173, 422, 715, 212, 975, 770, 168, 162, 740, 831, 854, 527, 490, 502, 234, 249, 646, 794, 557, 211, 414, 248, 287, 931, 887, 495, 574, 446, 299, 897, 651, 606, 485, 312, 753, 958, 366, 789, 167, 531, 165, 370, 181, 359, 780, 714, 191, 979, 225, 385, 377, 732]",,60,High_Rated,True,2.5928571428571425,0.0
warmup,"[485 606 958 574 359 831 211 740 490 165 248 502 446 527 732 975 651  63
 103 191 931  66 287 715 524 234 299  86 168 887 249 789   9  59 714 370
 794 979 422 854 181 531 770 162 366 557 212 753 173 385 646 225 377 897
 167 495 312 414 780 115]","[359, 63, 103, 63, 103, 66, 86, 168, 887, 249, 789, 115, 115, 485, 606, 958, 574, 831, 211, 740, 490, 165, 248, 502, 446, 527, 732, 975, 651, 191, 931, 287, 715, 524, 234, 299, 9, 59, 714, 370, 794, 979, 422, 854, 181, 531, 770, 162, 366, 557, 212, 753, 173, 385, 646, 225, 377, 897, 167, 495]",mistral:7b,60,High_Rated,True,1.8064563696142641,1.9
bigraph,"[789  63 162 715 366   9 312 831 248 574 167 651 191 181 115  59 485 446
 780 531 249 299 753 958 770 606 740 287 979 211 234 414 490 422 165 524
 359 225 714 527 495 854  86 931 103 385 975 173 557  66 212 646 732 168
 887 502 897 370 794 377]","[9, 86, 66, 63, 103, 59, 414, 162, 168, 574, 740, 789, 646, 234, 115, 366, 191, 490, 249, 287, 181, 732, 377, 854, 770, 715, 312, 831, 248, 167, 651, 485, 446, 780, 531, 299, 753, 958, 606, 979, 211, 422, 165, 524, 359, 225, 714, 527, 495, 931, 385, 975, 173, 557, 212, 887, 502, 897, 370, 794]",mistral:7b,60,High_Rated,True,2.5166666666666666,-0.2
random,"[251 963 754  28 582 620 613  75 387 894 612 191 137 463 803 847 112 925
 953 266 933 984 959 267   5 755 541 263 417 643 212 928  87  70  74 440
 569 573 221 529 416 922 851 824 592 447 806 527 553 982 917 438 676  42
 678 740 957 844  89 900]","[251 963 754  28 582 620 613  75 387 894 612 191 137 463 803 847 112 925
 953 266 933 984 959 267   5 755 541 263 417 643 212 928  87  70  74 440
 569 573 221 529 416 922 851 824 592 447 806 527 553 982 917 438 676  42
 678 740 957 844  89 900]",,60,High_Rated,True,0.5975774240529973,1.0
opt,"[266 573 582 851  70 191 755 541  28 569 928 592  42  87 900 959 963 137
 824 417 463 527 676 212 984 112 933 387 440  74 922   5 847 263  89 894
 754 267 612 844 925 416 447 620  75 740 803 553 529 806 643 957 678 221
 613 438 917 953 251 982]","[70, 28, 42, 87, 112, 74, 5, 89, 75, 266, 573, 582, 851, 191, 755, 541, 569, 928, 592, 900, 959, 963, 137, 824, 417, 463, 527, 676, 212, 984, 933, 387, 440, 922, 847, 263, 894, 754, 267, 612, 844, 925, 416, 447, 620, 740, 803, 553, 529, 806, 643, 957, 678, 221, 613, 438, 917, 953, 251, 982]",,60,High_Rated,True,2.8289682539682537,0.4
