algorithm,original,reordered,model,size,column,value,rank_utils,gpt-4o-mini_error
random,"[  353 37178 14651 26867  6566  7308 10667  8385  3879 14830 18679 25488
 33411  7304 34611  2781 40688 16818 43186 44820 40052 39691 40843 32696
 22272 26920 20514 40222 34708 13899 39040  7646 15526 39692  2453 25370
 43190 14148 44975 14816 31814 23344 40699 21508 19338 12689 25162 38845
 37929 35904]","[  353 37178 14651 26867  6566  7308 10667  8385  3879 14830 18679 25488
 33411  7304 34611  2781 40688 16818 43186 44820 40052 39691 40843 32696
 22272 26920 20514 40222 34708 13899 39040  7646 15526 39692  2453 25370
 43190 14148 44975 14816 31814 23344 40699 21508 19338 12689 25162 38845
 37929 35904]",,50,workclass,State-gov,0.06274509803921569,0.6
opt,"[14816 40843 33411 10667  7308  3879 25370 25162 39692 44820 44975 21508
 40052 16818 40699 39691 35904 37929  8385 32696 26920 12689  7304 14651
 39040 31814 40222 37178 23344 40688  2781 25488 34708 19338 43186  2453
 20514   353  6566 43190  7646 18679 15526 34611 14148 13899 22272 26867
 38845 14830]","[39692, 13899, 14816, 40843, 33411, 10667, 7308, 3879, 25370, 25162, 44820, 44975, 21508, 40052, 16818, 40699, 39691, 35904, 37929, 8385, 32696, 26920, 12689, 7304, 14651, 39040, 31814, 40222, 37178, 23344, 40688, 2781, 25488, 34708, 19338, 43186, 2453, 20514, 353, 6566, 43190, 7646, 18679, 15526, 34611, 14148, 22272, 26867, 38845, 14830]",,50,workclass,State-gov,1.5,0.0
warmup,"[ 7308 14148 16818 44975 44820 43186 39691  2453 25162 14651  6566 37178
  8385  7304 40222 26867 33411 40843 14830 10667 34611 15526 12689  3879
 39692 37929 26920 35904 14816 25370 31814 25488 38845 40688 19338 32696
 39040  2781 40699  7646 21508 20514 23344 13899 40052 43190 18679 34708
 22272   353]","[7308, 44820, 25162, 8385, 34611, 39692, 14816, 38845, 39040, 13899, 40052, 14148, 16818, 44975, 43186, 39691, 2453, 14651, 6566, 37178, 7304, 40222, 26867, 33411, 40843, 14830, 10667, 15526, 12689, 3879, 37929, 26920, 35904, 25370, 31814, 25488, 40688, 19338, 32696, 2781, 40699, 7646, 21508, 20514, 23344, 43190, 18679, 34708]",deepseek-coder-v2:16b,50,workclass,State-gov,0.26666666666666666,0.0
bigraph,"[ 2781 38845 40688 26867 43190 15526 26920 37178  2453 35904 18679  7308
   353 32696 44975 19338 34708 25370 14651 40222 39691 10667 39692  3879
 23344 20514 25162 37929 16818  7304 14816 44820 40699 40843 43186  8385
 39040 25488 33411 40052 12689  7646 34611 31814 21508 22272 14830 14148
 13899  6566]","[39692, 13899, 2781, 26920, 38845, 40688, 26867, 43190, 15526, 37178, 2453, 35904, 18679, 7308, 353, 32696, 44975, 19338, 34708, 25370, 14651, 40222, 39691, 10667, 3879, 23344, 20514, 25162, 37929, 16818, 7304, 14816, 44820, 40699, 40843, 43186, 8385, 39040, 25488, 33411, 40052, 12689, 7646, 34611, 31814, 21508, 22272, 14830, 14148, 6566]",deepseek-coder-v2:16b,50,workclass,State-gov,1.5,0.0
random,"[16891  2125  9273  6024 24513 47716 23486 39948 12922  2977    98 29817
  6227 23152  2470 18878 31642 23318 46849 25941 19196 13482 45571 12706
 39506 25372 19981 32503 47006 14394   945 17668  3519 41415 11659  2759
 23472 33265 22374 41349 12374 34904 19603 41265 38333  5339  9159  5283
 30983 40615]","[16891  2125  9273  6024 24513 47716 23486 39948 12922  2977    98 29817
  6227 23152  2470 18878 31642 23318 46849 25941 19196 13482 45571 12706
 39506 25372 19981 32503 47006 14394   945 17668  3519 41415 11659  2759
 23472 33265 22374 41349 12374 34904 19603 41265 38333  5339  9159  5283
 30983 40615]",,50,workclass,State-gov,0.2111111111111111,0.0
opt,"[ 6227 14394 24513 25941 34904 22374 13482 11659 47716  9159 23152  6024
  2977 12922  2759 23486  9273 19603 29817 16891 25372 23472 33265 32503
 17668    98 39506 41349 12706 38333   945 31642 19981 12374  2125 41265
  5283 45571 40615  3519 46849 30983 41415 47006  5339 23318 19196 18878
  2470 39948]","[2977, 12922, 6227, 14394, 24513, 25941, 34904, 22374, 13482, 11659, 47716, 9159, 23152, 6024, 2759, 23486, 9273, 19603, 29817, 16891, 25372, 23472, 33265, 32503, 17668, 98, 39506, 41349, 12706, 38333, 945, 31642, 19981, 12374, 2125, 41265, 5283, 45571, 40615, 3519, 46849, 30983, 41415, 47006, 5339, 23318, 19196, 18878, 2470, 39948]",,50,workclass,State-gov,1.5,0.0
warmup,"[41349 11659 12922  9159    98 16891 34904 23486 46849 13482 47716  6227
 14394 31642  2759  5283  9273 32503 23152 33265 23472 25372 19603 30983
 24513 12374 47006   945 19196 29817 39948  6024 12706  2470 22374  5339
 39506 38333  2977 18878 41265 25941 19981 41415 23318  2125 45571 40615
  3519 17668]","[12922, 98, 46849, 14394, 9273, 23472, 24513, 19196, 12706, 2977, 41265, 23318, 41349, 11659, 9159, 16891, 34904, 23486, 13482, 47716, 6227, 31642, 2759, 5283, 32503, 23152, 33265, 25372, 19603, 30983, 12374, 47006, 945, 29817, 39948, 6024, 2470, 22374, 5339, 39506, 38333, 18878, 25941, 19981, 41415, 2125, 45571, 40615]",deepseek-coder-v2:16b,50,workclass,State-gov,1.1,1.0
bigraph,"[38333 40615 22374 46849  6227 19981 45571 11659    98  2759 30983 32503
 25941  2125 23486 12706  2470 33265  9159 14394 24513 29817 13482 16891
 47716 47006 41415 23472 12374 39506  5283 41265 34904 19196 17668  5339
  6024 31642 23152 41349  9273  3519  2977 19603 18878 39948   945 12922
 25372 23318]","[2977, 12922, 38333, 40615, 22374, 46849, 6227, 19981, 45571, 11659, 98, 2759, 30983, 32503, 25941, 2125, 23486, 12706, 2470, 33265, 9159, 14394, 24513, 29817, 13482, 16891, 47716, 47006, 41415, 23472, 12374, 39506, 5283, 41265, 34904, 19196, 17668, 5339, 6024, 31642, 23152, 41349, 9273, 3519, 19603, 18878, 39948, 945, 25372, 23318]",deepseek-coder-v2:16b,50,workclass,State-gov,1.5,0.0
random,"[13846 44731 20582 14821  8450 20484  1515 36892 48655 15547  2038 44220
 17933 19186 34977  6771 30440 48597 24670 46812 25963 42894 31808 19408
 29647 17680 46801 46458 41825 45770 12570 32273 26969 31680 21646 34545
 12787 41279 22825 36180 29371 33933 21306 45740 23277  5499 40718  6190
 26001 12873]","[13846 44731 20582 14821  8450 20484  1515 36892 48655 15547  2038 44220
 17933 19186 34977  6771 30440 48597 24670 46812 25963 42894 31808 19408
 29647 17680 46801 46458 41825 45770 12570 32273 26969 31680 21646 34545
 12787 41279 22825 36180 29371 33933 21306 45740 23277  5499 40718  6190
 26001 12873]",,50,workclass,State-gov,0.0,0.0
opt,"[26001 25963 30440 45740  8450 21646 31680  1515 42894 23277 44220 29371
 44731 41825 20582 45770 20484 17680 29647 22825 17933 36180 48655 12787
 12873 33933  5499 19408 32273 12570  6771 24670  2038  6190 36892 46458
 26969 19186 34545 40718 21306 31808 13846 46812 34977 46801 15547 14821
 48597 41279]","[26001, 25963, 30440, 45740, 8450, 21646, 31680, 1515, 42894, 23277, 44220, 29371, 44731, 41825, 20582, 45770, 20484, 17680, 29647, 22825, 17933, 36180, 48655, 12787, 12873, 33933, 5499, 19408, 32273, 12570, 6771, 24670, 2038, 6190, 36892, 46458, 26969, 19186, 34545, 40718, 21306, 31808, 13846, 46812, 34977, 46801, 15547, 14821, 48597, 41279]",,50,workclass,State-gov,0.0,0.0
