algorithm,original,reordered,model,size,column,value,rank_utils,gpt-4o-mini_error
random,"[37492  3263 44735 15294  4412  5956 45162  2635 48019 10317 26275  6833
 23816 35613 45094 20022 42957 33187 18387 16885 26915 42960 41984 23810
 30703 42829 26005   538 29256  2715 18617 43391 47146 21104 43311 18915
  7579 45551 25624 44346 26743 32751 26553 32707 14901  7124 47931 15541
 41761  3671]","[37492  3263 44735 15294  4412  5956 45162  2635 48019 10317 26275  6833
 23816 35613 45094 20022 42957 33187 18387 16885 26915 42960 41984 23810
 30703 42829 26005   538 29256  2715 18617 43391 47146 21104 43311 18915
  7579 45551 25624 44346 26743 32751 26553 32707 14901  7124 47931 15541
 41761  3671]",,50,workclass,State-gov,0.11458333333333333,0.0
opt,"[45162 32707 45551 23810 26553 15294  2715 42960 41984 29256 44346 15541
 26005 42829 48019  7579 45094  3671 41761 26275 32751 44735  6833  2635
 21104 26915 30703 23816 20022 25624 10317  4412  5956   538 26743 43391
 47931 35613 16885 18387 33187 14901  3263 42957 43311  7124 18617 47146
 18915 37492]","[6833, 43391, 45162, 32707, 45551, 23810, 26553, 15294, 2715, 42960, 41984, 29256, 44346, 15541, 26005, 42829, 48019, 7579, 45094, 3671, 41761, 26275, 32751, 44735, 2635, 21104, 26915, 30703, 23816, 20022, 25624, 10317, 4412, 5956, 538, 26743, 47931, 35613, 16885, 18387, 33187, 14901, 3263, 42957, 43311, 7124, 18617, 47146, 18915, 37492]",,50,workclass,State-gov,1.5,0.4
warmup,"[26005   538 42829 32707 16885 32751  5956 26743 26275 48019  7124 41984
 18617  4412 29256 15541 25624 30703 33187 44346 26553 21104 10317 35613
 44735  6833 18915 45551  2635 42960 43311  2715 42957 26915 23816 41761
 14901 20022  3263 45094 43391 45162 47146  3671 47931 23810 18387 37492
 15294  7579]","[538, 6833, 43391, 26005, 42829, 32707, 16885, 32751, 5956, 26743, 26275, 48019, 7124, 41984, 18617, 4412, 29256, 15541, 25624, 30703, 33187, 44346, 26553, 21104, 10317, 35613, 44735, 18915, 45551, 2635, 42960, 43311, 2715, 42957, 26915, 23816, 41761, 14901, 20022, 3263, 45094, 45162, 47146, 3671, 47931, 23810, 18387, 37492]",gemma2:9b,50,workclass,State-gov,0.8333333333333333,1.0
bigraph,"[47931 33187 25624 15541 42829 48019 16885 18387 14901 35613  3263 21104
 32707  5956 18617 29256 45094  3671 26005 42957  2635  6833 26275 43311
 47146 15294 44346 30703 42960 37492   538 10317 43391 41761  7579 45162
  4412 26743 26553 23810 23816 32751 20022  2715  7124 18915 41984 45551
 26915 44735]","[6833, 43391, 32707, 5956, 25624, 10317, 32751, 41984, 18915, 47931, 33187, 15541, 42829, 48019, 16885, 18387, 14901, 35613, 3263, 21104, 18617, 29256, 45094, 3671, 26005, 42957, 2635, 26275, 43311, 47146, 15294, 44346, 30703, 42960, 37492, 538, 41761, 7579, 45162, 4412, 26743, 26553, 23810, 23816, 20022, 2715, 7124, 45551, 26915, 44735]",gemma2:9b,50,workclass,State-gov,1.5,0.6
random,"[34314 35550 41389 14481  8744  1167 45881 45663 37686 24496 20886 43728
 35337 39206 46451 12539  5784  3549 47010 35412  5205 25174 28740  5419
 46111 29279 16979 22000 40045 46065 30492 34152  8300 42911 17947 45690
 30373 28606 18563 42167 29244 33363  9109  6148  1457 42567 12510 17332
 42100 16660]","[34314 35550 41389 14481  8744  1167 45881 45663 37686 24496 20886 43728
 35337 39206 46451 12539  5784  3549 47010 35412  5205 25174 28740  5419
 46111 29279 16979 22000 40045 46065 30492 34152  8300 42911 17947 45690
 30373 28606 18563 42167 29244 33363  9109  6148  1457 42567 12510 17332
 42100 16660]",,50,workclass,State-gov,0.24358974358974358,1.8
opt,"[12510 30492 30373 12539  9109  8300 20886  5419 43728  1457 14481 29279
 33363 17947 28740  6148 29244 17332 42100 24496 46111 45690 46065 28606
 35337  3549  8744 42911 45881 40045 46451 34152 42167 37686 16979 39206
 35412 34314 47010 35550 42567 45663  5784 16660  1167  5205 22000 18563
 41389 25174]","[5419, 35337, 45663, 12510, 30492, 30373, 12539, 9109, 8300, 20886, 43728, 1457, 14481, 29279, 33363, 17947, 28740, 6148, 29244, 17332, 42100, 24496, 46111, 45690, 46065, 28606, 3549, 8744, 42911, 45881, 40045, 46451, 34152, 42167, 37686, 16979, 39206, 35412, 34314, 47010, 35550, 42567, 5784, 16660, 1167, 5205, 22000, 18563, 41389, 25174]",,50,workclass,State-gov,1.8333333333333333,0.2
warmup,"[ 5419 45690 30492 30373  3549 41389 46451 39206 14481 20886  1167 35337
 28740 42167  5784  8300 29279 42100 17947 18563 45663 35550  1457 24496
 35412 42911  5205 12539 34152  8744 40045 28606 46111 42567 29244 16660
  9109  6148 34314 17332 22000 45881 16979 46065 33363 43728 12510 47010
 25174 37686]","[5419, 35337, 45663, 45690, 30492, 30373, 3549, 41389, 46451, 39206, 14481, 20886, 1167, 28740, 42167, 5784, 8300, 29279, 42100, 17947, 18563, 35550, 1457, 24496, 35412, 42911, 5205, 12539, 34152, 8744, 40045, 28606, 46111, 42567, 29244, 16660, 9109, 6148, 34314, 17332, 22000, 45881, 16979, 46065, 33363, 43728, 12510, 47010]",gemma2:9b,50,workclass,State-gov,1.8333333333333333,2.2
bigraph,"[ 3549 39206  8300  8744  1457 45663 46111 46451 45690 46065 45881 29244
 29279 41389 35550  1167  5205 30373  6148 42911  9109 35412 14481 34314
 47010 33363 17332  5784 12539 37686 17947 18563 25174 40045 28740 43728
 16660 22000 34152 28606 42567 12510 20886 30492 35337 24496  5419 42100
 16979 42167]","[45663, 35337, 5419, 46111, 12539, 34314, 39206, 42100, 34152, 3549, 8300, 8744, 1457, 46451, 45690, 46065, 45881, 29244, 29279, 41389, 35550, 1167, 5205, 30373, 6148, 42911, 9109, 35412, 14481, 47010, 33363, 17332, 5784, 37686, 17947, 18563, 25174, 40045, 28740, 43728, 16660, 22000, 28606, 42567, 12510, 20886, 30492, 24496, 16979, 42167]",gemma2:9b,50,workclass,State-gov,1.8333333333333333,2.2
random,"[42614  7193 29230 38948 46690 41492 37382 25913 41515 23950 28231 45036
 41857 48815 15993 18270 32494 21161   105 22592 31593 25206 34933  2387
 37961 17719 37571 48495 23924 45324 23801 46139 28761 13186  9374 35262
 16981  4689 27787 28956 27336 25347 39204  7835  6131 43157 43421 25937
 11260 18153]","[42614  7193 29230 38948 46690 41492 37382 25913 41515 23950 28231 45036
 41857 48815 15993 18270 32494 21161   105 22592 31593 25206 34933  2387
 37961 17719 37571 48495 23924 45324 23801 46139 28761 13186  9374 35262
 16981  4689 27787 28956 27336 25347 39204  7835  6131 43157 43421 25937
 11260 18153]",,50,workclass,State-gov,0.08562801932367149,0.6
opt,"[43421 25913 38948  7835 18270 41515 41492 27787 32494 29230 23801 13186
  2387 21161 28761  7193 23950 42614 35262 46139 28231 48815 27336  9374
 41857 45324 22592 16981 17719 31593 46690   105 37382  4689 25206 23924
 11260 48495 25937 37571 18153 39204 25347  6131 34933 37961 28956 15993
 45036 43157]","[2387, 6131, 43157, 43421, 25913, 38948, 7835, 18270, 41515, 41492, 27787, 32494, 29230, 23801, 13186, 21161, 28761, 7193, 23950, 42614, 35262, 46139, 28231, 48815, 27336, 9374, 41857, 45324, 22592, 16981, 17719, 31593, 46690, 105, 37382, 4689, 25206, 23924, 11260, 48495, 25937, 37571, 18153, 39204, 25347, 34933, 37961, 28956, 15993, 45036]",,50,workclass,State-gov,1.8333333333333333,0.2
warmup,"[16981 18153  2387 25347 32494  4689   105 42614 23950 48495  6131 25913
  7835 37382 48815 35262 15993 46690 41515 21161 18270 23924 37571 38948
 45036 25937 31593  7193 43421 17719 27787 46139  9374 43157 27336 45324
 37961 41492 25206 28956 34933 11260 22592 29230 28231 41857 13186 28761
 39204 23801]","[2387, 6131, 43157, 16981, 18153, 25347, 32494, 4689, 105, 42614, 23950, 48495, 25913, 7835, 37382, 48815, 35262, 15993, 46690, 41515, 21161, 18270, 23924, 37571, 38948, 45036, 25937, 31593, 7193, 43421, 17719, 27787, 46139, 9374, 27336, 45324, 37961, 41492, 25206, 28956, 34933, 11260, 22592, 29230, 28231, 41857, 13186, 28761]",gemma2:9b,50,workclass,State-gov,1.8333333333333333,1.6
bigraph,"[25913 41857 23924 21161  6131  9374 43157 28956 48815  7835 13186 37961
 45036  2387 29230 41515 34933 16981 46139 31593 11260 45324  4689 25937
 48495 18153 23801 43421 28231 27787  7193 46690 18270 38948 25347 25206
 22592 17719 35262 39204   105 41492 42614 27336 23950 37571 28761 32494
 15993 37382]","[6131, 43157, 2387, 48495, 4689, 25206, 13186, 25913, 41857, 23924, 21161, 9374, 28956, 48815, 7835, 37961, 45036, 29230, 41515, 34933, 16981, 46139, 31593, 11260, 45324, 25937, 18153, 23801, 43421, 28231, 27787, 7193, 46690, 18270, 38948, 25347, 22592, 17719, 35262, 39204, 105, 41492, 42614, 27336, 23950, 37571, 28761, 32494, 15993, 37382]",gemma2:9b,50,workclass,State-gov,1.8333333333333333,2.6
random,"[29328  3126 33321 32768 35722 37949 25108  1942 23913 34986 41364  1807
 39663 12806  3282 17313 39585 36358 12396 46123 33364 42644 37667  1168
 15922 24127 17314 37376 18050 37416  1403 20816 35509 26320 10286  7664
  6598 45629 21601 16930  7632  2086 11148   406 32133 28966 14166 34341
 31913 23057]","[29328  3126 33321 32768 35722 37949 25108  1942 23913 34986 41364  1807
 39663 12806  3282 17313 39585 36358 12396 46123 33364 42644 37667  1168
 15922 24127 17314 37376 18050 37416  1403 20816 35509 26320 10286  7664
  6598 45629 21601 16930  7632  2086 11148   406 32133 28966 14166 34341
 31913 23057]",,50,workclass,State-gov,0.025,0.0
opt,"[45629  2086 18050 28966 37376 32133  3126  1403 24127 31913 37949 12806
 37416   406 17314  7664 12396 46123  6598  1168 35722 39663 34986 39585
 32768  1807 41364 29328 25108 16930  1942 15922 20816 26320 14166 35509
 42644 10286 23057 33321 17313 23913 11148 36358 33364  3282 37667 21601
 34341  7632]","[16930, 45629, 2086, 18050, 28966, 37376, 32133, 3126, 1403, 24127, 31913, 37949, 12806, 37416, 406, 17314, 7664, 12396, 46123, 6598, 1168, 35722, 39663, 34986, 39585, 32768, 1807, 41364, 29328, 25108, 1942, 15922, 20816, 26320, 14166, 35509, 42644, 10286, 23057, 33321, 17313, 23913, 11148, 36358, 33364, 3282, 37667, 21601, 34341, 7632]",,50,workclass,State-gov,1.0,0.0
