algorithm,original,reordered,model,size,column,value,rank_utils,gpt-4o-mini_error
random,"[40390 37643  5201 15150 22065  5365  3248 37055 20806  2664 27967 48727
  8541 43535 46086  8075 14690 27919 48024 33388 40613 16035  3113 26289
 16886  1683 15785 38044   396     4 32324  7884 13910 19104 11796 44168
 25073 13139 40420  9711 37226 20722 41200 28688  7014 24040 31188 11560
 40865 12637]","[40390 37643  5201 15150 22065  5365  3248 37055 20806  2664 27967 48727
  8541 43535 46086  8075 14690 27919 48024 33388 40613 16035  3113 26289
 16886  1683 15785 38044   396     4 32324  7884 13910 19104 11796 44168
 25073 13139 40420  9711 37226 20722 41200 28688  7014 24040 31188 11560
 40865 12637]",,50,workclass,State-gov,0.022727272727272728,0.0
opt,"[15785 20806 19104 40420 33388 48024 40865 25073 13910 16886  1683 14690
  3113  9711 43535 37643 24040 22065  7884 12637     4  3248 44168  2664
  5201 11560 20722 32324  5365 27967  8075 48727 37055 40613 41200 27919
 37226 31188 38044 40390 16035   396  7014  8541 46086 15150 28688 13139
 26289 11796]","[28688, 15785, 20806, 19104, 40420, 33388, 48024, 40865, 25073, 13910, 16886, 1683, 14690, 3113, 9711, 43535, 37643, 24040, 22065, 7884, 12637, 4, 3248, 44168, 2664, 5201, 11560, 20722, 32324, 5365, 27967, 8075, 48727, 37055, 40613, 41200, 27919, 37226, 31188, 38044, 40390, 16035, 396, 7014, 8541, 46086, 15150, 13139, 26289, 11796]",,50,workclass,State-gov,1.0,0.0
warmup,"[48024 43535 11796 40613 44168 40390 20806  5201 28688  3248 46086 22065
 24040 40865 12637 11560 26289 37226 38044 16886 37643  5365 15150  7884
  8075  1683 33388 27919 32324 13139  8541 13910 40420 25073 15785 41200
  7014 20722     4   396 48727  3113 27967 16035 31188  2664 19104  9711
 14690 37055]","[28688, 12637, 13910, 48024, 43535, 11796, 40613, 44168, 40390, 20806, 5201, 3248, 46086, 22065, 24040, 40865, 11560, 26289, 37226, 38044, 16886, 37643, 5365, 15150, 7884, 8075, 1683, 33388, 27919, 32324, 13139, 8541, 40420, 25073, 15785, 41200, 7014, 20722, 4, 396, 48727, 3113, 27967, 16035, 31188, 2664, 19104, 9711]",llama3.1:8b,50,workclass,State-gov,1.0,0.0
bigraph,"[37643 26289 40865  5201 48727 40390 41200  7884 11560 15150 38044 20722
 13139 16035 14690 20806  9711 48024 27919 13910 15785 12637  2664 46086
 19104 31188 27967 11796  8075 32324     4 43535 37226   396  3248 33388
  5365 37055 16886  8541  3113  7014 40613 44168 24040  1683 28688 25073
 40420 22065]","[28688, 14690, 16035, 1683, 2664, 27919, 25073, 37643, 26289, 40865, 5201, 48727, 40390, 41200, 7884, 11560, 15150, 38044, 20722, 13139, 20806, 9711, 48024, 13910, 15785, 12637, 46086, 19104, 31188, 27967, 11796, 8075, 32324, 4, 43535, 37226, 396, 3248, 33388, 5365, 37055, 16886, 8541, 3113, 7014, 40613, 44168, 24040, 40420, 22065]",llama3.1:8b,50,workclass,State-gov,1.0,0.0
random,"[ 6772 42835 27885 14068 11059 21839 36339  1286 26302 45572 34905 46330
  3820 20116 19211 28055 31631  4329  8853 25727   851 20841 34993 16227
 34817 19235  7861 10123 47008 31101  9657 45935 42475   855  8122 13302
  3825 43005 27210 37768  1888  7858 41421  9041 36579  3187 47951 31454
 37127 33666]","[ 6772 42835 27885 14068 11059 21839 36339  1286 26302 45572 34905 46330
  3820 20116 19211 28055 31631  4329  8853 25727   851 20841 34993 16227
 34817 19235  7861 10123 47008 31101  9657 45935 42475   855  8122 13302
  3825 43005 27210 37768  1888  7858 41421  9041 36579  3187 47951 31454
 37127 33666]",,50,workclass,State-gov,0.1867472047070819,1.2
opt,"[27885  8122  4329 31101 45572  3820 10123  9041 43005 19211 46330  7861
 45935 37768 42835 34817  8853   855 42475 27210   851 14068 33666 21839
  1888 34993 13302 20841 26302  7858 31454  1286  3187 11059 47008 16227
 20116 25727 41421 28055 19235 31631  6772 47951 37127 36339  9657 34905
  3825 36579]","[855, 42475, 33666, 41421, 28055, 47951, 27885, 8122, 4329, 31101, 45572, 3820, 10123, 9041, 43005, 19211, 46330, 7861, 45935, 37768, 42835, 34817, 8853, 27210, 851, 14068, 21839, 1888, 34993, 13302, 20841, 26302, 7858, 31454, 1286, 3187, 11059, 47008, 16227, 20116, 25727, 19235, 31631, 6772, 37127, 36339, 9657, 34905, 3825, 36579]",,50,workclass,State-gov,2.4499999999999997,2.4
warmup,"[ 3187  8122   855  7861 36339 20116  1286 27210  9041 47008  9657 16227
 45935 37768 43005 31454 45572 34817 31101 10123 14068  1888 27885 28055
 34993 25727 41421 26302  8853 21839 20841  6772 19211 47951   851  4329
 33666  3825 13302 37127  3820 42475 46330 36579 11059 31631 42835 19235
 34905  7858]","[3187, 1286, 45572, 27885, 41421, 19211, 33666, 42475, 8122, 855, 7861, 36339, 20116, 27210, 9041, 47008, 9657, 16227, 45935, 37768, 43005, 31454, 34817, 31101, 10123, 14068, 1888, 28055, 34993, 25727, 26302, 8853, 21839, 20841, 6772, 47951, 851, 4329, 3825, 13302, 37127, 3820, 46330, 36579, 11059, 31631, 42835, 19235]",llama3.1:8b,50,workclass,State-gov,0.6313492063492063,0.2
bigraph,"[ 8853  7858   855 41421 45572 13302 16227 34905 20116 31631 28055  6772
  3825  3187 14068  9657 47008   851  8122 42475 42835 27210 37768 33666
 36579 31454  4329 11059 19235  7861  3820 25727  1888 34993 43005 27885
 37127  9041 46330 36339 19211 20841 34817  1286 47951 26302 31101 21839
 10123 45935]","[42475, 47951, 28055, 855, 33666, 41421, 31631, 7861, 34993, 11059, 43005, 8853, 7858, 45572, 13302, 16227, 34905, 20116, 6772, 3825, 3187, 14068, 9657, 47008, 851, 8122, 42835, 27210, 37768, 36579, 31454, 4329, 19235, 3820, 25727, 1888, 27885, 37127, 9041, 46330, 36339, 19211, 20841, 34817, 1286, 26302, 31101, 21839, 10123, 45935]",llama3.1:8b,50,workclass,State-gov,2.4499999999999997,3.6
random,"[25299 42452 44520 41352 36540  4266  5459 45304 32332 23250 25742   970
 11662 17792 36559 31384 13310 12186  2928  5643 38388  3524  9473 46466
 32968 47517 20654 44119 22495 47965 22813 42057 35507 39929 26325 30495
 35906  3471 19715 19802 45804  1276 35426 21860 24701 22175 20477 38231
 21270 36844]","[25299 42452 44520 41352 36540  4266  5459 45304 32332 23250 25742   970
 11662 17792 36559 31384 13310 12186  2928  5643 38388  3524  9473 46466
 32968 47517 20654 44119 22495 47965 22813 42057 35507 39929 26325 30495
 35906  3471 19715 19802 45804  1276 35426 21860 24701 22175 20477 38231
 21270 36844]",,50,workclass,State-gov,0.0,0.0
opt,"[22495 30495 24701 41352 22813 47517 23250 36844 25742 44520  3471 17792
 36540 21860  1276  5643 31384  5459 35507 42057 20654 22175  9473 21270
   970 35906 32968 46466 32332 12186 45304 44119  2928  4266 25299 47965
 19802 26325 45804 39929 11662 19715 36559 38231 42452 38388 20477 35426
  3524 13310]","[22495, 30495, 24701, 41352, 22813, 47517, 23250, 36844, 25742, 44520, 3471, 17792, 36540, 21860, 1276, 5643, 31384, 5459, 35507, 42057, 20654, 22175, 9473, 21270, 970, 35906, 32968, 46466, 32332, 12186, 45304, 44119, 2928, 4266, 25299, 47965, 19802, 26325, 45804, 39929, 11662, 19715, 36559, 38231, 42452, 38388, 20477, 35426, 3524, 13310]",,50,workclass,State-gov,0.0,0.0
warmup,"[39929 30495 36844 35906 44520 21860 38388 42057 36559 22175 12186 26325
 32332 38231 23250 47517 46466 13310  1276 25299 11662 20654 36540   970
 47965 31384 21270 19802 45304 25742  3524 22495  4266 20477 35507 45804
  2928  3471  5459 41352 22813 44119 19715 24701 32968 35426  9473  5643
 17792 42452]","[32332, 46466, 11662, 4266, 39929, 30495, 36844, 35906, 44520, 21860, 38388, 42057, 36559, 22175, 12186, 26325, 38231, 23250, 47517, 13310, 1276, 25299, 20654, 36540, 970, 47965, 31384, 21270, 19802, 45304, 25742, 3524, 22495, 20477, 35507, 45804, 2928, 3471, 5459, 41352, 22813, 44119, 19715, 24701, 32968, 35426, 9473, 5643]",llama3.1:8b,50,workclass,State-gov,0.0,0.0
bigraph,"[32332 24701 19715 20477 20654 44520 12186 21270 13310 22813 45304  9473
  2928 46466 47965  3524 26325 25742 47517 38231 42452 35906  4266 42057
 11662  1276 19802  5459 38388 36559 44119 41352 32968 35507 35426 25299
 45804 17792  3471  5643   970 36540 22175 39929 31384 36844 21860 30495
 22495 23250]","[36844, 46466, 1276, 31384, 42057, 45804, 35906, 970, 38231, 32968, 32332, 24701, 19715, 20477, 20654, 44520, 12186, 21270, 13310, 22813, 45304, 9473, 2928, 47965, 3524, 26325, 25742, 47517, 42452, 4266, 11662, 19802, 5459, 38388, 36559, 44119, 41352, 35507, 35426, 25299, 17792, 3471, 5643, 36540, 22175, 39929, 21860, 30495, 22495, 23250]",llama3.1:8b,50,workclass,State-gov,0.0,0.0
random,"[31035 40118 13158 21101  5454 33974 27946 40924 45688 42833 47190 22349
 20152 22506 32660 13731 27062 31673 47375 15694 40513  2751 30853 16593
 36887 19760 26319 14065 44246 10393 35301  1952 40842 29212 20012 28500
  2556 36972 22834 17643 19629 42839 46546 24486 20966 37969 36146 36865
 40618 22571]","[31035 40118 13158 21101  5454 33974 27946 40924 45688 42833 47190 22349
 20152 22506 32660 13731 27062 31673 47375 15694 40513  2751 30853 16593
 36887 19760 26319 14065 44246 10393 35301  1952 40842 29212 20012 28500
  2556 36972 22834 17643 19629 42839 46546 24486 20966 37969 36146 36865
 40618 22571]",,50,workclass,State-gov,0.06227106227106227,0.8
opt,"[20012 21101 17643 26319 19629 29212 32660 14065 31673 42839 40842 40618
 27946 10393 22834 20152 24486 31035 40924  1952 37969 35301 33974 46546
  2751 40513 40118 13158  5454 42833 16593 28500 30853 47190 44246 36146
 36972  2556 45688 22349 20966 36865 22506 15694 22571 36887 19760 13731
 47375 27062]","[42839, 19760, 20012, 21101, 17643, 26319, 19629, 29212, 32660, 14065, 31673, 40842, 40618, 27946, 10393, 22834, 20152, 24486, 31035, 40924, 1952, 37969, 35301, 33974, 46546, 2751, 40513, 40118, 13158, 5454, 42833, 16593, 28500, 30853, 47190, 44246, 36146, 36972, 2556, 45688, 22349, 20966, 36865, 22506, 15694, 22571, 36887, 13731, 47375, 27062]",,50,workclass,State-gov,1.5,0.2
