algorithm,original,reordered,model,size,column,value,rank_utils,gpt-4o-mini_error
random,"[ 2599  1693 30136 31746  3776 11246 11818  2426  1932 11352 27874 27452
 13739 16027 10278  6003 25453 17489  5607 32367 14185 26831 17825 32042
 20289  2608 29443 22287 31467  1454  6568 26744 26976 10614  3974 32396
 24041 12664 26709 17261 25768 31690 20338 16293 19583 20879 24043 21970
 23252 28966  2081   431  3231 14468 19760 10964  6146  8194 22056 32215
 26910 23857  5358 12156 13309 24858   764  4204 11923  6966 10105  1038
 24320  6594  8604 19026 16156 23717 15326 28977 14029   986 31093 13179
 17093 17202  2824 13326  3125 31726  4581 10187 26893 21406 31968 15124
 11687 31666 22466 13274]","[ 2599  1693 30136 31746  3776 11246 11818  2426  1932 11352 27874 27452
 13739 16027 10278  6003 25453 17489  5607 32367 14185 26831 17825 32042
 20289  2608 29443 22287 31467  1454  6568 26744 26976 10614  3974 32396
 24041 12664 26709 17261 25768 31690 20338 16293 19583 20879 24043 21970
 23252 28966  2081   431  3231 14468 19760 10964  6146  8194 22056 32215
 26910 23857  5358 12156 13309 24858   764  4204 11923  6966 10105  1038
 24320  6594  8604 19026 16156 23717 15326 28977 14029   986 31093 13179
 17093 17202  2824 13326  3125 31726  4581 10187 26893 21406 31968 15124
 11687 31666 22466 13274]",,100,code_module,DDD,0.4948614114046875,19.6
opt,"[31726  4581   986 20289 19583 26831  6594 10187 15124  5358   764 27874
  2599  3776 22466 32367 31093 24043  1038 19760 13326 11923  3125 26893
 27452 31746 22287 23252 19026 12156 32396 21406 17489  1454 28977 31968
 16293 32215  2426  2824 10964  8604 28966 31666 17261 32042 26976 14029
   431 16156 13739  1932 21970 16027 14468 11687 26744 11246 10614 31467
 29443 13274 24858  5607 17825 13309 25768 24041 26910  4204 23857 17093
  6568 31690 20338  6966 14185 11818 26709 10105 24320  8194 23717 22056
 30136  3974  2081 17202 25453  6003  1693  2608 10278  6146 13179 11352
 20879 12664  3231 15326]","[15124, 13326, 19026, 17489, 16293, 17261, 14029, 16156, 13739, 16027, 14468, 13274, 17825, 13309, 17093, 14185, 17202, 13179, 15326, 31726, 4581, 986, 20289, 19583, 26831, 6594, 10187, 5358, 764, 27874, 2599, 3776, 22466, 32367, 31093, 24043, 1038, 19760, 11923, 3125, 26893, 27452, 31746, 22287, 23252, 12156, 32396, 21406, 1454, 28977, 31968, 32215, 2426, 2824, 10964, 8604, 28966, 31666, 32042, 26976, 431, 1932, 21970, 11687, 26744, 11246, 10614, 31467, 29443, 24858, 5607, 25768, 24041, 26910, 4204, 23857, 6568, 31690, 20338, 6966, 11818, 26709, 10105, 24320, 8194, 23717, 22056, 30136, 3974, 2081, 25453, 6003, 1693, 2608, 10278, 6146, 11352, 20879, 12664, 3231]",,100,code_module,DDD,3.547739657143682,21.6
warmup,"[14185 22056  8194  6966   431 26709 14468 21406  6568 15326 13739 10964
  3125 10105 12664  1454 16027  5607 24041   764 10614  8604  1038  3776
 12156 13179  6003 25768 27874 16293 31093 28977 17825  2608 23252 13309
 21970 31968 26893 23717 30136 17489 14029 15124 26744  3974 11352  2824
 19026 32042 10187 22466 24043 11818  2081 28966 22287 31467 13274 32367
   986 26831 19760 32215 29443  2426  4204  5358 32396 31726 11246  3231
  6146 20879  1693 26910 17261 11687 13326 31666 11923 27452 20289  4581
  2599 19583 31746 17093 25453 26976 20338 24320 17202 10278 16156 23857
  6594 24858  1932 31690]","[14468, 15326, 13739, 3125, 5607, 24041, 10614, 13179, 13179, 16293, 17825, 13309, 21970, 26744, 986, 32396, 6146, 25453, 6594, 14185, 22056, 8194, 6966, 431, 26709, 21406, 6568, 10964, 10105, 12664, 1454, 16027, 764, 8604, 1038, 3776, 12156, 6003, 25768, 27874, 31093, 28977, 2608, 23252, 31968, 26893, 23717, 30136, 17489, 14029, 15124, 3974, 11352, 2824, 19026, 32042, 10187, 22466, 24043, 11818, 2081, 28966, 22287, 31467, 13274, 32367, 26831, 19760, 32215, 29443, 2426, 4204, 5358, 31726, 11246, 3231, 20879, 1693, 26910, 17261, 11687, 13326, 31666, 11923, 27452, 20289, 4581, 2599, 19583, 31746, 17093, 26976, 20338, 24320, 17202, 10278, 16156, 23857, 24858, 1932]",deepseek-coder-v2:16b,100,code_module,DDD,2.5750390357360824,19.4
bigraph,"[  431  1693 26831 10105 31726 24041 26910 22287  4204  6594  6966 13309
 27874  6146 10964 24858 17489 31746 11352  1932 28977 23252  2081 31666
 11923 17093 11818 26709  4581 20338 31690 32367  3125 19760 20289 17825
 14029 28966 13739  8604 13274  3231 26976 32042 13179 31093 13326  3974
  5607 12664 20879 16293 21970  8194   764 16027  6568 29443 17202  2824
 32215  6003  2426  2599  3776 11687 17261   986 24320 10187 22056 12156
 32396 24043 25453 14468 11246 19583  2608 15326 30136 27452 22466 15124
 14185  1454 26744 23857 10278  1038 31467  5358 21406 31968 19026 16156
 26893 25768 10614 23717]","[13309, 17489, 17093, 17825, 14029, 13739, 13274, 13179, 13326, 16293, 16027, 17202, 17261, 14468, 15326, 15124, 14185, 19026, 16156, 2608, 2426, 3974, 22056, 24041, 26976, 431, 1693, 26831, 10105, 31726, 26910, 22287, 4204, 6594, 6966, 27874, 6146, 10964, 24858, 31746, 11352, 1932, 28977, 23252, 2081, 31666, 11923, 11818, 26709, 4581, 20338, 31690, 32367, 3125, 19760, 20289, 28966, 8604, 3231, 32042, 31093, 5607, 12664, 20879, 21970, 8194, 764, 6568, 29443, 2824, 32215, 6003, 2599, 3776, 11687, 986, 24320, 10187, 12156, 32396, 24043, 25453, 11246, 19583, 30136, 27452, 22466, 1454, 26744, 23857, 10278, 1038, 31467, 5358, 21406, 31968, 26893, 25768, 10614, 23717]",deepseek-coder-v2:16b,100,code_module,DDD,3.547739657143682,23.4
random,"[ 5979 20911  6778 13427  8368 32190 18901 25979  5810 16044  9112 12155
 10680  1559 21977 25016 10159  7239 26594 24237 13073 11419 14083  4392
  9968 15830  5534 25786 30138 11684  7988 20888  6438 17242 16311 17113
 11408 22773  6311  3001  1859 23078 20964  3645 24193 21917 15948   242
 28464 12865 27082 28299  5757  6857 13018 17003  8062 26331 23905   338
 10322  1785 15658 22391  2802 24462 31997 24383  6257   608 20424  8762
  4947  8309   642 23461  7207  3871 14530  1103 18769 21966  7945 21927
 26992  1891 13959 32547 31360 20382  2491 18498 17177 15984 11768  8649
 22369   832  7951 24393]","[ 5979 20911  6778 13427  8368 32190 18901 25979  5810 16044  9112 12155
 10680  1559 21977 25016 10159  7239 26594 24237 13073 11419 14083  4392
  9968 15830  5534 25786 30138 11684  7988 20888  6438 17242 16311 17113
 11408 22773  6311  3001  1859 23078 20964  3645 24193 21917 15948   242
 28464 12865 27082 28299  5757  6857 13018 17003  8062 26331 23905   338
 10322  1785 15658 22391  2802 24462 31997 24383  6257   608 20424  8762
  4947  8309   642 23461  7207  3871 14530  1103 18769 21966  7945 21927
 26992  1891 13959 32547 31360 20382  2491 18498 17177 15984 11768  8649
 22369   832  7951 24393]",,100,code_module,DDD,0.7843233787139596,16.0
opt,"[24193 21927 22391   642 17177 21917  5534   832 20424 16044 24383 21966
  8368 15948 24393  8762 31997 15830  6311 18901 20382 31360  6778 13018
  5757  6857 32547  2802  1785  7207 23078 12155  7945  2491 13073 24237
 30138 32190  3001 18769  7239 20888   338  8649  4392 23905 17003 27082
  3645  9112 26594 26992 11768  4947  1891  7988 23461 17113 18498  1103
  8309  6438 25979  5810 15658 14083 10680 15984   242 11408  8062  6257
 13427 10159 25016 14530 11684 12865 25786  1559 22773   608 13959 10322
  3871 17242 28299 28464 20964 20911 24462  7951 11419  9968 21977 16311
  5979  1859 26331 22369]","[17177, 16044, 15948, 15830, 18901, 18769, 17003, 17113, 18498, 15658, 14083, 15984, 13427, 14530, 13959, 17242, 16311, 24193, 21927, 22391, 642, 21917, 5534, 832, 20424, 24383, 21966, 8368, 24393, 8762, 31997, 6311, 20382, 31360, 6778, 13018, 5757, 6857, 32547, 2802, 1785, 7207, 23078, 12155, 7945, 2491, 13073, 24237, 30138, 32190, 3001, 7239, 20888, 338, 8649, 4392, 23905, 27082, 3645, 9112, 26594, 26992, 11768, 4947, 1891, 7988, 23461, 1103, 8309, 6438, 25979, 5810, 10680, 242, 11408, 8062, 6257, 10159, 25016, 11684, 12865, 25786, 1559, 22773, 608, 10322, 3871, 28299, 28464, 20964, 20911, 24462, 7951, 11419, 9968, 21977, 5979, 1859, 26331, 22369]",,100,code_module,DDD,3.439552522640758,19.6
warmup,"[18901 26992  7207 18498 15948 13018 10322 26331 24237 22369  5757 20888
  6857  7951  7945 18769 12865  9112 15984  1785 26594 14530 20964  2491
 17113 25979  5810 10159  6257 15658 21917 24393  8368 24193  8649  5534
 16044 28299 21977  4392 31997  1559 25786   642   832 20382  9968 23461
  8762  1859 20424   242 13959 32190 32547 22391  5979 25016 12155   338
 31360 11419 23078 14083 11408   608  6311  3001 24462 28464 11684  8062
  1891 10680 23905 21966  7988 21927 30138  8309 13427 20911  2802  7239
  3645 17242 24383 27082  6438 17003 11768  3871 22773 15830 17177  4947
  1103  6778 16311 13073]","[24237, 7951, 18769, 8368, 16044, 21977, 31997, 832, 8762, 32190, 13959, 5979, 11419, 14083, 24462, 1891, 7988, 20911, 13427, 17177, 17177, 4947, 6778, 18901, 26992, 7207, 18498, 15948, 13018, 10322, 26331, 22369, 5757, 20888, 6857, 7945, 12865, 9112, 15984, 1785, 26594, 14530, 20964, 2491, 17113, 25979, 5810, 10159, 6257, 15658, 21917, 24393, 24193, 8649, 5534, 28299, 4392, 1559, 25786, 642, 20382, 9968, 23461, 1859, 20424, 242, 32547, 22391, 25016, 12155, 338, 31360, 23078, 11408, 608, 6311, 3001, 28464, 11684, 8062, 10680, 23905, 21966, 21927, 30138, 8309, 2802, 7239, 3645, 17242, 24383, 27082, 6438, 17003, 11768, 3871, 22773, 15830, 1103, 16311]",deepseek-coder-v2:16b,100,code_module,DDD,1.0939658739442772,23.8
bigraph,"[10680  1859 32190 31997  8762 23461 16044 27082  3001 25786 28299  7988
  4947 18498  4392 26992  2802   338  8368   242  1103  9112 17003 23905
 20911 15830   608 24237 11419 32547  7945 16311 21966 11684 25979 26331
 26594 22369   832  6438 20964  6257 17242 11408  7951  6778 25016 18901
 15658 15948 10322  1891 21977 18769 22391  5757  1559  7207 24193  3645
  5979 14530  1785  8309 21927 20424 14083 12155  5810 31360 20888  8062
 24383 13959  6857 30138  3871 24462 11768 13073 21917  9968 22773 28464
 23078 20382  8649  6311  2491 15984  5534 24393  7239 13427   642 12865
 17177 17113 10159 13018]","[16044, 18498, 17003, 15830, 16311, 17242, 18901, 15658, 15948, 18769, 14530, 14083, 13959, 15984, 13427, 17177, 17113, 7951, 11408, 5810, 21977, 2491, 8309, 10159, 26594, 25786, 24393, 1891, 12155, 10680, 1859, 32190, 31997, 8762, 23461, 27082, 3001, 28299, 7988, 4947, 4392, 26992, 2802, 338, 8368, 242, 1103, 9112, 23905, 20911, 608, 24237, 11419, 32547, 7945, 21966, 11684, 25979, 26331, 22369, 832, 6438, 20964, 6257, 6778, 25016, 10322, 22391, 5757, 1559, 7207, 24193, 3645, 5979, 1785, 21927, 20424, 31360, 20888, 8062, 24383, 6857, 30138, 3871, 24462, 11768, 13073, 21917, 9968, 22773, 28464, 23078, 20382, 8649, 6311, 5534, 7239, 642, 12865, 13018]",deepseek-coder-v2:16b,100,code_module,DDD,3.439552522640758,20.0
random,"[   29 31399 29347 16656 29718  3316 29805 27810 30830 12912 18993 21428
  6772 14762 16449 26442  5910 11740  2092 16997 24317 31893  2236 24120
 20489 14957 29534 14526 26971 14005   665  1669  9892  6572 13841 24512
 30353  9157 31193 12831 24768 18919 17737 26363 23055 20077 10264 27736
 16182  3873 13420 17218  4968 17196 18170  1598 23794  7108  2109  1560
  3294 21446  9089 27128 11063 24371 21916 22162 28958  6408 27624  2367
  4032 18492 19923  5229 15209 10027  7879 28294  1892 25342 25215 16036
  7298   877 13533 22538  8107 12624 27301 26236 23690 12921  9381  1004
  5250 14207  9126 22968]","[   29 31399 29347 16656 29718  3316 29805 27810 30830 12912 18993 21428
  6772 14762 16449 26442  5910 11740  2092 16997 24317 31893  2236 24120
 20489 14957 29534 14526 26971 14005   665  1669  9892  6572 13841 24512
 30353  9157 31193 12831 24768 18919 17737 26363 23055 20077 10264 27736
 16182  3873 13420 17218  4968 17196 18170  1598 23794  7108  2109  1560
  3294 21446  9089 27128 11063 24371 21916 22162 28958  6408 27624  2367
  4032 18492 19923  5229 15209 10027  7879 28294  1892 25342 25215 16036
  7298   877 13533 22538  8107 12624 27301 26236 23690 12921  9381  1004
  5250 14207  9126 22968]",,100,code_module,DDD,0.868200988093099,21.4
opt,"[ 5250 16449 21916 28294 22162 21428 20077  1892 31193 20489  2109 25342
 25215 18919 12921 12831 24371  6408 27810  6572    29 13841 30353 21446
  9892 29718 19923 29805 10027 24768 10264 24317  5229  3316 29534 27301
 27624  9126 27128 23690 24120  7108 17737 31399 22968 29347  1598 15209
  7298 16997  4032  1004   665 18993 14957 23794 14005 14526 28958 24512
 13420 26971  3873 26363 27736 31893  4968 11740  1560  8107 23055 13533
 18492 11063  5910  2092 26236 17218  2236 18170  6772 12912 22538 26442
 16036 16182 14207  3294  9157  2367 17196  9089 12624   877 16656 14762
 30830  1669  9381  7879]","[16449, 18919, 13841, 17737, 15209, 16997, 18993, 14957, 14005, 14526, 13420, 13533, 18492, 17218, 18170, 16036, 16182, 14207, 17196, 16656, 14762, 5250, 21916, 28294, 22162, 21428, 20077, 1892, 31193, 20489, 2109, 25342, 25215, 12921, 12831, 24371, 6408, 27810, 6572, 29, 30353, 21446, 9892, 29718, 19923, 29805, 10027, 24768, 10264, 24317, 5229, 3316, 29534, 27301, 27624, 9126, 27128, 23690, 24120, 7108, 31399, 22968, 29347, 1598, 7298, 4032, 1004, 665, 23794, 28958, 24512, 26971, 3873, 26363, 27736, 31893, 4968, 11740, 1560, 8107, 23055, 11063, 5910, 2092, 26236, 2236, 6772, 12912, 22538, 26442, 3294, 9157, 2367, 9089, 12624, 877, 30830, 1669, 9381, 7879]",,100,code_module,DDD,3.6453587047627294,20.2
