algorithm,original,reordered,model,size,column,value,rank_utils,gpt-4o-mini_error
random,"[ 3400 27108  4205 12735  8743 11159 25329 15235  4401 10285 18114 21722
 19542   751 29337 20167  1086   743  1778  8941 28302 20577 26310 26416
 32050 32309 27744 14783  1205 19149 19797 20918 25440  3257 12414  1394
 24167  8585 10773 26607 22376  1199 24049  2924 19049  9117  8706 27415
 12333  4943 23394  9610   723 10436 22534 20278 20131 15118 14259  8745
 24510 27329  1501 24513 17878  7247  1222   159 11795  6867 22457  8221
 19695 12755  4921 18341 30196   312 27673  3217 10369 27202   736 17434
 19602  8094  9508 10175  6972  4660  8772  9455 29214 28455 30768 10624
 22016  8430 24003 24981]","[ 3400 27108  4205 12735  8743 11159 25329 15235  4401 10285 18114 21722
 19542   751 29337 20167  1086   743  1778  8941 28302 20577 26310 26416
 32050 32309 27744 14783  1205 19149 19797 20918 25440  3257 12414  1394
 24167  8585 10773 26607 22376  1199 24049  2924 19049  9117  8706 27415
 12333  4943 23394  9610   723 10436 22534 20278 20131 15118 14259  8745
 24510 27329  1501 24513 17878  7247  1222   159 11795  6867 22457  8221
 19695 12755  4921 18341 30196   312 27673  3217 10369 27202   736 17434
 19602  8094  9508 10175  6972  4660  8772  9455 29214 28455 30768 10624
 22016  8430 24003 24981]",,100,code_module,EEE,0.40289263710320516,6.6
opt,"[ 8585 20918 19797 25440  4921  4943 25329 20167  3400 22016 10175 20278
 22534 24510  8772  6972 29337 11795 19695 27202 14259  8221   312 18341
 17878 12735  8094 26310  9610 27415 20577 27673   736 15118 19049  4660
  8745 24981 19149 10773  4205 24049 10285 20131 28455 27329   723 24167
 14783 23394 29214 32309 22376 15235 24513  1501 10436 10369  9117 18114
  8743 11159  8706  1222  9508  7247  1199  3257 24003   751 12414  6867
 19602 26607 22457   743  3217 32050 27108 30196 12333 27744  9455  1778
  1394 28302 30768  2924  8430  1205 12755 17434  1086 19542   159 21722
 10624 26416  4401  8941]","[20918, 19797, 20167, 22016, 20278, 19695, 20577, 20131, 19602, 19542, 21722, 8585, 25440, 4921, 4943, 25329, 3400, 10175, 22534, 24510, 8772, 6972, 29337, 11795, 27202, 14259, 8221, 312, 18341, 17878, 12735, 8094, 26310, 9610, 27415, 27673, 736, 15118, 19049, 4660, 8745, 24981, 19149, 10773, 4205, 24049, 10285, 28455, 27329, 723, 24167, 14783, 23394, 29214, 32309, 22376, 15235, 24513, 1501, 10436, 10369, 9117, 18114, 8743, 11159, 8706, 1222, 9508, 7247, 1199, 3257, 24003, 751, 12414, 6867, 26607, 22457, 743, 3217, 32050, 27108, 30196, 12333, 27744, 9455, 1778, 1394, 28302, 30768, 2924, 8430, 1205, 12755, 17434, 1086, 159, 10624, 26416, 4401, 8941]",,100,code_module,EEE,3.0198773448773446,12.8
warmup,"[ 4943 12414  4660  1394 21722 27744 10624 22534 22457 12755 18341 11159
  1222 30196  2924 26416 14259 32309 24513  6972 27202 20278  8743 17434
 10369  4921 25440 10773  8094  9117  1778  1086 30768 28302  8745 24510
 19542 29337 15118 20577 20918  8772 22016 27329 26310 19695   723  8430
   159 11795  4401  3400 17878 18114 15235  1205 29214 14783 12333  9508
 10175 22376   751 25329 26607  9610 24049 20167 24981 19149   312  3217
  1501  8941   743 32050 23394  1199 20131  8221 19049 19602  3257 24003
  8706 10436  6867   736 28455  4205 24167 10285  7247 12735 19797  8585
 27108  9455 27673 27415]","[21722, 20278, 19542, 20577, 20918, 22016, 19695, 20167, 20131, 19602, 19797, 4943, 12414, 4660, 1394, 27744, 10624, 22534, 22457, 12755, 18341, 11159, 1222, 30196, 2924, 26416, 14259, 32309, 24513, 6972, 27202, 8743, 17434, 10369, 4921, 25440, 10773, 8094, 9117, 1778, 1086, 30768, 28302, 8745, 24510, 29337, 15118, 8772, 27329, 26310, 723, 8430, 159, 11795, 4401, 3400, 17878, 18114, 15235, 1205, 29214, 14783, 12333, 9508, 10175, 22376, 751, 25329, 26607, 9610, 24049, 24981, 19149, 312, 3217, 1501, 8941, 743, 32050, 23394, 1199, 8221, 19049, 3257, 24003, 8706, 10436, 6867, 736, 28455, 4205, 24167, 10285, 7247, 12735, 8585, 27108, 9455, 27673, 27415]",gemma2:9b,100,code_module,EEE,3.0198773448773446,5.2
bigraph,"[ 3400 27202 17878  8430  8585 24981  3217 12735  1778 21722 22534 19695
  3257 28455 19602  4660 18341 22457  8941  8745  6972   743  1501 28302
  8743 12333 23394  4943 10285  9610 10773 10175 19149  4921 12414   736
  8094  2924 24510 32309  1222 29214 20577  4205 11795 30196  1394 17434
 20131 11159 27744   159  8772 22016  1205 27673 14783  9455 20167 19542
  8706 32050 19049 24167 19797 20278 22376  8221 30768  6867 27108 10369
 12755 24513  7247 27415  4401 29337   312 26607 25440 24049 27329 25329
 15118 20918 24003 15235  1199 26416 10624 14259 18114  9117   723 10436
  1086 26310  9508   751]","[21722, 19695, 19602, 20577, 20131, 22016, 20167, 19542, 19797, 20278, 20918, 3257, 4205, 25440, 26310, 24167, 24513, 24510, 24981, 2924, 3400, 27202, 17878, 8430, 8585, 3217, 12735, 1778, 22534, 28455, 4660, 18341, 22457, 8941, 8745, 6972, 743, 1501, 28302, 8743, 12333, 23394, 4943, 10285, 9610, 10773, 10175, 19149, 4921, 12414, 736, 8094, 32309, 1222, 29214, 11795, 30196, 1394, 17434, 11159, 27744, 159, 8772, 1205, 27673, 14783, 9455, 8706, 32050, 19049, 22376, 8221, 30768, 6867, 27108, 10369, 12755, 7247, 27415, 4401, 29337, 312, 26607, 24049, 27329, 25329, 15118, 24003, 15235, 1199, 26416, 10624, 14259, 18114, 9117, 723, 10436, 1086, 9508, 751]",gemma2:9b,100,code_module,EEE,3.0198773448773446,3.0
random,"[27375   690  6133   428 28422 14154 24718 23746  7666  7235 23310 29493
 28851 30532 18899 29138 17246 24770 17736 29150 30653 11484 29764  7942
 31955  8991 29283 14859 24418 13524 24597  9303  7852 25101 11293   797
 30247 16335  1738 15293  8089  5603  1578 26650 23082 31029 22609 23644
 30576 22985  7656  3194 22837 10101 32187  2181 10455 19807 17339  2017
  3632 18967 11733  9419 20605  4411 32056 27591 29809 17754  6522   478
  9639 17401 14278 30261 11297 19268  4102 13756 26188 18209 10375 28099
 18841 32112 31861 11296 23939 10143 14968  2883 11231 11635 11754 10912
 29071 31461 16908 23340]","[27375   690  6133   428 28422 14154 24718 23746  7666  7235 23310 29493
 28851 30532 18899 29138 17246 24770 17736 29150 30653 11484 29764  7942
 31955  8991 29283 14859 24418 13524 24597  9303  7852 25101 11293   797
 30247 16335  1738 15293  8089  5603  1578 26650 23082 31029 22609 23644
 30576 22985  7656  3194 22837 10101 32187  2181 10455 19807 17339  2017
  3632 18967 11733  9419 20605  4411 32056 27591 29809 17754  6522   478
  9639 17401 14278 30261 11297 19268  4102 13756 26188 18209 10375 28099
 18841 32112 31861 11296 23939 10143 14968  2883 11231 11635 11754 10912
 29071 31461 16908 23340]",,100,code_module,EEE,0.03262599469496021,0.8
opt,"[ 6522 11733   690  9639 23644 17339 29764 24718  6133 32112  2181 17754
  5603 10375 24418 31955 32187 22609 13524 31461 26188  3194  2017 22985
 15293  2883 11293 22837  4411 19807 30247 18841 23939 30576 17401 10912
 30261 29283  3632 29493  1738 28422  7852  9419 16335 25101 18209 27591
  7942 17736 10455 29809 31029 26650 18899 13756 10101 23746  1578 11635
 10143 19268 16908 14968 11231  9303 32056 23310 23340 29071 28851 11754
   478 14278   797 24597  8089 18967 29138 30532 11297 31861 29150  4102
 28099 17246   428 24770 27375 14154  7235 11296  7666 14859 20605 23082
  7656  8991 11484 30653]","[19807, 20605, 6522, 11733, 690, 9639, 23644, 17339, 29764, 24718, 6133, 32112, 2181, 17754, 5603, 10375, 24418, 31955, 32187, 22609, 13524, 31461, 26188, 3194, 2017, 22985, 15293, 2883, 11293, 22837, 4411, 30247, 18841, 23939, 30576, 17401, 10912, 30261, 29283, 3632, 29493, 1738, 28422, 7852, 9419, 16335, 25101, 18209, 27591, 7942, 17736, 10455, 29809, 31029, 26650, 18899, 13756, 10101, 23746, 1578, 11635, 10143, 19268, 16908, 14968, 11231, 9303, 32056, 23310, 23340, 29071, 28851, 11754, 478, 14278, 797, 24597, 8089, 18967, 29138, 30532, 11297, 31861, 29150, 4102, 28099, 17246, 428, 24770, 27375, 14154, 7235, 11296, 7666, 14859, 23082, 7656, 8991, 11484, 30653]",,100,code_module,EEE,1.5,0.0
warmup,"[11635  4411 10912 11754 18899 11296  7942 17339 16908 13756 19807 23939
 14278 28851  9639  3194 27591  7666 23746 25101  5603 10101 31955 22609
 29809 30576 28099 26650 11297 18967  6133  6522 29138 19268 23340 11733
 29150 15293  8991 30532 11231  7852 31029 17401 28422 23644  3632  2017
   690 26188   797  9303 27375 29283  1578 16335 24718  8089 24597 29493
  2883 10375  7235 11293 23310 10143 24770 32112 18209 11484  2181 17736
 24418 31461  1738 14859 14154   478 17246 32187 29764 31861 17754  9419
  4102   428 10455 22985 30261 23082 22837 29071 30247 20605 30653 14968
  7656 18841 32056 13524]","[19807, 20605, 11635, 4411, 10912, 11754, 18899, 11296, 7942, 17339, 16908, 13756, 23939, 14278, 28851, 9639, 3194, 27591, 7666, 23746, 25101, 5603, 10101, 31955, 22609, 29809, 30576, 28099, 26650, 11297, 18967, 6133, 6522, 29138, 19268, 23340, 11733, 29150, 15293, 8991, 30532, 11231, 7852, 31029, 17401, 28422, 23644, 3632, 2017, 690, 26188, 797, 9303, 27375, 29283, 1578, 16335, 24718, 8089, 24597, 29493, 2883, 10375, 7235, 11293, 23310, 10143, 24770, 32112, 18209, 11484, 2181, 17736, 24418, 31461, 1738, 14859, 14154, 478, 17246, 32187, 29764, 31861, 17754, 9419, 4102, 428, 10455, 22985, 30261, 23082, 22837, 29071, 30247, 30653, 14968, 7656, 18841, 32056, 13524]",gemma2:9b,100,code_module,EEE,1.5,0.0
bigraph,"[19268 22837 30261  9639 31955 10912  7942  1578 31461 26650 19807  4411
 15293  7656 26188 16908 10101  1738  9419 27591 32112 23644 30532 29283
 30247 14278 16335  7666 17754 18899 29493 20605 14968  3632  7852 11635
 11733 22609 28422 18209 17736 23310 17339 24597  8089 14859   428 24418
  6133  2883 31029 18841 17246 10143  2017 24718 13756  4102  2181 23082
 28851 29764 18967 17401   478 29150 29071  5603 30653 11231 25101  3194
 11293 29809 14154 11484 10455   797 22985  9303 31861 29138 32187   690
 10375 23939 23746 13524  7235 23340  8991 32056 30576 28099 11297 11296
 24770 27375  6522 11754]","[19807, 20605, 19268, 22837, 30261, 9639, 31955, 10912, 7942, 1578, 31461, 26650, 4411, 15293, 7656, 26188, 16908, 10101, 1738, 9419, 27591, 32112, 23644, 30532, 29283, 30247, 14278, 16335, 7666, 17754, 18899, 29493, 14968, 3632, 7852, 11635, 11733, 22609, 28422, 18209, 17736, 23310, 17339, 24597, 8089, 14859, 428, 24418, 6133, 2883, 31029, 18841, 17246, 10143, 2017, 24718, 13756, 4102, 2181, 23082, 28851, 29764, 18967, 17401, 478, 29150, 29071, 5603, 30653, 11231, 25101, 3194, 11293, 29809, 14154, 11484, 10455, 797, 22985, 9303, 31861, 29138, 32187, 690, 10375, 23939, 23746, 13524, 7235, 23340, 8991, 32056, 30576, 28099, 11297, 11296, 24770, 27375, 6522, 11754]",gemma2:9b,100,code_module,EEE,1.5,0.0
random,"[ 7577 28219 15578 24043  5403 15335 14383 16649 18674 23655 31592  9554
  2094  5106 26516 30313 18759 24049 18678 11614 32209 25052 30122  3246
 26666 14049  7186  4998 21813 22932 32588 31503 15718 20386 24205 25463
  7871 31142  1513 23861 16257 28306  1528 17131 20950 16106 12743 15779
 16995  7950 29709  6037  9512  9798 26555 30977  3710 29590 30949 32378
  1991 16622  2644  5155 15384  4579 30151  9558 28438 22289  1512  2383
   371 16251 24720 32182  1474  7783 29615 27484  6295 29552  9652  5916
 16570  6079  4598 23079 22398 17070 27929 23427 20310  8657 29765 22922
 23848 12926 19474  3793]","[ 7577 28219 15578 24043  5403 15335 14383 16649 18674 23655 31592  9554
  2094  5106 26516 30313 18759 24049 18678 11614 32209 25052 30122  3246
 26666 14049  7186  4998 21813 22932 32588 31503 15718 20386 24205 25463
  7871 31142  1513 23861 16257 28306  1528 17131 20950 16106 12743 15779
 16995  7950 29709  6037  9512  9798 26555 30977  3710 29590 30949 32378
  1991 16622  2644  5155 15384  4579 30151  9558 28438 22289  1512  2383
   371 16251 24720 32182  1474  7783 29615 27484  6295 29552  9652  5916
 16570  6079  4598 23079 22398 17070 27929 23427 20310  8657 29765 22922
 23848 12926 19474  3793]",,100,code_module,EEE,0.12125615810756163,7.6
opt,"[22398 28306 14049  7950 17070 25052  5403 29765  8657 12743 14383 24043
 30949 15384 30151  2383 26555 24049 16995 23427 29615  3793  9798 32378
 29590  3710 16106  9512  5106 23655 15718 31503 29709 32182 27484  5916
 23848  1513 20310 16251 29552  6037 16649 26516   371 17131 15578 28438
 20950 32209  9554  9652 16257 27929  3246  9558 30313  6079 22289 30122
 11614  4998 19474  2644  1528 31592 25463 15335 18759  1991  1474 23079
 30977  7871 12926 24205 26666 24720  1512 15779  2094  5155 22922 18674
 18678 28219 32588 21813  7186 23861 31142  4579 16570  7577 22932 16622
  7783  4598  6295 20386]","[20310, 20950, 22289, 19474, 21813, 20386, 22398, 28306, 14049, 7950, 17070, 25052, 5403, 29765, 8657, 12743, 14383, 24043, 30949, 15384, 30151, 2383, 26555, 24049, 16995, 23427, 29615, 3793, 9798, 32378, 29590, 3710, 16106, 9512, 5106, 23655, 15718, 31503, 29709, 32182, 27484, 5916, 23848, 1513, 16251, 29552, 6037, 16649, 26516, 371, 17131, 15578, 28438, 32209, 9554, 9652, 16257, 27929, 3246, 9558, 30313, 6079, 30122, 11614, 4998, 2644, 1528, 31592, 25463, 15335, 18759, 1991, 1474, 23079, 30977, 7871, 12926, 24205, 26666, 24720, 1512, 15779, 2094, 5155, 22922, 18674, 18678, 28219, 32588, 7186, 23861, 31142, 4579, 16570, 7577, 22932, 16622, 7783, 4598, 6295]",,100,code_module,EEE,2.4499999999999997,1.6
