algorithm,original,reordered,model,size,column,value,rank_utils,gpt-4o-mini_error
random,"[25087 12558 26053 25417 13306 25583  4838  9823 20697  9475 12674  2932
 10201 19241 20774  7646 22322  9765 27548  6795 11072 19168 13099 13025
 30534  5323 22196  3346 24066 28878 23165 18520 14711 29789 29532 10773
  9907  3914  5792 20111 29143 25850 31420 14787 23091 15592 14361 31481
 20029  1927  2208 10644 32529 12589 31177  8563 28984 29523 12839 30947
 15410 22744 14930 25086 15123 19944 31390  2391  8245  4962  7248  3873
  8476 18323  6658   503 31314 14600 18740  9141 22251 19802  6213 19259
 16440   190 18049 17993 23628  6672 20262 14636 22965  6388 28245  4367
 13124  9931 18169  9748]","[25087 12558 26053 25417 13306 25583  4838  9823 20697  9475 12674  2932
 10201 19241 20774  7646 22322  9765 27548  6795 11072 19168 13099 13025
 30534  5323 22196  3346 24066 28878 23165 18520 14711 29789 29532 10773
  9907  3914  5792 20111 29143 25850 31420 14787 23091 15592 14361 31481
 20029  1927  2208 10644 32529 12589 31177  8563 28984 29523 12839 30947
 15410 22744 14930 25086 15123 19944 31390  2391  8245  4962  7248  3873
  8476 18323  6658   503 31314 14600 18740  9141 22251 19802  6213 19259
 16440   190 18049 17993 23628  6672 20262 14636 22965  6388 28245  4367
 13124  9931 18169  9748]",,100,code_module,EEE,0.31090430518421225,12.6
opt,"[25087 24066 14600  4838  7248  9931 10644 30534  4367  6672 19168  5323
  1927  6795  2208 28245 10201 19944 13025 20111 31481 27548 13124 20697
 31177 12558 31314 13306 15410  8476 32529 20262  3873  3914  9141 19259
 30947 20029 11072 12674  8563  6213 22322 18323 12589 23628  7646 18520
  6388 19802 22744 13099 20774 29789 23165  9823 14361 19241 25086 14930
 12839 16440 25583 15123  9748  2932 14711 23091   503 15592 22251 22965
 18169 28984 29523  4962  5792 22196 28878  9907   190 17993  6658 25850
 14636 14787 29143 31420  8245 25417 31390 18049  3346 10773 29532 26053
  2391  9765 18740  9475]","[19944, 20111, 20697, 20262, 20029, 19802, 20774, 22251, 22196, 25087, 24066, 14600, 4838, 7248, 9931, 10644, 30534, 4367, 6672, 19168, 5323, 1927, 6795, 2208, 28245, 10201, 13025, 31481, 27548, 13124, 31177, 12558, 31314, 13306, 15410, 8476, 32529, 3873, 3914, 9141, 19259, 30947, 11072, 12674, 8563, 6213, 22322, 18323, 12589, 23628, 7646, 18520, 6388, 22744, 13099, 29789, 23165, 9823, 14361, 19241, 25086, 14930, 12839, 16440, 25583, 15123, 9748, 2932, 14711, 23091, 503, 15592, 22965, 18169, 28984, 29523, 4962, 5792, 28878, 9907, 190, 17993, 6658, 25850, 14636, 14787, 29143, 31420, 8245, 25417, 31390, 18049, 3346, 10773, 29532, 26053, 2391, 9765, 18740, 9475]",,100,code_module,EEE,2.8289682539682537,1.0
warmup,"[ 7248 10644 19168 29523 19241 25417 25850 24066 12558 28984  6213 20262
 31314 25086  3873 12839 18520 20697  8476 14787 15410 15592  7646 23165
  9475 31481  6672  2932 28245 22744 31390  6795  1927 11072 20111 14636
 30534  6658 12674   503 12589 10773 18740  9141  8245 19802 14711  3346
 25087 13099  2208 14930  8563 22196 14600 25583 23091 29532  9765  2391
 30947 27548 31420   190 19944 17993  9907 16440 18169 18049 29143 20774
  4367  5792  9823 10201  4838 13124 20029 22322  9931 18323 13306 22965
 26053 14361  6388 22251 19259 15123  5323 31177 29789 32529 23628 13025
  9748  3914  4962 28878]","[10644, 25850, 24066, 28984, 25086, 20697, 15592, 31481, 11072, 6658, 10773, 19802, 2208, 22196, 9765, 27548, 19944, 29143, 4367, 5792, 9823, 10201, 13124, 18323, 6388, 22251, 19259, 32529, 3914, 7248, 19168, 29523, 19241, 25417, 12558, 6213, 20262, 31314, 3873, 12839, 18520, 8476, 14787, 15410, 7646, 23165, 9475, 6672, 2932, 28245, 22744, 31390, 6795, 1927, 20111, 14636, 30534, 12674, 503, 12589, 18740, 9141, 8245, 14711, 3346, 25087, 13099, 14930, 8563, 14600, 25583, 23091, 29532, 2391, 30947, 31420, 190, 17993, 9907, 16440, 18169, 18049, 20774, 4838, 20029, 22322, 9931, 13306, 22965, 26053, 14361, 15123, 5323, 31177, 29789, 23628, 13025, 9748, 4962, 28878]",llama3.1:8b,100,code_module,EEE,0.48773538316415704,4.0
bigraph,"[ 7646 14787 19241 22196 29523 29789 31481  6388 16440  8245 13025 31177
 10644 14361  2932  1927  9823 22744 30534 18323 23628 19168  8476 25087
  3873  9475  3914 19944 20262 14930 10773 28245   503  9748 32529 18049
 13124  6658  9931 31420 14600  3346 15123  2208 25086  4367 12839 18520
 14636 20697 12558  5792 22965  4838 17993  2391 22251   190 29143 20774
 28984  6213 15592 13306 20111 10201 25417 25583 18740 14711 27548 23091
 19259 26053 12674 18169  4962  9141  8563 23165  6795 28878  5323 11072
 31390  6672 25850 12589 22322 20029 24066 31314 15410  9907  9765  7248
 30947 19802 29532 13099]","[22196, 19944, 20262, 20697, 20111, 20029, 19802, 22251, 20774, 8476, 3873, 6672, 16440, 8245, 28245, 28984, 13306, 26053, 13025, 12674, 6795, 10201, 7646, 14787, 19241, 29523, 29789, 31481, 6388, 31177, 10644, 14361, 2932, 1927, 9823, 22744, 30534, 18323, 23628, 19168, 25087, 9475, 3914, 14930, 10773, 503, 9748, 32529, 18049, 13124, 6658, 9931, 31420, 14600, 3346, 15123, 2208, 25086, 4367, 12839, 18520, 14636, 12558, 5792, 22965, 4838, 17993, 2391, 190, 29143, 6213, 15592, 25417, 25583, 18740, 14711, 27548, 23091, 19259, 18169, 4962, 9141, 8563, 23165, 28878, 5323, 11072, 31390, 25850, 12589, 22322, 24066, 31314, 15410, 9907, 9765, 7248, 30947, 29532, 13099]",llama3.1:8b,100,code_module,EEE,2.8289682539682537,1.8
random,"[  588 31794 25571  2754 16031  2962 23553 29000 18132 14767 27721 15737
 17378 28679  3123 24989 20327 18932 28157 29362 30764 18935 14047  5333
  2674 10733 10447 21290 19540 21659 24424 12778 16496 29261  3639 25934
 12765  5403  8424 29554  8628  7798 17134 30408 20865 21038  3553 23285
  3475 26808 29634 24975 13966 23615 20430 29200  1608 11020 26245 15700
  4843 18147   960 29208 27134 10124  5829 25804 21365 20056  9597 31372
  7657 22906 20043 21115 22380 29566 23771 23264  6156 11428 17188 26922
 17135 32210 17627 26225  1468 25938 28704  4179 10803 19992 15658 31459
 22145  8673 15225 14939]","[  588 31794 25571  2754 16031  2962 23553 29000 18132 14767 27721 15737
 17378 28679  3123 24989 20327 18932 28157 29362 30764 18935 14047  5333
  2674 10733 10447 21290 19540 21659 24424 12778 16496 29261  3639 25934
 12765  5403  8424 29554  8628  7798 17134 30408 20865 21038  3553 23285
  3475 26808 29634 24975 13966 23615 20430 29200  1608 11020 26245 15700
  4843 18147   960 29208 27134 10124  5829 25804 21365 20056  9597 31372
  7657 22906 20043 21115 22380 29566 23771 23264  6156 11428 17188 26922
 17135 32210 17627 26225  1468 25938 28704  4179 10803 19992 15658 31459
 22145  8673 15225 14939]",,100,code_module,EEE,0.3007143501208305,9.0
opt,"[25571 25938 31794 19992 18147 24975  3639 22145 17134 15658 18932  7798
 31372 23264 17188 29000 26225 17627 20043 32210 10803  5403 18935  2754
  1468 15225  6156 23615 15700 21038 10733 31459 21659 26245  4179  8424
 20327 28679 14767 20056 16031 30408 18132  9597 16496 25934 11020  1608
 29200 11428 10447  3123 14047  2962  5333 24989 21115 17135 14939  3475
   960  3553 20865 29554 29362 28704  8628 30764 26922  4843 21290 27134
   588 22380 13966 23553 29566 29634 12765 24424 29261  2674 27721 26808
 23285 29208 19540 21365 17378 20430  7657 12778 28157 10124 23771 22906
 15737  8673  5829 25804]","[19992, 22145, 20043, 21038, 21659, 20327, 20056, 21115, 20865, 21290, 19540, 21365, 20430, 25571, 25938, 31794, 18147, 24975, 3639, 17134, 15658, 18932, 7798, 31372, 23264, 17188, 29000, 26225, 17627, 32210, 10803, 5403, 18935, 2754, 1468, 15225, 6156, 23615, 15700, 10733, 31459, 26245, 4179, 8424, 28679, 14767, 16031, 30408, 18132, 9597, 16496, 25934, 11020, 1608, 29200, 11428, 10447, 3123, 14047, 2962, 5333, 24989, 17135, 14939, 3475, 960, 3553, 29554, 29362, 28704, 8628, 30764, 26922, 4843, 27134, 588, 22380, 13966, 23553, 29566, 29634, 12765, 24424, 29261, 2674, 27721, 26808, 23285, 29208, 17378, 7657, 12778, 28157, 10124, 23771, 22906, 15737, 8673, 5829, 25804]",,100,code_module,EEE,3.180133755133755,18.0
warmup,"[14939 15658 13966   588 29200 22145 24989  9597 29208 25934 27721 22380
 17627 26225  2754  6156 10733 20865  3553  4179  1608 12765 29362 14767
 28157 16496 14047 23285 12778 21659 15737 27134 30408 18935  5829 26808
 19992 15225 26245 23264 24424 10803  7657 16031 17134  5333 31372 23615
 28679 21115 25938  1468 15700 31794 28704 32210 29000  8628  2962  3639
 21365  3475  8424 17188  7798 20056 23771 21038 31459  4843 11020 10124
 18932 18147 17135  5403 10447 25804 19540   960 20327 20430 29554 24975
 21290 29566 25571 17378  3123 20043 29261 30764 29634 23553  8673 22906
 26922  2674 18132 11428]","[15658, 22145, 25934, 26225, 20865, 1608, 16496, 21659, 18935, 19992, 10803, 31372, 21115, 15700, 8628, 21365, 20056, 21038, 31459, 18147, 25804, 20430, 20327, 21290, 20043, 8673, 2674, 14939, 13966, 588, 29200, 24989, 9597, 29208, 27721, 22380, 17627, 2754, 6156, 10733, 3553, 4179, 12765, 29362, 14767, 28157, 14047, 23285, 12778, 15737, 27134, 30408, 5829, 26808, 15225, 26245, 23264, 24424, 7657, 16031, 17134, 5333, 23615, 28679, 25938, 1468, 31794, 28704, 32210, 29000, 2962, 3639, 3475, 8424, 17188, 7798, 23771, 4843, 11020, 10124, 18932, 17135, 5403, 10447, 19540, 960, 29554, 24975, 29566, 25571, 17378, 3123, 29261, 30764, 29634, 23553, 22906, 26922, 18132, 11428]",llama3.1:8b,100,code_module,EEE,1.3611663407635275,11.6
bigraph,"[19992  2674 25804 26922 18147 15737 20865 26225 31372 14939 20430  2962
   960 21115 29208 25571 29554 30764 31459 21038 22906 23615 29261 26245
 10124 20043  3553 29000 11428 19540  8424 14047 10803 17627 10447 23264
 29566  3639 21365 21659 20327 22380  8628 24989 15658 31794  2754 23771
 28704 22145 29634 26808  8673 10733  7798 30408 11020 18132 18932 17378
 21290  1608 13966 16496  1468 24424 15225 12778 27721  3475  3123 14767
 15700  6156 28157 25934 24975  4179 17188   588 28679 29362 23285 12765
 32210 23553  5829  7657 17134  5333 16031 17135 29200 25938  5403  4843
 18935 27134  9597 20056]","[20865, 20430, 19540, 21659, 21290, 20056, 21365, 21115, 22145, 20043, 21038, 19992, 10124, 29362, 29634, 23553, 18147, 29566, 16496, 23285, 26225, 29200, 25804, 24975, 6156, 25571, 10733, 29000, 15658, 4179, 18132, 30764, 24989, 588, 2754, 31794, 23615, 17378, 18935, 7798, 25938, 2962, 8628, 8424, 14767, 9597, 17134, 31372, 26922, 20327, 11020, 22380, 8673, 15225, 23771, 29554, 27134, 17135, 25934, 5829, 10447, 3475, 12778, 2674, 15737, 14939, 960, 29208, 31459, 22906, 29261, 26245, 3553, 11428, 14047, 10803, 17627, 23264, 3639, 28704, 26808, 30408, 18932, 1608, 13966, 1468, 24424, 27721, 3123, 15700, 28157, 17188, 28679, 12765, 32210, 7657, 5333, 16031, 5403, 4843]",llama3.1:8b,100,code_module,EEE,3.123210678210678,20.4
random,"[  380  9727 10425 30078 30598 25624  9898 28920 19847   379 13035 23873
  3914 18706 22047 18736  7735 24070  4624  5890 12533  1342  3353 13787
 28527 32336 28220  6227  4786  9083 11308 18059  4422 20932  5925 25770
    75 23808 25317  4089 14316 21615 16142 24527 20603  8265 21241 11997
 27059  3540  8422  9578 27330  6197   502 19425 31115  4826 24472 18129
 10789   140 19944 22902  3553 23998 15117 11113 13030 11009 32560 14220
  4696 11829 14358  5275 26500 19791  2959   797 25874  7274  3720 15037
 14274 24208 21986 27852  2282 23791 13127 18452 12274 29879  4731 25185
 30069 32141 22722  3700]","[  380  9727 10425 30078 30598 25624  9898 28920 19847   379 13035 23873
  3914 18706 22047 18736  7735 24070  4624  5890 12533  1342  3353 13787
 28527 32336 28220  6227  4786  9083 11308 18059  4422 20932  5925 25770
    75 23808 25317  4089 14316 21615 16142 24527 20603  8265 21241 11997
 27059  3540  8422  9578 27330  6197   502 19425 31115  4826 24472 18129
 10789   140 19944 22902  3553 23998 15117 11113 13030 11009 32560 14220
  4696 11829 14358  5275 26500 19791  2959   797 25874  7274  3720 15037
 14274 24208 21986 27852  2282 23791 13127 18452 12274 29879  4731 25185
 30069 32141 22722  3700]",,100,code_module,EEE,0.33254280868432173,9.6
opt,"[ 2959 22722 11113  4089  3700   379  3540 10425  9898  1342 30598   380
 25874 18452 18706 24472 11997 23791 25185 15037 27852 13030 12533 20603
 25770  3353 28527  4786 16142  3720 31115  8265 22902 32141 12274 21615
 25624 27059 13787  9578 14316  4731 14358  7735 15117 13127  4696 24070
 14274 14220 29879  2282 24527 21241 19944 23998    75 30069 19791 30078
 19847 28220  3914  5275 27330  5890 13035 28920 18129 19425  9727 21986
 24208 10789 18736 22047  6197  4422  4624 11308 32336   140  6227 32560
   797  7274  3553 11009   502  5925  8422 18059  4826 23808 23873 26500
  9083 25317 20932 11829]","[20603, 21615, 21241, 19944, 19791, 19847, 19425, 21986, 22047, 20932, 2959, 22722, 11113, 4089, 3700, 379, 3540, 10425, 9898, 1342, 30598, 380, 25874, 18452, 18706, 24472, 11997, 23791, 25185, 15037, 27852, 13030, 12533, 25770, 3353, 28527, 4786, 16142, 3720, 31115, 8265, 22902, 32141, 12274, 25624, 27059, 13787, 9578, 14316, 4731, 14358, 7735, 15117, 13127, 4696, 24070, 14274, 14220, 29879, 2282, 24527, 23998, 75, 30069, 30078, 28220, 3914, 5275, 27330, 5890, 13035, 28920, 18129, 9727, 24208, 10789, 18736, 6197, 4422, 4624, 11308, 32336, 140, 6227, 32560, 797, 7274, 3553, 11009, 502, 5925, 8422, 18059, 4826, 23808, 23873, 26500, 9083, 25317, 11829]",,100,code_module,EEE,2.9289682539682538,8.4
