algorithm,original,reordered,model,size,column,value,rank_utils,gpt-4o-mini_error
random,"[783 213 976 503 206 164 424 881 940 174 704 183 465 456 709 509 913 962
 955 443 890 522 780 339 909  68 231 472 557 901 212 720 193 221 730 938
 525 563 833 931  59 302 307 560 524 440  52 216   6 822 457  43 155 820
 369 799 320 917 516 366]","[783, 213, 976, 503, 206, 164, 424, 881, 940, 174, 704, 183, 465, 456, 709, 509, 913, 962, 955, 443, 890, 522, 780, 339, 909, 68, 231, 472, 557, 901, 212, 720, 193, 221, 730, 938, 525, 563, 833, 931, 59, 302, 307, 560, 524, 440, 52, 216, 6, 822, 457, 43, 155, 820, 369, 799, 320, 917, 516, 366]",,60,High_Rated,True,0.12376731060473369,4.2
opt,"[833 881 216 557  52 509  59 164 524 503 302 913 456 560 369 955 720 799
 155 307 206 221 783  68 931 962 465 193 976 424 366 780 822 820 917 183
 472 525  43 339 440 231 909 890   6 522 704 443 516 938 901 212 174 320
 457 940 709 563 213 730]","[52, 59, 68, 43, 6, 833, 881, 216, 557, 509, 164, 524, 503, 302, 913, 456, 560, 369, 955, 720, 799, 155, 307, 206, 221, 783, 931, 962, 465, 193, 976, 424, 366, 780, 822, 820, 917, 183, 472, 525, 339, 440, 231, 909, 890, 522, 704, 443, 516, 938, 901, 212, 174, 320, 457, 940, 709, 563, 213, 730]",,60,High_Rated,True,2.283333333333333,0.0
warmup,"[231 465 302 799 720 472 820 221   6 563 525 339 443 822 457 516 931 557
 917 940 938 213 193 424 704 320 456 909  68 780 206 709  59 890 955 524
 522 174  43 913 881 901 503 730 783 440 560 369 976 509 216  52 164 307
 212 833 155 962 366 183]","[231, 720, 443, 938, 704, 955, 59, 890, 174, 43, 881, 783, 509, 52, 976, 52, 164, 155, 465, 302, 799, 472, 820, 221, 6, 563, 525, 339, 822, 457, 516, 931, 557, 917, 940, 213, 193, 424, 320, 456, 909, 68, 780, 206, 709, 524, 522, 913, 901, 503, 730, 440, 560, 369, 216, 307, 212, 833, 962, 366]",deepseek-coder-v2:16b,60,High_Rated,True,0.44059523809523804,4.4
bigraph,"[780 822 522 913 164 783 931  59 820 193 909 320 443 940 560 557 730 955
 503 339 457 472 456 216 509 890 465 221 440 917 369 524 799 155 206 881
  68 704 183 212 976 962 366  43 720 516 563   6 302 231 901 174 833 424
 213 525 709 307 938  52]","[59, 68, 43, 6, 52, 901, 516, 457, 780, 822, 522, 913, 164, 783, 931, 820, 193, 909, 320, 443, 940, 560, 557, 730, 955, 503, 339, 472, 456, 216, 509, 890, 465, 221, 440, 917, 369, 524, 799, 155, 206, 881, 704, 183, 212, 976, 962, 366, 720, 563, 302, 231, 174, 833, 424, 213, 525, 709, 307, 938]",deepseek-coder-v2:16b,60,High_Rated,True,2.283333333333333,0.8
random,"[868 122 218 395 976 653 313 952 344 498 310 716 963 173 332 558 813  41
 235 185 135 308  89 894 831 859 914 457 249 393 478  10 882 156 134 306
   7  42  40 186 609 752 910 407 471 426 140 351 482 794 962 720 163 775
 234 238 858 709 226 830]","[868, 122, 218, 395, 976, 653, 313, 952, 344, 498, 310, 716, 963, 173, 332, 558, 813, 41, 235, 185, 135, 308, 89, 894, 831, 859, 914, 457, 249, 393, 478, 10, 882, 156, 134, 306, 7, 42, 40, 186, 609, 752, 910, 407, 471, 426, 140, 351, 482, 794, 962, 720, 163, 775, 234, 238, 858, 709, 226, 830]",,60,High_Rated,True,0.7092676585668576,3.8
opt,"[457 794 478 653 831 976 859 306 952 344  10 813 609 775 426  40 226 173
   7 163 122 395 830 313 558 882 962 308 351 498 235  41 914 134 910 140
 709 393 185 249 716 238 218 720 482 471 858  89 963 186 752 332 135 894
 156 868 234 310  42 407]","[10, 40, 7, 122, 41, 89, 42, 457, 794, 478, 653, 831, 976, 859, 306, 952, 344, 813, 609, 775, 426, 226, 173, 163, 395, 830, 313, 558, 882, 962, 308, 351, 498, 235, 914, 134, 910, 140, 709, 393, 185, 249, 716, 238, 218, 720, 482, 471, 858, 963, 186, 752, 332, 135, 894, 156, 868, 234, 310, 407]",,60,High_Rated,True,2.5928571428571425,2.2
warmup,"[963 478  41   7 426 775 830  10 185 457 135 238 332 709 218 306 720 395
 235 156 794 653 976 609 122 882  89 140 859 407 234 471  42 952 482 310
 186 313 752 858 716 173 914 894 163 910 558 831 962 344 498 308 351  40
 868 134 813 249 226 393]","[41, 41, 709, 720, 89, 89, 482, 952, 482, 952, 186, 716, 163, 962, 40, 40, 813, 963, 478, 7, 426, 775, 830, 10, 185, 457, 135, 238, 332, 218, 306, 395, 235, 156, 794, 653, 976, 609, 122, 882, 140, 859, 407, 234, 471, 42, 310, 313, 752, 858, 173, 914, 894, 910, 558, 831, 344, 498, 308, 351]",deepseek-coder-v2:16b,60,High_Rated,True,2.134880156075808,1.6
bigraph,"[976   7 859 882 134 716 709 482 163 395 344 478 558 794 135 868 238 306
 963 914 407 858 775 140 498 813 752 910 218 457 313  89 310 173 249 609
 351 186 235 952 393 308  42 122 332 720 653 471 426 226 830 185 831 894
  10 962  41  40 156 234]","[7, 89, 122, 10, 40, 41, 140, 42, 351, 457, 185, 395, 858, 558, 976, 306, 609, 498, 910, 234, 775, 709, 407, 653, 830, 859, 882, 134, 716, 482, 163, 344, 478, 794, 135, 868, 238, 963, 914, 813, 752, 218, 313, 310, 173, 249, 186, 235, 952, 393, 308, 332, 720, 471, 426, 226, 831, 894, 962, 156]",deepseek-coder-v2:16b,60,High_Rated,True,2.5749999999999997,2.0
random,"[719 358 732 568 700 564  76 151 514 531 651  26 145  90  15 277 733 481
 262 713 768 831 929 325 286 921 673 731 198 614 413 670 861 123 519 377
  40 391 232 806 539 115 193 149 502 659 468 777   2 428 634 941 778 663
 728 892 298 297 626 788]","[719, 358, 732, 568, 700, 564, 76, 151, 514, 531, 651, 26, 145, 90, 15, 277, 733, 481, 262, 713, 768, 831, 929, 325, 286, 921, 673, 731, 198, 614, 413, 670, 861, 123, 519, 377, 40, 391, 232, 806, 539, 115, 193, 149, 502, 659, 468, 777, 2, 428, 634, 941, 778, 663, 728, 892, 298, 297, 626, 788]",,60,High_Rated,True,0.4649421930934535,8.0
opt,"[298   2 262  76 626 481 193 377 731 232 728 659 777 788 941 713 115 732
 468 391  15 145 651 719 700 358 673 634 778 123 929  40 733 325 149 806
 861 413 502 670 921 892 831 198 514 519 531 663 277 564 151 297 539  26
 614 768 428 568  90 286]","[2, 76, 115, 15, 123, 40, 26, 90, 298, 262, 626, 481, 193, 377, 731, 232, 728, 659, 777, 788, 941, 713, 732, 468, 391, 145, 651, 719, 700, 358, 673, 634, 778, 929, 733, 325, 149, 806, 861, 413, 502, 670, 921, 892, 831, 198, 514, 519, 531, 663, 277, 564, 151, 297, 539, 614, 768, 428, 568, 286]",,60,High_Rated,True,2.7178571428571425,2.6
