algorithm,original,reordered,model,size,column,value
random,"[769 805 999 730 916 584 956 809 332 163  81 438 528   8 899 796 348 636
 763 912 527 573 309  42 419 906 786  27 333 830 359 831 103 209 966 468
 623 499 428 877 272 624 177 106 714 475 880 810 447 781 365 925 127 376
 903  93   1 383 708 711]","[769 805 999 730 916 584 956 809 332 163  81 438 528   8 899 796 348 636
 763 912 527 573 309  42 419 906 786  27 333 830 359 831 103 209 966 468
 623 499 428 877 272 624 177 106 714 475 880 810 447 781 365 925 127 376
 903  93   1 383 708 711]",,60,High_Rated,True
opt,"[209 925   1  27  81 438 830 624 899 359 584 428 912 714 348   8 916 127
 447 906 106 332 810 527 781 831 376 623 786 966 419 956 365 708 769  93
 796 573  42 711 880 475 528 103 636 468 333 877 809 730 272 763 383 499
 177 309 999 163 903 805]","[1, 27, 81, 8, 127, 106, 93, 42, 103, 209, 925, 438, 830, 624, 899, 359, 584, 428, 912, 714, 348, 916, 447, 906, 332, 810, 527, 781, 831, 376, 623, 786, 966, 419, 956, 365, 708, 769, 796, 573, 711, 880, 475, 528, 636, 468, 333, 877, 809, 730, 272, 763, 383, 499, 177, 309, 999, 163, 903, 805]",,60,High_Rated,True
warmup,"[912 966 636 573 468   8  27 163 877 499 831 209 447   1 786 333 376 177
 623 106 708 359 127 332 763 309 999 711 383 956 103 781 796  81  93 916
 365 903 348 475 830 584 428 899 528 809 714 769 624 880 419 805 730 527
 925 810 438 906 272  42]","[966, 8, 27, 1, 623, 106, 127, 103, 81, 93, 348, 830, 805, 42, 912, 636, 573, 468, 163, 877, 499, 831, 209, 447, 786, 333, 376, 177, 708, 359, 332, 763, 309, 999, 711, 383, 956, 781, 796, 916, 365, 903, 475, 584, 428, 899, 528, 809, 714, 769, 624, 880, 419, 730, 527, 925, 810, 438, 906, 272]",llama3.1:8b,60,High_Rated,True
bigraph,"[708 428 365 966  81 730 925 999 475 527 348 209  93 809  42 332 781 309
   1 103 830 447   8 584 528 763 376 714 499 912 177 711 127 623 810 272
 906 916 956 333 880 899 796 359  27 786 163 877 383 805 636 468 438 573
 624 831 419 769 903 106]","[81, 93, 42, 127, 27, 106, 163, 916, 999, 359, 103, 1, 8, 438, 348, 624, 365, 966, 419, 925, 428, 272, 769, 376, 584, 177, 809, 475, 711, 708, 877, 912, 830, 781, 906, 763, 623, 899, 333, 786, 528, 810, 527, 805, 468, 332, 573, 796, 730, 636, 447, 831, 383, 903, 309, 880, 714, 499, 209, 956]",llama3.1:8b,60,High_Rated,True
random,"[171 406 973  53 398 655 190 555 685  65 596 196 725 864 469 236 679 425
 315 173 200 283 820 807 509 320 462 208 993  48 420 383 937 914 403  73
 116 499 342 645 497  59 229 351 145 891 266 325 731 875 653 519 928 244
 261 441 903 841 169 316]","[171 406 973  53 398 655 190 555 685  65 596 196 725 864 469 236 679 425
 315 173 200 283 820 807 509 320 462 208 993  48 420 383 937 914 403  73
 116 499 342 645 497  59 229 351 145 891 266 325 731 875 653 519 928 244
 261 441 903 841 169 316]",,60,High_Rated,True
opt,"[469 342  48 875 325 383 420 425 403 903 320 169 864 914 208 891 509 973
 196 406 655 679 316 497 820 993 462 725 841 171 928  53 937 244 351 441
  59 173 653 685 731 398 200 261 283 807  73 190 596  65 499 315 236 229
 645 145 266 116 555 519]","[48, 53, 59, 73, 65, 116, 469, 342, 875, 325, 383, 420, 425, 403, 903, 320, 169, 864, 914, 208, 891, 509, 973, 196, 406, 655, 679, 316, 497, 820, 993, 462, 725, 841, 171, 928, 937, 244, 351, 441, 173, 653, 685, 731, 398, 200, 261, 283, 807, 190, 596, 499, 315, 236, 229, 645, 145, 266, 555, 519]",,60,High_Rated,True
warmup,"[993 315  53 891  65  48 653 497  59 903 928 645 937 509 685 555 864 462
 190 914 807 425 406 398 229 420 196 173 261 725 875 973 342 731 320 820
 519 469 171 316 655 200 403 244 383 236 325 441 145 596 208  73 841 116
 266 169 351 499 283 679]","[53, 65, 59, 509, 807, 973, 403, 244, 441, 73, 116, 283, 993, 315, 891, 48, 653, 497, 903, 928, 645, 937, 685, 555, 864, 462, 190, 914, 425, 406, 398, 229, 420, 196, 173, 261, 725, 875, 342, 731, 320, 820, 519, 469, 171, 316, 655, 200, 383, 236, 325, 145, 596, 208, 841, 266, 169, 351, 499, 679]",llama3.1:8b,60,High_Rated,True
bigraph,"[196 342 315 229 519 169 320 351 261 497 841 928 469 425 973 208 403 655
 383 864 807  59 462 731 555 937 406 190 903 316  48 325 685 244 645 891
 441 145 200 875 653 236 171  65 820 725  53  73 499 993 398 596 173 914
 283 509 116 679 420 266]","[48, 53, 59, 116, 596, 283, 342, 196, 73, 145, 403, 864, 65, 244, 171, 425, 325, 208, 937, 725, 679, 914, 320, 509, 173, 731, 469, 973, 807, 236, 315, 653, 903, 841, 229, 499, 875, 316, 383, 266, 462, 555, 261, 497, 441, 993, 928, 519, 820, 645, 685, 200, 406, 169, 655, 351, 190, 891, 398, 420]",llama3.1:8b,60,High_Rated,True
random,"[597 631 101 391 983 803 582 275 205 838 926 104 188 736 166 606 646 361
 263 645 823 349 656 410 486 809 552 477   5 616 449 591 960 698 161 111
 278  53 148  58 293 515 237 256 112 613 304 578 535 849 734 818 323 295
 647 177 132  64 882 937]","[597 631 101 391 983 803 582 275 205 838 926 104 188 736 166 606 646 361
 263 645 823 349 656 410 486 809 552 477   5 616 449 591 960 698 161 111
 278  53 148  58 293 515 237 256 112 613 304 578 535 849 734 818 323 295
 647 177 132  64 882 937]",,60,High_Rated,True
opt,"[591 606 838 803 656 449 486 597 410 349 166 882  53 818 304 237 104 734
 111 552 263 631 278 809 926 736 323   5 188 161 983 132 645  58  64 960
 823 205 613 937 698 578 477 101 112 177 256 295 582 535 275 647 391 616
 646 293 361 515 849 148]","[53, 104, 111, 5, 58, 64, 101, 112, 591, 606, 838, 803, 656, 449, 486, 597, 410, 349, 166, 882, 818, 304, 237, 734, 552, 263, 631, 278, 809, 926, 736, 323, 188, 161, 983, 132, 645, 960, 823, 205, 613, 937, 698, 578, 477, 177, 256, 295, 582, 535, 275, 647, 391, 616, 646, 293, 361, 515, 849, 148]",,60,High_Rated,True
