algorithm,original,reordered,model,size,column,value
random,"[698 734  75 169  74 881 494 763  31 140 589  11 458 338 181 454 266 516
 358 277 424 761 252 972 608 978  64  45 453 791 385 182 134 459 736 935
 960 303 122 882 558 111 217 325   8 637 331 423 505  59  72 641 192  77
 683 583 908 524 630 382]","[698 734  75 169  74 881 494 763  31 140 589  11 458 338 181 454 266 516
 358 277 424 761 252 972 608 978  64  45 453 791 385 182 134 459 736 935
 960 303 122 882 558 111 217 325   8 637 331 423 505  59  72 641 192  77
 683 583 908 524 630 382]",,60,High_Rated,True
opt,"[637 277 791  31 505  45 454 217 978 252 683 453 423   8  64 608 736 382
 458  72 424 338 192 122  75 734 358 303 558 325 908 134 761 881  11 882
 630 459 169 266  74 331 972 182 385 494 524 589 935 111 140 641 516 698
 181 583  77 763  59 960]","[637, 277, 791, 31, 505, 45, 454, 217, 978, 252, 683, 453, 423, 8, 64, 608, 736, 382, 458, 72, 424, 338, 192, 122, 75, 734, 358, 303, 558, 325, 908, 134, 761, 881, 11, 882, 630, 459, 169, 266, 74, 331, 972, 182, 385, 494, 524, 589, 935, 111, 140, 641, 516, 698, 181, 583, 77, 763, 59, 960]",,60,High_Rated,True
warmup,"[908 385 266  74 303  72 111 524 516 424 382  75 134 140   8 630 453 978
 169 608 277  59 637 325 558 459 505 217 252  45 331 881 458 589 182 641
 734  31 122 358 761  64  11 960 192 423 181 763 736 698 972 494 583 935
 882 683  77 791 454 338]","[72, 111, 75, 59, 45, 45, 252, 45, 791, 77, 908, 385, 266, 74, 303, 524, 516, 424, 382, 134, 140, 8, 630, 453, 978, 169, 608, 277, 637, 325, 558, 459, 505, 217, 331, 881, 458, 589, 182, 641, 734, 31, 122, 358, 761, 64, 11, 960, 192, 423, 181, 763, 736, 698, 972, 494, 583, 935, 882, 683]",qwen2:7b,60,High_Rated,True
bigraph,"[ 64  45 331 424 641 761  77  11   8 935  59 734  31 881  75 453 266 791
 459 134 960 338 505 325 217 181 494 277 252 630 111 169 458 736 978 683
 524 763 303 385 358 608 182 972 140 589  74 192 122 516  72 382 558 454
 423 637 882 698 583 908]","[761, 111, 74, 182, 505, 338, 454, 77, 45, 122, 140, 59, 31, 698, 64, 558, 75, 494, 72, 134, 791, 453, 181, 8, 583, 11, 277, 303, 331, 192, 458, 763, 358, 908, 424, 423, 935, 382, 325, 589, 736, 881, 960, 630, 252, 385, 169, 516, 459, 978, 882, 734, 608, 266, 683, 217, 637, 641, 524, 972]",qwen2:7b,60,High_Rated,True
random,"[547 735 814 445  56 853 475 722 211 426 492  41 763 310 940 399 594 868
 160 992 563 899 961 493 898 516 769 892 686 233 785 765 448 777 712 411
 886 465 398 326 252 682 227 859 263 188  72 553 823 417 198 714  39 236
 569 939 830 657 121 454]","[547 735 814 445  56 853 475 722 211 426 492  41 763 310 940 399 594 868
 160 992 563 899 961 493 898 516 769 892 686 233 785 765 448 777 712 411
 886 465 398 326 252 682 227 859 263 188  72 553 823 417 198 714  39 236
 569 939 830 657 121 454]",,60,High_Rated,True
opt,"[859 892 830 899 516 939 236 160 492 399 310 121 777 252 868 686 992 553
 735 657 465 227 188 233  39 547 594 417 785 448 493 569 823 961 475 898
 211 411 940 814 326 445  56 763 426 714  41 722 769 263  72 198 454 765
 682 886 563 712 398 853]","[859, 892, 830, 899, 516, 939, 236, 160, 492, 399, 310, 121, 777, 252, 868, 686, 992, 553, 735, 657, 465, 227, 188, 233, 39, 547, 594, 417, 785, 448, 493, 569, 823, 961, 475, 898, 211, 411, 940, 814, 326, 445, 56, 763, 426, 714, 41, 722, 769, 263, 72, 198, 454, 765, 682, 886, 563, 712, 398, 853]",,60,High_Rated,True
warmup,"[682  72 594 961 859 830 769 686 326 657 236 892 722  41 252 454 398 712
 121 411 426 475  39 160 735 465 263 211 763 233 310 188 198 940 992 553
 563 823 547 227 445  56 868 886 448 516 493 765 939 785 777 899 399 898
 492 569 814 853 417 714]","[859, 830, 769, 686, 39, 198, 563, 823, 547, 227, 516, 493, 448, 814, 682, 72, 594, 961, 326, 657, 236, 892, 722, 41, 252, 454, 398, 712, 121, 411, 426, 475, 160, 735, 465, 263, 211, 763, 233, 310, 188, 940, 992, 553, 445, 56, 868, 886, 765, 939, 785, 777, 899, 399, 898, 492, 569, 853, 417, 714]",qwen2:7b,60,High_Rated,True
bigraph,"[516 227 211 769 657 853 553 547 992 830 763 777 823 417 868 859 722 686
 445 594 465 310 898 411 961 563 188 326 714 682 198 940 899  41 252 939
 448 399 492 892  56  39 735 121 765 569 712  72 263 475 454 236 814 398
 426 785 160 493 233 886]","[72, 41, 233, 417, 399, 56, 892, 516, 236, 940, 198, 547, 263, 39, 898, 326, 121, 939, 492, 465, 227, 899, 475, 992, 722, 569, 735, 188, 252, 823, 814, 448, 682, 594, 493, 211, 777, 765, 553, 686, 712, 411, 310, 868, 160, 714, 859, 785, 454, 657, 763, 830, 853, 769, 426, 398, 961, 886, 563, 445]",qwen2:7b,60,High_Rated,True
random,"[288  22 610 689 248 673  25 933 313 667  29 364 256 417 199 472 424 433
 202 668 217 965 910 137 744 652 209 100 666 777 594 541 989 559 380 401
 622 929 837  67 418 719 463 850 939 489 680 471 147 720 131 863 276 656
 653 569 163 218 935 530]","[288  22 610 689 248 673  25 933 313 667  29 364 256 417 199 472 424 433
 202 668 217 965 910 137 744 652 209 100 666 777 594 541 989 559 380 401
 622 929 837  67 418 719 463 850 939 489 680 471 147 720 131 863 276 656
 653 569 163 218 935 530]",,60,High_Rated,True
opt,"[313 653 530 668 939 433 719 218 163 256 137 933 666 199 656 364 401 673
  29 863  22 202 288  25 744 929 667 910 935 472 850 989 541 417 418 131
 594 622 463 489 276 100 248 837 569 380 610 559 652 147 680 424 720 965
 471  67 689 777 209 217]","[313, 653, 530, 668, 939, 433, 719, 218, 163, 256, 137, 933, 666, 199, 656, 364, 401, 673, 29, 863, 22, 202, 288, 25, 744, 929, 667, 910, 935, 472, 850, 989, 541, 417, 418, 131, 594, 622, 463, 489, 276, 100, 248, 837, 569, 380, 610, 559, 652, 147, 680, 424, 720, 965, 471, 67, 689, 777, 209, 217]",,60,High_Rated,True
