letter,error,position,length
V,0,0,200
E,0,16,200
H,0,32,200
Q,0,48,200
M,0,64,200
R,0,80,200
D,0,96,200
L,0,112,200
X,0,128,200
C,0,144,200
F,0,160,200
P,0,176,200
G,0,192,200
I,0,208,200
T,0,224,200
A,0,240,200
K,0,256,200
Y,0,272,200
N,0,288,200
W,0,304,200
Z,0,320,200
U,0,336,200
J,0,352,200
S,0,368,200
O,0,384,200
D,0,0,200
S,0,16,200
Q,0,32,200
R,0,48,200
A,0,64,200
F,0,80,200
E,0,96,200
T,0,112,200
V,0,128,200
K,0,144,200
C,0,160,200
P,0,176,200
O,0,192,200
H,0,208,200
G,0,224,200
Y,0,240,200
B,0,256,200
U,0,272,200
W,0,288,200
N,0,304,200
M,0,320,200
J,0,336,200
I,0,352,200
Z,0,368,200
L,0,384,200
G,0,0,200
A,0,16,200
B,0,32,200
T,0,48,200
Y,0,64,200
C,0,80,200
M,0,96,200
N,0,112,200
Q,0,128,200
S,0,144,200
P,0,160,200
F,0,176,200
O,0,192,200
H,0,208,200
D,0,224,200
Z,0,240,200
V,0,256,200
K,0,272,200
J,0,288,200
I,0,304,200
L,0,320,200
U,0,336,200
R,0,352,200
X,0,368,200
W,0,384,200
E,0,0,200
M,0,16,200
A,0,32,200
C,0,48,200
D,0,64,200
G,0,80,200
J,0,96,200
R,0,112,200
B,0,128,200
K,0,144,200
H,0,160,200
N,0,176,200
U,0,192,200
S,0,208,200
T,0,224,200
Z,0,240,200
Y,0,256,200
W,0,272,200
X,0,288,200
Q,0,304,200
F,0,320,200
V,0,336,200
I,0,352,200
L,0,368,200
P,0,384,200
Q,0,0,200
W,0,16,200
B,0,32,200
Y,0,48,200
N,0,64,200
M,0,80,200
S,0,96,200
P,0,112,200
R,0,128,200
D,0,144,200
T,0,160,200
I,0,176,200
V,0,192,200
F,0,208,200
H,0,224,200
X,0,240,200
E,0,256,200
O,0,272,200
C,0,288,200
U,0,304,200
A,0,320,200
Z,0,336,200
G,0,352,200
J,0,368,200
L,0,384,200
X,0,0,200
V,0,16,200
R,0,32,200
T,0,48,200
P,0,64,200
K,0,80,200
Q,0,96,200
W,0,112,200
G,0,128,200
O,0,144,200
E,0,160,200
H,0,176,200
Z,0,192,200
F,0,208,200
A,0,224,200
S,0,240,200
D,0,256,200
L,0,272,200
M,0,288,200
I,0,304,200
N,0,320,200
U,0,336,200
C,0,352,200
Y,0,368,200
B,0,384,200
M,0,0,200
C,0,16,200
N,0,32,200
R,0,48,200
B,0,64,200
E,0,80,200
U,0,96,200
K,0,112,200
O,0,128,200
S,0,144,200
A,0,160,200
Q,0,176,200
I,0,192,200
T,0,208,200
Y,0,224,200
Z,0,240,200
D,0,256,200
F,0,272,200
J,0,288,200
W,0,304,200
L,0,320,200
H,0,336,200
V,0,352,200
P,0,368,200
G,0,384,200
K,0,0,200
L,0,16,200
V,0,32,200
U,0,48,200
N,0,64,200
A,0,80,200
O,0,96,200
M,0,112,200
Q,0,128,200
Y,0,144,200
F,0,160,200
G,0,176,200
H,0,192,200
I,0,208,200
D,0,224,200
C,0,240,200
P,0,256,200
E,0,272,200
S,0,288,200
Z,0,304,200
X,0,320,200
B,0,336,200
T,0,352,200
R,0,368,200
W,0,384,200
I,0,0,200
H,0,16,200
J,0,32,200
F,0,48,200
A,0,64,200
D,0,80,200
E,0,96,200
Z,0,112,200
X,0,128,200
M,0,144,200
N,0,160,200
B,0,176,200
Q,0,192,200
K,0,208,200
T,0,224,200
O,0,240,200
S,0,256,200
U,0,272,200
V,0,288,200
L,0,304,200
W,0,320,200
P,0,336,200
Y,0,352,200
G,0,368,200
C,0,384,200
V,0,0,200
Z,0,16,200
U,0,32,200
I,0,48,200
G,0,64,200
Q,0,80,200
W,0,96,200
F,0,112,200
T,0,128,200
J,0,144,200
Y,0,160,200
X,0,176,200
K,0,192,200
R,0,208,200
M,0,224,200
C,0,240,200
L,0,256,200
O,0,272,200
B,0,288,200
H,0,304,200
D,0,320,200
A,0,336,200
S,0,352,200
N,0,368,200
P,0,384,200
V,0,0,200
I,0,16,200
Q,0,32,200
W,0,48,200
K,0,64,200
S,0,80,200
F,0,96,200
U,0,112,200
M,0,128,200
E,0,144,200
T,0,160,200
D,0,176,200
G,0,192,200
P,0,208,200
J,0,224,200
Z,0,240,200
N,0,256,200
Y,0,272,200
A,0,288,200
X,0,304,200
C,0,320,200
L,0,336,200
B,0,352,200
R,0,368,200
O,0,384,200
C,0,0,200
D,0,16,200
V,0,32,200
K,0,48,200
P,0,64,200
U,0,80,200
W,0,96,200
G,0,112,200
L,0,128,200
I,0,144,200
T,0,160,200
Q,0,176,200
X,0,192,200
A,0,208,200
O,0,224,200
R,0,240,200
Y,0,256,200
N,0,272,200
Z,0,288,200
F,0,304,200
J,0,320,200
B,0,336,200
H,0,352,200
E,0,368,200
S,0,384,200
L,0,0,200
J,0,16,200
X,0,32,200
G,0,48,200
A,0,64,200
O,0,80,200
D,0,96,200
B,0,112,200
S,0,128,200
T,0,144,200
Q,0,160,200
Y,0,176,200
R,0,192,200
F,0,208,200
M,0,224,200
W,0,240,200
V,0,256,200
Z,0,272,200
K,0,288,200
E,0,304,200
C,0,320,200
N,0,336,200
U,0,352,200
P,0,368,200
I,0,384,200
K,0,0,200
L,0,16,200
F,0,32,200
J,0,48,200
C,0,64,200
M,0,80,200
O,0,96,200
V,0,112,200
G,0,128,200
B,0,144,200
Y,0,160,200
X,0,176,200
D,0,192,200
I,0,208,200
N,0,224,200
T,0,240,200
R,0,256,200
U,0,272,200
Z,0,288,200
W,0,304,200
A,0,320,200
S,0,336,200
H,0,352,200
Q,0,368,200
E,0,384,200
E,0,0,200
Q,0,16,200
H,0,32,200
O,0,48,200
S,0,64,200
J,0,80,200
B,0,96,200
Y,0,112,200
N,0,128,200
C,0,144,200
X,0,160,200
A,0,176,200
U,0,192,200
I,0,208,200
F,0,224,200
Z,0,240,200
W,0,256,200
M,0,272,200
L,0,288,200
R,0,304,200
T,0,320,200
K,0,336,200
P,0,352,200
V,0,368,200
D,0,384,200
O,0,0,200
X,0,16,200
D,0,32,200
U,0,48,200
R,0,64,200
H,0,80,200
J,0,96,200
P,0,112,200
N,0,128,200
K,0,144,200
M,0,160,200
F,0,176,200
S,0,192,200
T,0,208,200
E,0,224,200
L,0,240,200
A,0,256,200
I,0,272,200
Z,0,288,200
B,0,304,200
C,0,320,200
Y,0,336,200
W,0,352,200
Q,0,368,200
V,0,384,200
G,0,0,200
Q,0,16,200
T,0,32,200
X,0,48,200
C,0,64,200
W,0,80,200
F,0,96,200
V,0,112,200
U,0,128,200
Y,0,144,200
R,0,160,200
O,0,176,200
A,0,192,200
K,0,208,200
D,0,224,200
S,0,240,200
Z,0,256,200
