edge_size,vertex,error
50,0,0
50,0,0
50,0,0
50,0,1
50,0,1
50,0,1
50,0,2
50,0,1
50,0,0
50,0,0
50,10,2
50,10,2
50,10,1
50,10,0
50,10,0
50,10,4
50,10,1
50,10,1
50,10,0
50,10,1
50,19,0
50,19,0
50,19,0
50,19,0
50,19,0
50,19,2
50,19,1
50,19,0
50,19,0
50,19,0
200,0,8
200,0,6
200,0,6
200,0,5
200,0,6
200,0,5
200,0,9
200,0,6
200,0,4
200,0,9
200,15,8
200,15,7
200,15,8
200,15,10
200,15,6
200,15,10
200,15,9
200,15,8
200,15,10
200,15,5
200,29,1
200,29,1
200,29,3
200,29,2
200,29,1
200,29,1
200,29,2
200,29,1
200,29,2
200,29,2
300,0,7
300,0,7
300,0,11
300,0,7
300,0,8
300,0,7
300,0,9
300,0,9
300,0,7
300,0,5
300,20,13
300,20,6
300,20,12
300,20,6
300,20,11
300,20,11
300,20,13
300,20,8
300,20,7
300,20,8
300,39,2
300,39,2
300,39,1
300,39,0
300,39,1
300,39,1
300,39,4
300,39,1
300,39,3
300,39,2
400,0,8
400,0,9
400,0,7
400,0,8
400,0,12
400,0,13
400,0,8
400,0,12
400,0,8
400,0,12
400,25,7
400,25,12
400,25,13
400,25,8
400,25,7
400,25,13
400,25,7
400,25,9
400,25,10
400,25,10
400,49,0
400,49,2
400,49,3
400,49,0
400,49,2
400,49,1
400,49,3
400,49,3
400,49,0
400,49,1
500,0,14
500,0,16
500,0,16
500,0,12
500,0,13
500,0,9
500,0,11
500,0,15
500,0,17
500,0,10
500,25,13
500,25,11
500,25,15
500,25,15
500,25,14
500,25,13
500,25,14
500,25,12
500,25,15
500,25,15
500,49,1
500,49,2
500,49,1
500,49,2
500,49,11
500,49,3
500,49,12
500,49,3
500,49,1
500,49,8
