algorithm,original,reordered,model,size,column,value
random,"[ 90851 127904   2917 120711  64317 102704   9122  57389  23730  54327
  86021  97932  51354  16453  48071  19254  94049  68817  77734 119227
  78636  14602  62484  31529 108391 107950  62196  12190 120308  52173
  25165   8590  69215 131791  13737   1821  68794  89819  65635  36573
  45218  83100  82296 104405  91315  63347  31163  87430  61656  41824
  58852  91176  69623 104848 108422  82686  63526  89768 114539   9673
  92505  53047  57712   7160  78584 109049  55110  60445  48771  34694
 113849  97727  71497 126871 128473 112807  94793  41570  56408 122611
  47501 107524  27915  25225  94901  85838  44685  39059 102194  84305
  15214  27288  66328  43669   8772  17806  38935  11692  43775  13783]","[ 90851 127904   2917 120711  64317 102704   9122  57389  23730  54327
  86021  97932  51354  16453  48071  19254  94049  68817  77734 119227
  78636  14602  62484  31529 108391 107950  62196  12190 120308  52173
  25165   8590  69215 131791  13737   1821  68794  89819  65635  36573
  45218  83100  82296 104405  91315  63347  31163  87430  61656  41824
  58852  91176  69623 104848 108422  82686  63526  89768 114539   9673
  92505  53047  57712   7160  78584 109049  55110  60445  48771  34694
 113849  97727  71497 126871 128473 112807  94793  41570  56408 122611
  47501 107524  27915  25225  94901  85838  44685  39059 102194  84305
  15214  27288  66328  43669   8772  17806  38935  11692  43775  13783]",,100,,
opt,"[108391 122611  86021  94901 113849 128473  62196  48071  27915  48771
  57389 126871  78636  31163  44685  39059 104405   8772  15214  47501
  58852  13783  94793  92505   7160 119227  31529 102704 102194  60445
  38935   8590  27288  51354 108422  25165  77734  71497  89819 112807
  89768  16453  68817   9122  82686  17806  52173  55110  43775  78584
 120711  61656  91176  43669  41570  85838 107524  36573 131791  82296
  69623  53047  65635 120308  94049  57712  62484   2917  91315  97932
  64317  87430   1821 107950  90851  63347  84305  11692  14602  23730
  54327 127904  41824  68794  13737  12190  25225 114539  45218  66328
   9673  83100  97727  34694  69215 109049  19254  56408 104848  63526]","[np.int64(27915), np.int64(31163), np.int64(31529), np.int64(27288), np.int64(25165), np.int64(71497), np.int64(68817), np.int64(69623), np.int64(65635), np.int64(64317), np.int64(23730), np.int64(68794), np.int64(25225), np.int64(66328), np.int64(69215), np.int64(108391), np.int64(122611), np.int64(86021), np.int64(94901), np.int64(113849), np.int64(128473), np.int64(62196), np.int64(48071), np.int64(48771), np.int64(57389), np.int64(126871), np.int64(78636), np.int64(44685), np.int64(39059), np.int64(104405), np.int64(8772), np.int64(15214), np.int64(47501), np.int64(58852), np.int64(13783), np.int64(94793), np.int64(92505), np.int64(7160), np.int64(119227), np.int64(102704), np.int64(102194), np.int64(60445), np.int64(38935), np.int64(8590), np.int64(51354), np.int64(108422), np.int64(77734), np.int64(89819), np.int64(112807), np.int64(89768), np.int64(16453), np.int64(9122), np.int64(82686), np.int64(17806), np.int64(52173), np.int64(55110), np.int64(43775), np.int64(78584), np.int64(120711), np.int64(61656), np.int64(91176), np.int64(43669), np.int64(41570), np.int64(85838), np.int64(107524), np.int64(36573), np.int64(131791), np.int64(82296), np.int64(53047), np.int64(120308), np.int64(94049), np.int64(57712), np.int64(62484), np.int64(2917), np.int64(91315), np.int64(97932), np.int64(87430), np.int64(1821), np.int64(107950), np.int64(90851), np.int64(63347), np.int64(84305), np.int64(11692), np.int64(14602), np.int64(54327), np.int64(127904), np.int64(41824), np.int64(13737), np.int64(12190), np.int64(114539), np.int64(45218), np.int64(9673), np.int64(83100), np.int64(97727), np.int64(34694), np.int64(109049), np.int64(19254), np.int64(56408), np.int64(104848), np.int64(63526)]",,100,,
warmup,"[ 54327  62484  78636  39059  94901  27288 104405 113849  65635  89768
  44685 112807  43775  31529  48071  86021  62196  47501 102704 120308
  58852  68817  90851  69623  41570  94049   9122  63526  41824 104848
 102194  61656  52173 128473   2917  69215 122611  48771  83100   8590
  87430  92505  13783  97727   8772  85838  25225  16453  12190  25165
  97932  15214   1821  43669  78584  31163  19254  36573 127904  56408
 108422  64317  57389  82296  94793 126871  71497  13737  60445  45218
 114539  91176  84305  66328  89819  38935  17806  14602   7160 120711
  11692  91315   9673 131791  63347  27915 107950 119227  82686 109049
  51354  57712 108391  53047  23730  77734  55110  68794  34694 107524]","[np.int64(85838), np.int64(25225), np.int64(8772), np.int64(25225), np.int64(66328), np.int64(89819), np.int64(107950), np.int64(54327), np.int64(62484), np.int64(78636), np.int64(39059), np.int64(94901), np.int64(27288), np.int64(104405), np.int64(113849), np.int64(65635), np.int64(89768), np.int64(44685), np.int64(112807), np.int64(43775), np.int64(31529), np.int64(48071), np.int64(86021), np.int64(62196), np.int64(47501), np.int64(102704), np.int64(120308), np.int64(58852), np.int64(68817), np.int64(90851), np.int64(69623), np.int64(41570), np.int64(94049), np.int64(9122), np.int64(63526), np.int64(41824), np.int64(104848), np.int64(102194), np.int64(61656), np.int64(52173), np.int64(128473), np.int64(2917), np.int64(69215), np.int64(122611), np.int64(48771), np.int64(83100), np.int64(8590), np.int64(87430), np.int64(92505), np.int64(13783), np.int64(97727), np.int64(16453), np.int64(12190), np.int64(25165), np.int64(97932), np.int64(15214), np.int64(1821), np.int64(43669), np.int64(78584), np.int64(31163), np.int64(19254), np.int64(36573), np.int64(127904), np.int64(56408), np.int64(108422), np.int64(64317), np.int64(57389), np.int64(82296), np.int64(94793), np.int64(126871), np.int64(71497), np.int64(13737), np.int64(60445), np.int64(45218), np.int64(114539), np.int64(91176), np.int64(84305), np.int64(38935), np.int64(17806), np.int64(14602), np.int64(7160), np.int64(120711), np.int64(11692), np.int64(91315), np.int64(9673), np.int64(131791), np.int64(63347), np.int64(27915), np.int64(119227), np.int64(82686), np.int64(109049), np.int64(51354), np.int64(57712), np.int64(108391), np.int64(53047), np.int64(23730), np.int64(77734), np.int64(55110), np.int64(68794), np.int64(34694)]",deepseek-coder-v2:16b,100,,
bigraph,"[  8590  94901 108391   8772 122611  78636  94049  43669  36573  91176
  13783  60445  86021  94793   7160 109049  66328  34694  63347  19254
  97932  69623 126871  64317  52173  57712  69215  11692  53047 102704
  68817  23730  17806  65635  27288 107524  31529  77734  83100  62196
 114539 120308  47501 113849  14602 107950   9673 102194  25165  85838
  84305 104405  41824  91315   2917  68794  39059  44685  71497  89768
  78584  90851  31163  16453  57389  51354  43775  38935  58852 108422
  56408  12190  41570 127904  55110  62484  92505  54327  97727  89819
 128473   9122  87430 104848  15214   1821  82686  48771  61656  13737
  48071  25225 112807 131791 120711 119227  45218  63526  82296  27915]","[np.int64(69215), np.int64(27915), np.int64(102704), np.int64(68817), np.int64(131791), np.int64(14602), np.int64(7160), np.int64(16453), np.int64(51354), np.int64(23730), np.int64(41570), np.int64(9122), np.int64(25165), np.int64(43775), np.int64(8590), np.int64(127904), np.int64(91315), np.int64(31529), np.int64(38935), np.int64(34694), np.int64(108422), np.int64(84305), np.int64(48071), np.int64(41824), np.int64(65635), np.int64(85838), np.int64(19254), np.int64(71497), np.int64(66328), np.int64(94901), np.int64(44685), np.int64(104405), np.int64(53047), np.int64(107950), np.int64(27288), np.int64(25225), np.int64(45218), np.int64(107524), np.int64(55110), np.int64(87430), np.int64(64317), np.int64(62196), np.int64(112807), np.int64(48771), np.int64(36573), np.int64(114539), np.int64(119227), np.int64(31163), np.int64(63347), np.int64(69623), np.int64(2917), np.int64(83100), np.int64(113849), np.int64(47501), np.int64(58852), np.int64(82686), np.int64(8772), np.int64(108391), np.int64(39059), np.int64(11692), np.int64(91176), np.int64(120711), np.int64(89768), np.int64(104848), np.int64(68794), np.int64(89819), np.int64(109049), np.int64(120308), np.int64(15214), np.int64(92505), np.int64(94793), np.int64(17806), np.int64(61656), np.int64(54327), np.int64(122611), np.int64(57712), np.int64(97727), np.int64(94049), np.int64(60445), np.int64(77734), np.int64(1821), np.int64(86021), np.int64(52173), np.int64(43669), np.int64(82296), np.int64(13783), np.int64(90851), np.int64(13737), np.int64(128473), np.int64(12190), np.int64(9673), np.int64(57389), np.int64(126871), np.int64(78636), np.int64(62484), np.int64(97932), np.int64(102194), np.int64(78584), np.int64(56408), np.int64(63526)]",deepseek-coder-v2:16b,100,,
random,"[ 79142 102150  30540  26921  99540  42629  39200  36599 100928   7284
  91090   1966  96391 112496  28685  11468  79160  63384 128334  74032
  45878  73361  53721 119369  73306   9304  85972  82138 130578  85967
  35097  35363  34758  50129 130491  90027  77823  87729  86811  19325
 101385  22203  44065  70570 104046  61159   7551 123054  58184  73050
   5853 111385  44650  64165  66417  34822 103015  41624   4123  67472
   2321  67955  91511 129731  83095  12021  67134  80155  10938  25133
 109637  63757  94145  37308 102896  10998 103293  67746 101382  38269
 130514 125944  81912  74445  61328 124948  99023   5441  61999 118270
  37631  74041  88176 115676  52478  45454   7248  79236  23492  66269]","[ 79142 102150  30540  26921  99540  42629  39200  36599 100928   7284
  91090   1966  96391 112496  28685  11468  79160  63384 128334  74032
  45878  73361  53721 119369  73306   9304  85972  82138 130578  85967
  35097  35363  34758  50129 130491  90027  77823  87729  86811  19325
 101385  22203  44065  70570 104046  61159   7551 123054  58184  73050
   5853 111385  44650  64165  66417  34822 103015  41624   4123  67472
   2321  67955  91511 129731  83095  12021  67134  80155  10938  25133
 109637  63757  94145  37308 102896  10998 103293  67746 101382  38269
 130514 125944  81912  74445  61328 124948  99023   5441  61999 118270
  37631  74041  88176 115676  52478  45454   7248  79236  23492  66269]",,100,,
opt,"[  7248  79142   1966 104046  36599  70570  37631  11468  99540 130491
 102896  74445 124948  45454  61328  35363 125944  85967  42629 118270
  96391  94145  85972  79236  41624  73050 100928  28685  67955  63384
 109637 129731 101385   7284  81912  67746  73306  53721  86811  61999
  19325  38269 102150 130514  34822   4123  66269  82138  34758  10938
  10998  45878  35097  61159  77823  67134 115676   9304  58184  26921
 111385  83095  44065  39200  52478  90027  50129  67472  91511  88176
  64165  80155   2321   5441  44650 103293 103015  73361  37308 119369
  79160  12021   5853 101382  87729  91090 123054 128334 112496  25133
  74032  66417  99023  23492 130578   7551  74041  30540  22203  63757]","[np.int64(74445), np.int64(73050), np.int64(28685), np.int64(67955), np.int64(67746), np.int64(73306), np.int64(66269), np.int64(67134), np.int64(26921), np.int64(67472), np.int64(64165), np.int64(73361), np.int64(25133), np.int64(74032), np.int64(66417), np.int64(74041), np.int64(63757), np.int64(7248), np.int64(79142), np.int64(1966), np.int64(104046), np.int64(36599), np.int64(70570), np.int64(37631), np.int64(11468), np.int64(99540), np.int64(130491), np.int64(102896), np.int64(124948), np.int64(45454), np.int64(61328), np.int64(35363), np.int64(125944), np.int64(85967), np.int64(42629), np.int64(118270), np.int64(96391), np.int64(94145), np.int64(85972), np.int64(79236), np.int64(41624), np.int64(100928), np.int64(63384), np.int64(109637), np.int64(129731), np.int64(101385), np.int64(7284), np.int64(81912), np.int64(53721), np.int64(86811), np.int64(61999), np.int64(19325), np.int64(38269), np.int64(102150), np.int64(130514), np.int64(34822), np.int64(4123), np.int64(82138), np.int64(34758), np.int64(10938), np.int64(10998), np.int64(45878), np.int64(35097), np.int64(61159), np.int64(77823), np.int64(115676), np.int64(9304), np.int64(58184), np.int64(111385), np.int64(83095), np.int64(44065), np.int64(39200), np.int64(52478), np.int64(90027), np.int64(50129), np.int64(91511), np.int64(88176), np.int64(80155), np.int64(2321), np.int64(5441), np.int64(44650), np.int64(103293), np.int64(103015), np.int64(37308), np.int64(119369), np.int64(79160), np.int64(12021), np.int64(5853), np.int64(101382), np.int64(87729), np.int64(91090), np.int64(123054), np.int64(128334), np.int64(112496), np.int64(99023), np.int64(23492), np.int64(130578), np.int64(7551), np.int64(30540), np.int64(22203)]",,100,,
warmup,"[ 23492 101385 102896   4123  11468 129731  91090  77823  87729  50129
  39200  63384 130514 112496  83095  53721   5441  45454  79160  37308
   7248  63757  96391 123054 130491  86811 115676  90027  99023  52478
 103293  66269  30540  61159 100928 118270  81912  42629  67746  41624
  12021  61328  45878  73306  73361  94145   7284 125944  35097  73050
  38269 109637  91511  74041  88176  74032 101382  66417  82138  36599
   5853  85972  67955 130578   9304  10998  44065  61999  34822 103015
  10938  67472  22203  19325 104046  58184 124948  34758  70570   2321
  79142 128334   1966  99540  79236  35363  37631  85967  25133 102150
 111385   7551  80155  28685  26921 119369  74445  44650  67134  64165]","[np.int64(30540), np.int64(61159), np.int64(100928), np.int64(118270), np.int64(42629), np.int64(41624), np.int64(67746), np.int64(5853), np.int64(103015), np.int64(10938), np.int64(67472), np.int64(67472), np.int64(28685), np.int64(26921), np.int64(23492), np.int64(101385), np.int64(102896), np.int64(4123), np.int64(11468), np.int64(129731), np.int64(91090), np.int64(77823), np.int64(87729), np.int64(50129), np.int64(39200), np.int64(63384), np.int64(130514), np.int64(112496), np.int64(83095), np.int64(53721), np.int64(5441), np.int64(45454), np.int64(79160), np.int64(37308), np.int64(7248), np.int64(63757), np.int64(96391), np.int64(123054), np.int64(130491), np.int64(86811), np.int64(115676), np.int64(90027), np.int64(99023), np.int64(52478), np.int64(103293), np.int64(66269), np.int64(81912), np.int64(12021), np.int64(61328), np.int64(45878), np.int64(73306), np.int64(73361), np.int64(94145), np.int64(7284), np.int64(125944), np.int64(35097), np.int64(73050), np.int64(38269), np.int64(109637), np.int64(91511), np.int64(74041), np.int64(88176), np.int64(74032), np.int64(101382), np.int64(66417), np.int64(82138), np.int64(36599), np.int64(85972), np.int64(67955), np.int64(130578), np.int64(9304), np.int64(10998), np.int64(44065), np.int64(61999), np.int64(34822), np.int64(22203), np.int64(19325), np.int64(104046), np.int64(58184), np.int64(124948), np.int64(34758), np.int64(70570), np.int64(2321), np.int64(79142), np.int64(128334), np.int64(1966), np.int64(99540), np.int64(79236), np.int64(35363), np.int64(37631), np.int64(85967), np.int64(25133), np.int64(102150), np.int64(111385), np.int64(7551), np.int64(80155), np.int64(119369), np.int64(74445), np.int64(44650), np.int64(67134)]",deepseek-coder-v2:16b,100,,
bigraph,"[ 99023 100928  66417  74032 102150  53721  67955 130491  26921   4123
  58184  73050 112496  88176 115676  19325  52478 129731  87729  61999
  82138  79160  83095 103293 130514  74445  39200  37308 130578  67472
  91511 111385 119369 102896  77823  73306 123054  64165 101382  45454
  36599  45878  28685   1966  23492  63384   2321  99540  44650  35097
  61159   5853  35363  74041  38269  22203  90027  86811  94145  66269
  85967 109637   9304  67134 128334  80155  61328 118270  34822  42629
  96391  41624 101385  67746 124948  37631  79142  70570  25133  12021
 104046  11468  79236   7284  91090 125944  81912  85972  63757  44065
 103015  10998  50129  10938   7248   5441   7551  73361  34758  30540]","[np.int64(67472), np.int64(28685), np.int64(94145), np.int64(39200), np.int64(66417), np.int64(44065), np.int64(74032), np.int64(42629), np.int64(34822), np.int64(96391), np.int64(119369), np.int64(38269), np.int64(44650), np.int64(87729), np.int64(63757), np.int64(22203), np.int64(35363), np.int64(101385), np.int64(73306), np.int64(99540), np.int64(73050), np.int64(102896), np.int64(82138), np.int64(66269), np.int64(67134), np.int64(118270), np.int64(74445), np.int64(74041), np.int64(73361), np.int64(64165), np.int64(35097), np.int64(41624), np.int64(67746), np.int64(2321), np.int64(50129), np.int64(124948), np.int64(129731), np.int64(70570), np.int64(58184), np.int64(61999), np.int64(103015), np.int64(52478), np.int64(104046), np.int64(5441), np.int64(12021), np.int64(5853), np.int64(83095), np.int64(111385), np.int64(123054), np.int64(61328), np.int64(37308), np.int64(1966), np.int64(10998), np.int64(77823), np.int64(99023), np.int64(25133), np.int64(9304), np.int64(130491), np.int64(45878), np.int64(130578), np.int64(37631), np.int64(102150), np.int64(101382), np.int64(112496), np.int64(91090), np.int64(79236), np.int64(4123), np.int64(67955), np.int64(91511), np.int64(90027), np.int64(100928), np.int64(125944), np.int64(26921), np.int64(130514), np.int64(10938), np.int64(30540), np.int64(128334), np.int64(11468), np.int64(34758), np.int64(23492), np.int64(80155), np.int64(81912), np.int64(79160), np.int64(7284), np.int64(7551), np.int64(109637), np.int64(7248), np.int64(19325), np.int64(45454), np.int64(103293), np.int64(85972), np.int64(86811), np.int64(36599), np.int64(63384), np.int64(53721), np.int64(115676), np.int64(88176), np.int64(61159), np.int64(85967), np.int64(79142)]",deepseek-coder-v2:16b,100,,
random,"[116255  24171  14750  18460 101079   2073 125551  91182  36775  99086
  99253   6392  41236  66237  95713   5327   2616 127794 110805  66671
  11429  91568  11284  64888  82846 124217  90445  55226   7744  94644
 131213  84058  82375  54788 125962 119263  28384  51489  70633  44547
  80574  81526  29511 122950  16010  49883  20475  62579  62553  67958
 100321  44459 104062  22522 109191  16568  96107  39394 126428   2238
 122239  88476  90068  55047  85613 122482  68951  86622  86254 128990
  51365  40990  11194  92050   9156  27444  14280  29309  47023 109981
  60944  45879 112735  37810  14792  79006  30310  63480  47138   9707
  68666 129174 113997  58892  35338 114724 120722 100947  51278  80050]","[116255  24171  14750  18460 101079   2073 125551  91182  36775  99086
  99253   6392  41236  66237  95713   5327   2616 127794 110805  66671
  11429  91568  11284  64888  82846 124217  90445  55226   7744  94644
 131213  84058  82375  54788 125962 119263  28384  51489  70633  44547
  80574  81526  29511 122950  16010  49883  20475  62579  62553  67958
 100321  44459 104062  22522 109191  16568  96107  39394 126428   2238
 122239  88476  90068  55047  85613 122482  68951  86622  86254 128990
  51365  40990  11194  92050   9156  27444  14280  29309  47023 109981
  60944  45879 112735  37810  14792  79006  30310  63480  47138   9707
  68666 129174 113997  58892  35338 114724 120722 100947  51278  80050]",,100,,
opt,"[125962 113997  47138  16010  54788 116255  64888  86254  91568  55226
   9707  63480   2616  36775  66671   6392 109191  67958  95713  82846
 129174  51278  44459  99253  27444 124217  91182 126428  84058  94644
  51489  81526  86622  70633  58892  40990  14792 101079  90068 122482
  11194  51365  24171  80050 120722   2073  35338  44547  49883 122950
  28384  22522  62579 100321 100947  92050 104062  29309  11429 112735
  55047 128990 122239  88476 114724  11284  85613   2238  14280  62553
  82375  16568   9156 109981  20475  80574  37810  18460  66237 110805
 125551  30310  60944 119263  41236  96107  79006  68666  29511  68951
   7744  39394  90445  47023   5327  99086  14750  45879 127794 131213]","[np.int64(64888), np.int64(66671), np.int64(67958), np.int64(27444), np.int64(24171), np.int64(28384), np.int64(29309), np.int64(66237), np.int64(30310), np.int64(68666), np.int64(29511), np.int64(68951), np.int64(125962), np.int64(113997), np.int64(47138), np.int64(16010), np.int64(54788), np.int64(116255), np.int64(86254), np.int64(91568), np.int64(55226), np.int64(9707), np.int64(63480), np.int64(2616), np.int64(36775), np.int64(6392), np.int64(109191), np.int64(95713), np.int64(82846), np.int64(129174), np.int64(51278), np.int64(44459), np.int64(99253), np.int64(124217), np.int64(91182), np.int64(126428), np.int64(84058), np.int64(94644), np.int64(51489), np.int64(81526), np.int64(86622), np.int64(70633), np.int64(58892), np.int64(40990), np.int64(14792), np.int64(101079), np.int64(90068), np.int64(122482), np.int64(11194), np.int64(51365), np.int64(80050), np.int64(120722), np.int64(2073), np.int64(35338), np.int64(44547), np.int64(49883), np.int64(122950), np.int64(22522), np.int64(62579), np.int64(100321), np.int64(100947), np.int64(92050), np.int64(104062), np.int64(11429), np.int64(112735), np.int64(55047), np.int64(128990), np.int64(122239), np.int64(88476), np.int64(114724), np.int64(11284), np.int64(85613), np.int64(2238), np.int64(14280), np.int64(62553), np.int64(82375), np.int64(16568), np.int64(9156), np.int64(109981), np.int64(20475), np.int64(80574), np.int64(37810), np.int64(18460), np.int64(110805), np.int64(125551), np.int64(60944), np.int64(119263), np.int64(41236), np.int64(96107), np.int64(79006), np.int64(7744), np.int64(39394), np.int64(90445), np.int64(47023), np.int64(5327), np.int64(99086), np.int64(14750), np.int64(45879), np.int64(127794), np.int64(131213)]",,100,,
