algorithm,original,reordered,model,size,column,value
random,"[  1062  28897 126651  36702  68310  93507  78784  38632  74960  85683
  66772  75056  11971  45752  80375  46824 130074   7629  48957  29140
  49886 122328 114880  48229  52171  76949  90039    432  77323  58381
  59195 109151 109726 105524  62689 109491 104322  85184  82475  35303
 116176 127544  63591  33350  58107  38599 108113 128549  83675  71506
  24630 129695 101443  93607   2190  91349  92628 104824  89680  76067
  98038  58208 103792  39264 101686  53671  99157  91681 124672  43012
  15486 124063  96404  60267  86251  36944  40581 116244  14973  90924
 122913  55984  66108 132319  28381 113020 114366  42541  52729  95798
  43683  37877  62816  78587 122015  47954  48131  81022  43688  23297]","[  1062  28897 126651  36702  68310  93507  78784  38632  74960  85683
  66772  75056  11971  45752  80375  46824 130074   7629  48957  29140
  49886 122328 114880  48229  52171  76949  90039    432  77323  58381
  59195 109151 109726 105524  62689 109491 104322  85184  82475  35303
 116176 127544  63591  33350  58107  38599 108113 128549  83675  71506
  24630 129695 101443  93607   2190  91349  92628 104824  89680  76067
  98038  58208 103792  39264 101686  53671  99157  91681 124672  43012
  15486 124063  96404  60267  86251  36944  40581 116244  14973  90924
 122913  55984  66108 132319  28381 113020 114366  42541  52729  95798
  43683  37877  62816  78587 122015  47954  48131  81022  43688  23297]",,100,,
opt,"[ 89680  43012  52171  53671 101686  93507  58107 104322  35303  47954
 109491  86251  66772 129695  37877 128549 116176  95798  48229  15486
 127544  28381  63591 124063  91349  60267  96404 103792  90039 105524
  59195  92628  74960  62816  42541  98038  90924   2190 124672  99157
  78587  83675  66108  76949  45752  23297 113020 109151  76067  93607
 122015  58381  77323 116244  38599  71506  68310  75056  49886  33350
  46824  80375    432 101443  81022 109726  48131  29140  91681  52729
  28897  38632  78784 104824  48957  36944 122328  14973  43683 130074
  85683  82475  55984 122913 108113  85184 126651  24630  58208   7629
  40581   1062  43688  62689 114880 132319  39264  11971 114366  36702]","[np.int64(66772), np.int64(28381), np.int64(66108), np.int64(71506), np.int64(68310), np.int64(33350), np.int64(29140), np.int64(28897), np.int64(24630), np.int64(89680), np.int64(43012), np.int64(52171), np.int64(53671), np.int64(101686), np.int64(93507), np.int64(58107), np.int64(104322), np.int64(35303), np.int64(47954), np.int64(109491), np.int64(86251), np.int64(129695), np.int64(37877), np.int64(128549), np.int64(116176), np.int64(95798), np.int64(48229), np.int64(15486), np.int64(127544), np.int64(63591), np.int64(124063), np.int64(91349), np.int64(60267), np.int64(96404), np.int64(103792), np.int64(90039), np.int64(105524), np.int64(59195), np.int64(92628), np.int64(74960), np.int64(62816), np.int64(42541), np.int64(98038), np.int64(90924), np.int64(2190), np.int64(124672), np.int64(99157), np.int64(78587), np.int64(83675), np.int64(76949), np.int64(45752), np.int64(23297), np.int64(113020), np.int64(109151), np.int64(76067), np.int64(93607), np.int64(122015), np.int64(58381), np.int64(77323), np.int64(116244), np.int64(38599), np.int64(75056), np.int64(49886), np.int64(46824), np.int64(80375), np.int64(432), np.int64(101443), np.int64(81022), np.int64(109726), np.int64(48131), np.int64(91681), np.int64(52729), np.int64(38632), np.int64(78784), np.int64(104824), np.int64(48957), np.int64(36944), np.int64(122328), np.int64(14973), np.int64(43683), np.int64(130074), np.int64(85683), np.int64(82475), np.int64(55984), np.int64(122913), np.int64(108113), np.int64(85184), np.int64(126651), np.int64(58208), np.int64(7629), np.int64(40581), np.int64(1062), np.int64(43688), np.int64(62689), np.int64(114880), np.int64(132319), np.int64(39264), np.int64(11971), np.int64(114366), np.int64(36702)]",,100,,
warmup,"[ 48229  29140  76067  40581  80375  83675 104322  46824 114366  66772
 105524  59195  68310  91349  39264 126651  52171  42541 122328  33350
  62689 124672 109491  99157  52729  85683 132319  66108   7629  36702
  76949  96404  23297 122015  92628  85184  11971  35303  43683  48957
  77323  78784  45752 116244  98038  58381 116176   1062 101443  71506
  58107  24630  49886  38599  86251 109151  90039  14973  48131  62816
  78587 122913 103792  47954 101686  15486  82475 113020  53671 104824
  28897  90924  55984 108113   2190  63591 129695  75056  43688  60267
 130074 109726  28381  91681  93607    432 114880 127544  93507  37877
  89680  58208  36944  74960  81022 128549  43012  95798  38632 124063]","[np.int64(29140), np.int64(66772), np.int64(68310), np.int64(33350), np.int64(109491), np.int64(66108), np.int64(24630), np.int64(48131), np.int64(82475), np.int64(113020), np.int64(28897), np.int64(108113), np.int64(28381), np.int64(93607), np.int64(114880), np.int64(38632), np.int64(48229), np.int64(76067), np.int64(40581), np.int64(80375), np.int64(83675), np.int64(104322), np.int64(46824), np.int64(114366), np.int64(105524), np.int64(59195), np.int64(91349), np.int64(39264), np.int64(126651), np.int64(52171), np.int64(42541), np.int64(122328), np.int64(62689), np.int64(124672), np.int64(99157), np.int64(52729), np.int64(85683), np.int64(132319), np.int64(7629), np.int64(36702), np.int64(76949), np.int64(96404), np.int64(23297), np.int64(122015), np.int64(92628), np.int64(85184), np.int64(11971), np.int64(35303), np.int64(43683), np.int64(48957), np.int64(77323), np.int64(78784), np.int64(45752), np.int64(116244), np.int64(98038), np.int64(58381), np.int64(116176), np.int64(1062), np.int64(101443), np.int64(71506), np.int64(58107), np.int64(49886), np.int64(38599), np.int64(86251), np.int64(109151), np.int64(90039), np.int64(14973), np.int64(62816), np.int64(78587), np.int64(122913), np.int64(103792), np.int64(47954), np.int64(101686), np.int64(15486), np.int64(53671), np.int64(104824), np.int64(90924), np.int64(55984), np.int64(2190), np.int64(63591), np.int64(129695), np.int64(75056), np.int64(43688), np.int64(60267), np.int64(130074), np.int64(109726), np.int64(91681), np.int64(432), np.int64(127544), np.int64(93507), np.int64(37877), np.int64(89680), np.int64(58208), np.int64(36944), np.int64(74960), np.int64(81022), np.int64(128549), np.int64(43012), np.int64(95798), np.int64(124063)]",gemma2:9b,100,,
bigraph,"[ 78784  42541  90924  74960 105524  58107 108113  52171  99157  75056
  93507  83675 132319 127544 114366 130074  92628 128549  46824 109151
  68310  76067  35303  37877  43688  45752  39264  93607  48957  96404
  62689 104322 114880  66108  58381 126651 122015  38599 116244  90039
   2190  14973  43012  86251  48229  91349  36702  71506 124672  60267
  76949  91681 109491  85184  55984  52729  81022   1062  82475 113020
  33350  43683 122328  15486 109726 129695  80375  48131  63591  59195
  58208  85683 124063    432  95798  36944  98038  28381   7629  53671
 122913 101686  62816  11971  23297  77323  29140 103792  78587 101443
  47954 116176  28897 104824  89680  38632  24630  49886  66772  40581]","[np.int64(68310), np.int64(66108), np.int64(71506), np.int64(28381), np.int64(29140), np.int64(28897), np.int64(24630), np.int64(66772), np.int64(113020), np.int64(432), np.int64(132319), np.int64(130074), np.int64(38632), np.int64(95798), np.int64(98038), np.int64(75056), np.int64(43683), np.int64(116176), np.int64(96404), np.int64(78784), np.int64(42541), np.int64(58208), np.int64(89680), np.int64(62689), np.int64(109491), np.int64(91349), np.int64(47954), np.int64(36944), np.int64(48957), np.int64(11971), np.int64(104824), np.int64(43688), np.int64(83675), np.int64(127544), np.int64(48131), np.int64(46824), np.int64(53671), np.int64(86251), np.int64(76067), np.int64(80375), np.int64(58381), np.int64(39264), np.int64(15486), np.int64(35303), np.int64(33350), np.int64(99157), np.int64(109726), np.int64(48229), np.int64(62816), np.int64(90924), np.int64(74960), np.int64(105524), np.int64(58107), np.int64(108113), np.int64(52171), np.int64(93507), np.int64(114366), np.int64(92628), np.int64(128549), np.int64(109151), np.int64(37877), np.int64(45752), np.int64(93607), np.int64(104322), np.int64(114880), np.int64(126651), np.int64(122015), np.int64(38599), np.int64(116244), np.int64(90039), np.int64(2190), np.int64(14973), np.int64(43012), np.int64(36702), np.int64(124672), np.int64(60267), np.int64(76949), np.int64(91681), np.int64(85184), np.int64(55984), np.int64(52729), np.int64(81022), np.int64(1062), np.int64(82475), np.int64(122328), np.int64(129695), np.int64(63591), np.int64(59195), np.int64(85683), np.int64(124063), np.int64(7629), np.int64(122913), np.int64(101686), np.int64(23297), np.int64(77323), np.int64(103792), np.int64(78587), np.int64(101443), np.int64(49886), np.int64(40581)]",gemma2:9b,100,,
random,"[ 31056  40079 130694 100436  87640  63815 110642  57825  57599  52464
  53395  97018  33020 109730   7077  37735   8623  23023 130479  80583
  64701 114055  85105  93888  14081  73936  96246  44238  34753  44088
 112247  60885 115301  35728  39216  96654  51252  83695  21148  95263
  89914  52261  92106  72552  39527  11574 100314  22761  75898  72893
  59620  39261  75629  77267  96939  63278  14010  59635  43692  37760
  66433  89800  23018  67653  57373  13450 111254 106172 107882 112933
 119265  19703 107842 126999  55015   4947  78742   8860  71845   1375
  30065  90516  66121  50294 119423  25589  97554  16172  49167  24357
  89144  13837  40373   3166 104734 117449  99793  23362 107316  47912]","[ 31056  40079 130694 100436  87640  63815 110642  57825  57599  52464
  53395  97018  33020 109730   7077  37735   8623  23023 130479  80583
  64701 114055  85105  93888  14081  73936  96246  44238  34753  44088
 112247  60885 115301  35728  39216  96654  51252  83695  21148  95263
  89914  52261  92106  72552  39527  11574 100314  22761  75898  72893
  59620  39261  75629  77267  96939  63278  14010  59635  43692  37760
  66433  89800  23018  67653  57373  13450 111254 106172 107882 112933
 119265  19703 107842 126999  55015   4947  78742   8860  71845   1375
  30065  90516  66121  50294 119423  25589  97554  16172  49167  24357
  89144  13837  40373   3166 104734 117449  99793  23362 107316  47912]",,100,,
opt,"[ 75898 130694  25589  64701  66433  37760  30065 114055  92106  22761
   3166  80583  35728  72893 115301  59620   4947 100436  66121  39216
 107882  16172  14010  85105  14081 107316  55015  23362  63815  43692
 117449  13837  90516  40373  31056   7077  52464  75629  67653  49167
  39527  53395  44238  23023  57373  24357 126999  60885  77267  51252
  39261  47912  57825  11574  52261  40079 112247  87640  93888  59635
  23018  97554  37735 111254  89800 112933  57599  99793  19703 100314
  34753 119265  63278  97018 130479  89144  96246  21148 110642  50294
 119423  13450 109730 104734 106172  33020  78742 107842   1375   8623
   8860  72552  44088  83695  71845  95263  96939  73936  96654  89914]","[np.int64(25589), np.int64(64701), np.int64(66433), np.int64(30065), np.int64(72893), np.int64(66121), np.int64(63815), np.int64(31056), np.int64(67653), np.int64(24357), np.int64(33020), np.int64(72552), np.int64(71845), np.int64(73936), np.int64(75898), np.int64(130694), np.int64(37760), np.int64(114055), np.int64(92106), np.int64(22761), np.int64(3166), np.int64(80583), np.int64(35728), np.int64(115301), np.int64(59620), np.int64(4947), np.int64(100436), np.int64(39216), np.int64(107882), np.int64(16172), np.int64(14010), np.int64(85105), np.int64(14081), np.int64(107316), np.int64(55015), np.int64(23362), np.int64(43692), np.int64(117449), np.int64(13837), np.int64(90516), np.int64(40373), np.int64(7077), np.int64(52464), np.int64(75629), np.int64(49167), np.int64(39527), np.int64(53395), np.int64(44238), np.int64(23023), np.int64(57373), np.int64(126999), np.int64(60885), np.int64(77267), np.int64(51252), np.int64(39261), np.int64(47912), np.int64(57825), np.int64(11574), np.int64(52261), np.int64(40079), np.int64(112247), np.int64(87640), np.int64(93888), np.int64(59635), np.int64(23018), np.int64(97554), np.int64(37735), np.int64(111254), np.int64(89800), np.int64(112933), np.int64(57599), np.int64(99793), np.int64(19703), np.int64(100314), np.int64(34753), np.int64(119265), np.int64(63278), np.int64(97018), np.int64(130479), np.int64(89144), np.int64(96246), np.int64(21148), np.int64(110642), np.int64(50294), np.int64(119423), np.int64(13450), np.int64(109730), np.int64(104734), np.int64(106172), np.int64(78742), np.int64(107842), np.int64(1375), np.int64(8623), np.int64(8860), np.int64(44088), np.int64(83695), np.int64(95263), np.int64(96939), np.int64(96654), np.int64(89914)]",,100,,
warmup,"[ 96654  30065 100314  52261  93888  33020  40373  43692  71845  66121
  37735 107882  19703 117449  96939  23023  23362  13450  14081  39216
  35728  77267 115301 107316  63815  34753  59635  60885  37760  89800
  87640   7077 119423  96246  13837  67653  31056  21148  51252   8860
  14010  89914  40079   3166  44238 100436  25589 109730  72552  75629
  49167 106172 126999  97554   4947  23018  22761  57825  89144  39261
  92106  52464  53395  73936  85105  95263  97018  47912 104734 130694
 114055  75898 112247  64701  99793  78742  72893  63278  11574  83695
  80583  90516  16172  59620  57373  24357 112933 130479  39527 107842
 111254  50294   1375  44088  55015  57599 119265 110642  66433   8623]","[np.int64(30065), np.int64(43692), np.int64(66121), np.int64(107316), np.int64(63815), np.int64(87640), np.int64(67653), np.int64(25589), np.int64(72552), np.int64(75629), np.int64(73936), np.int64(95263), np.int64(47912), np.int64(75898), np.int64(64701), np.int64(11574), np.int64(24357), np.int64(111254), np.int64(1375), np.int64(55015), np.int64(66433), np.int64(96654), np.int64(100314), np.int64(52261), np.int64(93888), np.int64(33020), np.int64(40373), np.int64(71845), np.int64(37735), np.int64(107882), np.int64(19703), np.int64(117449), np.int64(96939), np.int64(23023), np.int64(23362), np.int64(13450), np.int64(14081), np.int64(39216), np.int64(35728), np.int64(77267), np.int64(115301), np.int64(34753), np.int64(59635), np.int64(60885), np.int64(37760), np.int64(89800), np.int64(7077), np.int64(119423), np.int64(96246), np.int64(13837), np.int64(31056), np.int64(21148), np.int64(51252), np.int64(8860), np.int64(14010), np.int64(89914), np.int64(40079), np.int64(3166), np.int64(44238), np.int64(100436), np.int64(109730), np.int64(49167), np.int64(106172), np.int64(126999), np.int64(97554), np.int64(4947), np.int64(23018), np.int64(22761), np.int64(57825), np.int64(89144), np.int64(39261), np.int64(92106), np.int64(52464), np.int64(53395), np.int64(85105), np.int64(97018), np.int64(104734), np.int64(130694), np.int64(114055), np.int64(112247), np.int64(99793), np.int64(78742), np.int64(72893), np.int64(63278), np.int64(83695), np.int64(80583), np.int64(90516), np.int64(16172), np.int64(59620), np.int64(57373), np.int64(112933), np.int64(130479), np.int64(39527), np.int64(107842), np.int64(50294), np.int64(44088), np.int64(57599), np.int64(119265), np.int64(110642), np.int64(8623)]",gemma2:9b,100,,
bigraph,"[ 63278  55015  21148  51252  96246 107842  83695  60885  66121  59620
  19703   7077  71845   8623  95263  77267  57373  99793  57599 115301
  97018  59635  35728 100436 112933  23362  25589 107316  89144  30065
  13837  40373  66433  64701  40079 114055 104734  97554  37760  75629
 119423   3166  43692  37735 111254  47912  80583  13450  96654  63815
  85105  53395  89800   1375  16172  67653  93888 119265  33020  90516
  39527  72893  52261  72552  22761  24357  50294  52464 112247  73936
 107882  39261  23023  57825  31056 130694  92106  14081  44088 100314
 110642   4947  75898 106172  11574  39216  34753  44238  78742  87640
  23018 126999 109730  49167  89914  96939  14010   8860 130479 117449]","[np.int64(21148), np.int64(96246), np.int64(66121), np.int64(95263), np.int64(25589), np.int64(30065), np.int64(66433), np.int64(64701), np.int64(63815), np.int64(67653), np.int64(24357), np.int64(73936), np.int64(31056), np.int64(100436), np.int64(44088), np.int64(72893), np.int64(35728), np.int64(72552), np.int64(44238), np.int64(87640), np.int64(111254), np.int64(106172), np.int64(11574), np.int64(71845), np.int64(80583), np.int64(1375), np.int64(52261), np.int64(4947), np.int64(107882), np.int64(47912), np.int64(130694), np.int64(96654), np.int64(112933), np.int64(63278), np.int64(100314), np.int64(96939), np.int64(7077), np.int64(126999), np.int64(107842), np.int64(60885), np.int64(99793), np.int64(22761), np.int64(3166), np.int64(117449), np.int64(55015), np.int64(51252), np.int64(83695), np.int64(59620), np.int64(19703), np.int64(8623), np.int64(77267), np.int64(57373), np.int64(57599), np.int64(115301), np.int64(97018), np.int64(59635), np.int64(23362), np.int64(107316), np.int64(89144), np.int64(13837), np.int64(40373), np.int64(40079), np.int64(114055), np.int64(104734), np.int64(97554), np.int64(37760), np.int64(75629), np.int64(119423), np.int64(43692), np.int64(37735), np.int64(13450), np.int64(85105), np.int64(53395), np.int64(89800), np.int64(16172), np.int64(93888), np.int64(119265), np.int64(33020), np.int64(90516), np.int64(39527), np.int64(50294), np.int64(52464), np.int64(112247), np.int64(39261), np.int64(23023), np.int64(57825), np.int64(92106), np.int64(14081), np.int64(110642), np.int64(75898), np.int64(39216), np.int64(34753), np.int64(78742), np.int64(23018), np.int64(109730), np.int64(49167), np.int64(89914), np.int64(14010), np.int64(8860), np.int64(130479)]",gemma2:9b,100,,
random,"[  7689  18069   1517  81495 120367  57962  41818  40679  93544  18276
 100784  45491  47985    165 123263 116718  74168  12013  46309  90168
  60244  59422  85364 100630   8382  69479  29031   8043 117625 123124
  14670  12714  46464   2813  58647 116885  61183   2326  49363  19303
  47965  73987  15379  18424 112999  70925 129904   1738 113198  95658
  64647 127433  44376  76697  10583  33289  84770  65660  14943  22253
  66904  87348  22540  88555  46148  61549  43625 127535  80276   5002
   7135  46454 106275  40983  33047  63585   5427 108596  83187  24024
   2861  97650  51241  55981  33405  34019  19506 113617 108092  38540
 116668  20068  34179  88983  82427  41225  28499  48661  81710  30232]","[  7689  18069   1517  81495 120367  57962  41818  40679  93544  18276
 100784  45491  47985    165 123263 116718  74168  12013  46309  90168
  60244  59422  85364 100630   8382  69479  29031   8043 117625 123124
  14670  12714  46464   2813  58647 116885  61183   2326  49363  19303
  47965  73987  15379  18424 112999  70925 129904   1738 113198  95658
  64647 127433  44376  76697  10583  33289  84770  65660  14943  22253
  66904  87348  22540  88555  46148  61549  43625 127535  80276   5002
   7135  46454 106275  40983  33047  63585   5427 108596  83187  24024
   2861  97650  51241  55981  33405  34019  19506 113617 108092  38540
 116668  20068  34179  88983  82427  41225  28499  48661  81710  30232]",,100,,
opt,"[ 61183  46148  12714 100784   5427   5002   2861  22253  81495  74168
  59422  63585  88983   8043  33047  90168 127433  65660 113198  87348
  18424   2326  88555  28499  12013  40983  76697  61549  46464  49363
  55981  82427  48661  73987  22540 129904   2813   1738 116885 123263
  45491  97650 116668  15379 108596  38540 113617  41818  93544  18069
  46309  80276  51241   8382 100630  40679  57962  19506  70925  41225
 108092  20068  47985 120367 123124    165 116718   1517  47965  83187
  24024  14670  14943  34179  29031  10583  81710  33405  30232 127535
  64647 117625  44376  84770  18276  85364 112999  33289  46454  69479
 106275   7689  34019  66904  58647  95658  43625  60244  19303   7135]","[np.int64(74168), np.int64(33047), np.int64(65660), np.int64(28499), np.int64(73987), np.int64(70925), np.int64(24024), np.int64(34179), np.int64(29031), np.int64(33405), np.int64(30232), np.int64(64647), np.int64(33289), np.int64(69479), np.int64(34019), np.int64(66904), np.int64(61183), np.int64(46148), np.int64(12714), np.int64(100784), np.int64(5427), np.int64(5002), np.int64(2861), np.int64(22253), np.int64(81495), np.int64(59422), np.int64(63585), np.int64(88983), np.int64(8043), np.int64(90168), np.int64(127433), np.int64(113198), np.int64(87348), np.int64(18424), np.int64(2326), np.int64(88555), np.int64(12013), np.int64(40983), np.int64(76697), np.int64(61549), np.int64(46464), np.int64(49363), np.int64(55981), np.int64(82427), np.int64(48661), np.int64(22540), np.int64(129904), np.int64(2813), np.int64(1738), np.int64(116885), np.int64(123263), np.int64(45491), np.int64(97650), np.int64(116668), np.int64(15379), np.int64(108596), np.int64(38540), np.int64(113617), np.int64(41818), np.int64(93544), np.int64(18069), np.int64(46309), np.int64(80276), np.int64(51241), np.int64(8382), np.int64(100630), np.int64(40679), np.int64(57962), np.int64(19506), np.int64(41225), np.int64(108092), np.int64(20068), np.int64(47985), np.int64(120367), np.int64(123124), np.int64(165), np.int64(116718), np.int64(1517), np.int64(47965), np.int64(83187), np.int64(14670), np.int64(14943), np.int64(10583), np.int64(81710), np.int64(127535), np.int64(117625), np.int64(44376), np.int64(84770), np.int64(18276), np.int64(85364), np.int64(112999), np.int64(46454), np.int64(106275), np.int64(7689), np.int64(58647), np.int64(95658), np.int64(43625), np.int64(60244), np.int64(19303), np.int64(7135)]",,100,,
