algorithm,original,reordered,model,size,column,value
random,"[103441  10041  33390  84633  95269  90856 132129 102170 119658  47165
  96456  14101 106345  31138  34055  96527 106448 130715  22583  12585
 126603  28557  82176  90036 130699 119603  15850  79313  17777  56221
  61660  31529  46937  18164  88632  59681  42796  43608  11249  76788
   6005  17046   9580  16775  35507 116204  70747  44616  98890  35754
  84087  36744  58539 108955 115122  98792   4139   1072  93232  97090
  70911  78330 130907  61994  52458  28512  91708  28264  29968 124100
 114547 106775  34050  64755  36931  70768 122348  94548  25227  21037
 107530 110410  40615  93338 118195 105713 124060  63783  89974  31196
 100759 130455  84137  86349  83133  16008  67180 118540  80321  29751]","[103441  10041  33390  84633  95269  90856 132129 102170 119658  47165
  96456  14101 106345  31138  34055  96527 106448 130715  22583  12585
 126603  28557  82176  90036 130699 119603  15850  79313  17777  56221
  61660  31529  46937  18164  88632  59681  42796  43608  11249  76788
   6005  17046   9580  16775  35507 116204  70747  44616  98890  35754
  84087  36744  58539 108955 115122  98792   4139   1072  93232  97090
  70911  78330 130907  61994  52458  28512  91708  28264  29968 124100
 114547 106775  34050  64755  36931  70768 122348  94548  25227  21037
 107530 110410  40615  93338 118195 105713 124060  63783  89974  31196
 100759 130455  84137  86349  83133  16008  67180 118540  80321  29751]",,100,,
opt,"[ 90036  88632  11249 118195  90856  31196   6005 106775  70768  93338
  15850 132129 126603  59681  47165  76788  31138  42796 118540   4139
  84137  36744  28512  22583 110410  98890  64755  16775 108955 116204
  16008  63783  94548  46937 122348  78330  97090 124100  98792  34055
  29751   1072 100759  10041  12585  91708   9580  40615  17046 130455
  83133  35754  17777  67180 106345  84087  29968  61660  93232  96456
 102170  56221  96527  28557  86349 115122  70747  34050  18164 103441
  52458 114547 106448  28264 119603  84633  21037 130715  58539  31529
 130907 105713  89974  70911  14101  43608  82176  79313  33390  61994
  80321 130699 107530  36931  95269 119658 124060  35507  44616  25227]","[np.int64(31196), np.int64(31138), np.int64(28512), np.int64(64755), np.int64(63783), np.int64(34055), np.int64(29751), np.int64(67180), np.int64(29968), np.int64(28557), np.int64(34050), np.int64(28264), np.int64(31529), np.int64(70911), np.int64(33390), np.int64(25227), np.int64(90036), np.int64(88632), np.int64(11249), np.int64(118195), np.int64(90856), np.int64(6005), np.int64(106775), np.int64(70768), np.int64(93338), np.int64(15850), np.int64(132129), np.int64(126603), np.int64(59681), np.int64(47165), np.int64(76788), np.int64(42796), np.int64(118540), np.int64(4139), np.int64(84137), np.int64(36744), np.int64(22583), np.int64(110410), np.int64(98890), np.int64(16775), np.int64(108955), np.int64(116204), np.int64(16008), np.int64(94548), np.int64(46937), np.int64(122348), np.int64(78330), np.int64(97090), np.int64(124100), np.int64(98792), np.int64(1072), np.int64(100759), np.int64(10041), np.int64(12585), np.int64(91708), np.int64(9580), np.int64(40615), np.int64(17046), np.int64(130455), np.int64(83133), np.int64(35754), np.int64(17777), np.int64(106345), np.int64(84087), np.int64(61660), np.int64(93232), np.int64(96456), np.int64(102170), np.int64(56221), np.int64(96527), np.int64(86349), np.int64(115122), np.int64(70747), np.int64(18164), np.int64(103441), np.int64(52458), np.int64(114547), np.int64(106448), np.int64(119603), np.int64(84633), np.int64(21037), np.int64(130715), np.int64(58539), np.int64(130907), np.int64(105713), np.int64(89974), np.int64(14101), np.int64(43608), np.int64(82176), np.int64(79313), np.int64(61994), np.int64(80321), np.int64(130699), np.int64(107530), np.int64(36931), np.int64(95269), np.int64(119658), np.int64(124060), np.int64(35507), np.int64(44616)]",,100,,
warmup,"[119658 107530 130699  98890  88632  90856  58539 106345  67180  28512
  11249  35754  21037  78330  35507  47165  83133  98792  40615  82176
  33390 130455  84137  76788 100759 130907 119603 130715  31196 110410
  44616  84087  63783   6005  16008  93232  34050  25227 108955  29968
  80321  93338  70911  94548  28557   4139  61994  43608  46937  12585
 118540  96527  28264 102170  90036  10041 124100  70768 106448 115122
  64755  17777  70747  97090  84633  36931 114547 106775  61660   1072
  56221  42796 105713  14101 118195  29751  34055  86349  15850  79313
  31138  91708 126603 124060  18164   9580  17046 116204  31529  16775
  52458  89974 132129 122348  22583  59681  96456  36744 103441  95269]","[np.int64(119658), np.int64(107530), np.int64(90856), np.int64(58539), np.int64(67180), np.int64(28512), np.int64(21037), np.int64(47165), np.int64(40615), np.int64(33390), np.int64(76788), np.int64(100759), np.int64(130715), np.int64(63783), np.int64(25227), np.int64(29968), np.int64(80321), np.int64(70911), np.int64(28557), np.int64(4139), np.int64(46937), np.int64(28264), np.int64(102170), np.int64(64755), np.int64(84633), np.int64(114547), np.int64(14101), np.int64(29751), np.int64(34055), np.int64(79313), np.int64(91708), np.int64(31138), np.int64(9580), np.int64(116204), np.int64(31529), np.int64(16775), np.int64(96456), np.int64(103441), np.int64(130699), np.int64(98890), np.int64(88632), np.int64(106345), np.int64(11249), np.int64(35754), np.int64(78330), np.int64(35507), np.int64(83133), np.int64(98792), np.int64(82176), np.int64(130455), np.int64(84137), np.int64(130907), np.int64(119603), np.int64(31196), np.int64(110410), np.int64(44616), np.int64(84087), np.int64(6005), np.int64(16008), np.int64(93232), np.int64(34050), np.int64(108955), np.int64(93338), np.int64(94548), np.int64(61994), np.int64(43608), np.int64(12585), np.int64(118540), np.int64(96527), np.int64(90036), np.int64(10041), np.int64(124100), np.int64(70768), np.int64(106448), np.int64(115122), np.int64(17777), np.int64(70747), np.int64(97090), np.int64(36931), np.int64(106775), np.int64(61660), np.int64(1072), np.int64(56221), np.int64(42796), np.int64(105713), np.int64(118195), np.int64(86349), np.int64(15850), np.int64(126603), np.int64(124060), np.int64(18164), np.int64(17046), np.int64(52458), np.int64(89974), np.int64(132129), np.int64(122348), np.int64(22583), np.int64(59681), np.int64(36744), np.int64(95269)]",llama3.1:8b,100,,
bigraph,"[130715  90856 106345 110410  80321  21037  52458  84633  96456  34050
  70747 130699  35754  31138  18164  95269  70911 119603 103441  97090
  82176  34055  36744 115122  17777  89974  79313  61994   4139  63783
 106448  40615  86349  98890  90036  91708 118195  98792 130907  11249
  64755  93232 130455  47165  22583  76788  36931 102170 118540  16008
  35507   9580  15850  70768  31529 124100  96527  29751  67180 105713
  25227  42796  16775  31196 116204  83133  84087  84137  44616   6005
  28512  59681  28264  56221  10041   1072  43608  46937  58539 132129
  12585 126603 119658  78330  61660  29968  94548  17046  28557 114547
  14101 124060 108955 122348 106775  33390 100759 107530  93338  88632]","[np.int64(25227), np.int64(29968), np.int64(93338), np.int64(34050), np.int64(103441), np.int64(107530), np.int64(84087), np.int64(28557), np.int64(95269), np.int64(118195), np.int64(28264), np.int64(119658), np.int64(36744), np.int64(70768), np.int64(97090), np.int64(96456), np.int64(18164), np.int64(63783), np.int64(35507), np.int64(35754), np.int64(16775), np.int64(79313), np.int64(67180), np.int64(12585), np.int64(9580), np.int64(29751), np.int64(70911), np.int64(116204), np.int64(119603), np.int64(82176), np.int64(21037), np.int64(96527), np.int64(16008), np.int64(34055), np.int64(100759), np.int64(94548), np.int64(40615), np.int64(1072), np.int64(130699), np.int64(14101), np.int64(31138), np.int64(106345), np.int64(43608), np.int64(15850), np.int64(106448), np.int64(84137), np.int64(83133), np.int64(78330), np.int64(11249), np.int64(126603), np.int64(80321), np.int64(22583), np.int64(46937), np.int64(76788), np.int64(61660), np.int64(98792), np.int64(58539), np.int64(124060), np.int64(31529), np.int64(31196), np.int64(106775), np.int64(108955), np.int64(93232), np.int64(115122), np.int64(17046), np.int64(91708), np.int64(33390), np.int64(122348), np.int64(70747), np.int64(64755), np.int64(52458), np.int64(61994), np.int64(90856), np.int64(124100), np.int64(4139), np.int64(86349), np.int64(44616), np.int64(42796), np.int64(132129), np.int64(6005), np.int64(98890), np.int64(36931), np.int64(105713), np.int64(130455), np.int64(90036), np.int64(56221), np.int64(130715), np.int64(88632), np.int64(10041), np.int64(28512), np.int64(118540), np.int64(114547), np.int64(47165), np.int64(110410), np.int64(84633), np.int64(17777), np.int64(89974), np.int64(130907), np.int64(102170), np.int64(59681)]",llama3.1:8b,100,,
random,"[103056   3074   6120  44267  64090  39614  29085  12411  99530 117768
 128739 115776  94032  90718  79963  23593  98100 121762  81459  34761
  94175  59892  34834  86384 119754  97868  98060  95032 117078  39291
  62010  32463  42805  97146 120055  50917   6582  74172  89233  94967
  52028  64758  21046  47607  66943  80568 108649  65629  71877  19308
  50673 104505  38744 114434 116564 115659 132127  49436 114722 131643
 104277 130624  52710  85160 106871  28387  17225  49903  92053   8263
  20237  63197 132431  54537  96868  38823 125581  66553  81273  19403
  85244 107046  33510  58920  76751  75529  82600  91757  24828  96966
  95464  96217  58885    962  14558    614 106396  90980  96713  27235]","[103056   3074   6120  44267  64090  39614  29085  12411  99530 117768
 128739 115776  94032  90718  79963  23593  98100 121762  81459  34761
  94175  59892  34834  86384 119754  97868  98060  95032 117078  39291
  62010  32463  42805  97146 120055  50917   6582  74172  89233  94967
  52028  64758  21046  47607  66943  80568 108649  65629  71877  19308
  50673 104505  38744 114434 116564 115659 132127  49436 114722 131643
 104277 130624  52710  85160 106871  28387  17225  49903  92053   8263
  20237  63197 132431  54537  96868  38823 125581  66553  81273  19403
  85244 107046  33510  58920  76751  75529  82600  91757  24828  96966
  95464  96217  58885    962  14558    614 106396  90980  96713  27235]",,100,,
opt,"[128739   8263  98060  94032  42805  80568  81459  85244  94175 130624
  38744   6582  91757  96966  97146  49436  47607  64090  14558  95464
  75529 115776  95032    614 106871 132431  34761  63197  24828  96217
  92053  38823  19403  17225   6120   3074  12411  21046  85160 107046
 103056 132127  66553  94967  79963  34834  23593  49903  33510 119754
  27235  89233  99530  71877 115659  76751  29085  58920 121762  97868
 114722  20237  19308 125581  28387  44267  64758  50917 116564  96713
  66943 114434  32463  96868 108649  39291 104277 131643  59892  74172
    962  90980  58885  90718  81273 104505  50673  52710  98100  65629
  62010  86384 120055 106396  54537 117768  52028  39614 117078  82600]","[np.int64(64090), np.int64(24828), np.int64(66553), np.int64(33510), np.int64(27235), np.int64(71877), np.int64(29085), np.int64(28387), np.int64(64758), np.int64(66943), np.int64(32463), np.int64(74172), np.int64(65629), np.int64(128739), np.int64(8263), np.int64(98060), np.int64(94032), np.int64(42805), np.int64(80568), np.int64(81459), np.int64(85244), np.int64(94175), np.int64(130624), np.int64(38744), np.int64(6582), np.int64(91757), np.int64(96966), np.int64(97146), np.int64(49436), np.int64(47607), np.int64(14558), np.int64(95464), np.int64(75529), np.int64(115776), np.int64(95032), np.int64(614), np.int64(106871), np.int64(132431), np.int64(34761), np.int64(63197), np.int64(96217), np.int64(92053), np.int64(38823), np.int64(19403), np.int64(17225), np.int64(6120), np.int64(3074), np.int64(12411), np.int64(21046), np.int64(85160), np.int64(107046), np.int64(103056), np.int64(132127), np.int64(94967), np.int64(79963), np.int64(34834), np.int64(23593), np.int64(49903), np.int64(119754), np.int64(89233), np.int64(99530), np.int64(115659), np.int64(76751), np.int64(58920), np.int64(121762), np.int64(97868), np.int64(114722), np.int64(20237), np.int64(19308), np.int64(125581), np.int64(44267), np.int64(50917), np.int64(116564), np.int64(96713), np.int64(114434), np.int64(96868), np.int64(108649), np.int64(39291), np.int64(104277), np.int64(131643), np.int64(59892), np.int64(962), np.int64(90980), np.int64(58885), np.int64(90718), np.int64(81273), np.int64(104505), np.int64(50673), np.int64(52710), np.int64(98100), np.int64(62010), np.int64(86384), np.int64(120055), np.int64(106396), np.int64(54537), np.int64(117768), np.int64(52028), np.int64(39614), np.int64(117078), np.int64(82600)]",,100,,
warmup,"[ 38744  98060 103056  33510  86384  24828  66553  94175  49436 104277
  96966   6120 117078  39614  99530  80568  76751  27235   3074 115659
  52710  19308  20237 131643  66943  63197  38823  58920  34834 115776
  52028 114722  29085  94967 104505 120055  81273   6582  75529  62010
  19403   8263  50917  58885 132431  91757  17225  65629  64758  74172
 128739  32463  96868  97146  71877  79963  89233 106396 108649 114434
 107046  96217  95032 125581    962  85244  34761 116564  92053  98100
  59892  44267  96713  97868 132127  23593  21046 119754  12411 130624
  82600  50673 106871  49903  39291 117768  64090  14558 121762  42805
  90980  28387  90718  81459    614  95464  85160  54537  94032  47607]","[np.int64(98060), np.int64(103056), np.int64(24828), np.int64(66553), np.int64(104277), np.int64(96966), np.int64(117078), np.int64(80568), np.int64(76751), np.int64(27235), np.int64(52710), np.int64(131643), np.int64(66943), np.int64(29085), np.int64(75529), np.int64(8263), np.int64(50917), np.int64(17225), np.int64(65629), np.int64(64758), np.int64(74172), np.int64(96868), np.int64(97146), np.int64(108649), np.int64(107046), np.int64(96217), np.int64(95032), np.int64(962), np.int64(34761), np.int64(82600), np.int64(50673), np.int64(64090), np.int64(14558), np.int64(90980), np.int64(28387), np.int64(85160), np.int64(47607), np.int64(38744), np.int64(33510), np.int64(86384), np.int64(94175), np.int64(49436), np.int64(6120), np.int64(39614), np.int64(99530), np.int64(3074), np.int64(115659), np.int64(19308), np.int64(20237), np.int64(63197), np.int64(38823), np.int64(58920), np.int64(34834), np.int64(115776), np.int64(52028), np.int64(114722), np.int64(94967), np.int64(104505), np.int64(120055), np.int64(81273), np.int64(6582), np.int64(62010), np.int64(19403), np.int64(58885), np.int64(132431), np.int64(91757), np.int64(128739), np.int64(32463), np.int64(71877), np.int64(79963), np.int64(89233), np.int64(106396), np.int64(114434), np.int64(125581), np.int64(85244), np.int64(116564), np.int64(92053), np.int64(98100), np.int64(59892), np.int64(44267), np.int64(96713), np.int64(97868), np.int64(132127), np.int64(23593), np.int64(21046), np.int64(119754), np.int64(12411), np.int64(130624), np.int64(106871), np.int64(49903), np.int64(39291), np.int64(117768), np.int64(121762), np.int64(42805), np.int64(90718), np.int64(81459), np.int64(614), np.int64(95464), np.int64(54537), np.int64(94032)]",llama3.1:8b,100,,
bigraph,"[106871 128739  98060  38744  97146  96713  54537 115659  50917  21046
   8263  81273   6120 120055 104505  49903 106396  89233 115776  34834
  23593  95032  19403 104277  75529  76751  96868  62010  52028 130624
   3074    962  50673 108649  92053  33510 116564  81459   6582  58920
 119754  63197  24828 132127  34761  59892  86384  85244    614  94175
 117078  94032 114434  39614  38823  95464  14558  27235 125581  49436
  66943  47607  96966  99530  42805  32463  94967  98100  29085  71877
  90980  79963  58885  64758  64090  80568  96217  66553  20237 132431
  17225  65629 131643  52710  90718 117768 103056  85160  97868 114722
  39291  19308  12411 121762  44267  28387  82600  74172 107046  91757]","[np.int64(64090), np.int64(71877), np.int64(92053), np.int64(76751), np.int64(66553), np.int64(12411), np.int64(108649), np.int64(106396), np.int64(32463), np.int64(8263), np.int64(58885), np.int64(128739), np.int64(81459), np.int64(116564), np.int64(47607), np.int64(3074), np.int64(95464), np.int64(44267), np.int64(33510), np.int64(94032), np.int64(38744), np.int64(104505), np.int64(27235), np.int64(75529), np.int64(58920), np.int64(66943), np.int64(34761), np.int64(79963), np.int64(120055), np.int64(65629), np.int64(96868), np.int64(90980), np.int64(115776), np.int64(132127), np.int64(17225), np.int64(99530), np.int64(96217), np.int64(132431), np.int64(98060), np.int64(49436), np.int64(49903), np.int64(114722), np.int64(50673), np.int64(52028), np.int64(23593), np.int64(89233), np.int64(91757), np.int64(115659), np.int64(52710), np.int64(117768), np.int64(117078), np.int64(114434), np.int64(19308), np.int64(94967), np.int64(39291), np.int64(96713), np.int64(28387), np.int64(74172), np.int64(24828), np.int64(42805), np.int64(38823), np.int64(95032), np.int64(131643), np.int64(50917), np.int64(96966), np.int64(20237), np.int64(29085), np.int64(54537), np.int64(97146), np.int64(64758), np.int64(119754), np.int64(85160), np.int64(6120), np.int64(90718), np.int64(103056), np.int64(107046), np.int64(81273), np.int64(62010), np.int64(94175), np.int64(63197), np.int64(98100), np.int64(962), np.int64(39614), np.int64(21046), np.int64(19403), np.int64(86384), np.int64(106871), np.int64(34834), np.int64(82600), np.int64(104277), np.int64(14558), np.int64(121762), np.int64(6582), np.int64(97868), np.int64(59892), np.int64(85244), np.int64(130624), np.int64(614), np.int64(125581), np.int64(80568)]",llama3.1:8b,100,,
random,"[114638  71984 127473  67693  50772  60994  41590   2499  28292  68377
 109940   8541  94141 114332  40073   8728  69680  48914  14834  88865
  38862 106398  25832  45709  88553  67970 121133  20133  83115 114797
  48809  15955  40690 130603 104008  35744 129252  70295  44448 115805
  54608 117710  94602    388 110494 101010  34568   8678 123184   4667
   5780 109985  46988 104517  25287  63386  12505  48515  18056 102825
  94248  46038  72265 103955 118156  87192  98392  84311  82263   3377
  90238 125525 127105 120587  88122  61302  80339  15470  95111  55312
 105154  79720   2945  59942  55141 103639  18733 106957  81245 104189
  59471 108110 112082  53982  67743   4136 110670  66091  46125  12823]","[114638  71984 127473  67693  50772  60994  41590   2499  28292  68377
 109940   8541  94141 114332  40073   8728  69680  48914  14834  88865
  38862 106398  25832  45709  88553  67970 121133  20133  83115 114797
  48809  15955  40690 130603 104008  35744 129252  70295  44448 115805
  54608 117710  94602    388 110494 101010  34568   8678 123184   4667
   5780 109985  46988 104517  25287  63386  12505  48515  18056 102825
  94248  46038  72265 103955 118156  87192  98392  84311  82263   3377
  90238 125525 127105 120587  88122  61302  80339  15470  95111  55312
 105154  79720   2945  59942  55141 103639  18733 106957  81245 104189
  59471 108110 112082  53982  67743   4136 110670  66091  46125  12823]",,100,,
opt,"[118156    388  35744  46038   4667 103955  84311 129252  46988  40690
  98392 127473  15955  18056   5780  94248  68377  55312   2945  83115
  18733  46125 125525  41590  55141  25287 102825  59942 109985 106398
 115805 114797  14834  50772  34568   8678 101010  79720  25832  15470
 104517 110670  28292 103639 127105   4136  80339   2499  88553 104008
  61302 114638  82263  72265  53982  69680 123184 120587  20133 112082
  63386   8541   3377  70295  44448  90238  88865  54608 117710  95111
 121133  66091  38862  48914 105154  87192  67693  40073  94141 110494
  12505  45709  12823  67970  48809  88122 108110   8728  59471  67743
 130603  94602 109940  71984 104189 114332 106957  60994  81245  48515]","[np.int64(68377), np.int64(25287), np.int64(34568), np.int64(25832), np.int64(28292), np.int64(72265), np.int64(69680), np.int64(70295), np.int64(66091), np.int64(67693), np.int64(67970), np.int64(67743), np.int64(71984), np.int64(118156), np.int64(388), np.int64(35744), np.int64(46038), np.int64(4667), np.int64(103955), np.int64(84311), np.int64(129252), np.int64(46988), np.int64(40690), np.int64(98392), np.int64(127473), np.int64(15955), np.int64(18056), np.int64(5780), np.int64(94248), np.int64(55312), np.int64(2945), np.int64(83115), np.int64(18733), np.int64(46125), np.int64(125525), np.int64(41590), np.int64(55141), np.int64(102825), np.int64(59942), np.int64(109985), np.int64(106398), np.int64(115805), np.int64(114797), np.int64(14834), np.int64(50772), np.int64(8678), np.int64(101010), np.int64(79720), np.int64(15470), np.int64(104517), np.int64(110670), np.int64(103639), np.int64(127105), np.int64(4136), np.int64(80339), np.int64(2499), np.int64(88553), np.int64(104008), np.int64(61302), np.int64(114638), np.int64(82263), np.int64(53982), np.int64(123184), np.int64(120587), np.int64(20133), np.int64(112082), np.int64(63386), np.int64(8541), np.int64(3377), np.int64(44448), np.int64(90238), np.int64(88865), np.int64(54608), np.int64(117710), np.int64(95111), np.int64(121133), np.int64(38862), np.int64(48914), np.int64(105154), np.int64(87192), np.int64(40073), np.int64(94141), np.int64(110494), np.int64(12505), np.int64(45709), np.int64(12823), np.int64(48809), np.int64(88122), np.int64(108110), np.int64(8728), np.int64(59471), np.int64(130603), np.int64(94602), np.int64(109940), np.int64(104189), np.int64(114332), np.int64(106957), np.int64(60994), np.int64(81245), np.int64(48515)]",,100,,
