algorithm,original,reordered,model,size,column,value
random,"[ 91440  14585 101383  26322  50791  19865  50210 102221  67917  38876
  24234 116271  61368  16070 117304  86212 111131  41372   9246 108405
 100698 130010  50043  95962  47305  19107  72497  26433  16694   3730
  76921  62418  66347  27115 128824  93116  46601  64078  34580  43117
  18634 103787  53855  75322 120656  77351  34893  98145  23467  55096
  13612  46111  31012  14317 121604  29361 102694   5760  82159  73419
 102502   4161   1628  25189 103459 129522 115943  70794  61428  81697
  81571   3473 125446 118669  22548  74854 100269  75028  83524   2918
  61548  84514  63667  87564  56753  88172  15809  86087  34208  38087
  71215   6001  60716  31273 106054 122795  67399  59944 119682  91966]","[ 91440  14585 101383  26322  50791  19865  50210 102221  67917  38876
  24234 116271  61368  16070 117304  86212 111131  41372   9246 108405
 100698 130010  50043  95962  47305  19107  72497  26433  16694   3730
  76921  62418  66347  27115 128824  93116  46601  64078  34580  43117
  18634 103787  53855  75322 120656  77351  34893  98145  23467  55096
  13612  46111  31012  14317 121604  29361 102694   5760  82159  73419
 102502   4161   1628  25189 103459 129522 115943  70794  61428  81697
  81571   3473 125446 118669  22548  74854 100269  75028  83524   2918
  61548  84514  63667  87564  56753  88172  15809  86087  34208  38087
  71215   6001  60716  31273 106054 122795  67399  59944 119682  91966]",,100,,
opt,"[100269   3473  13612  34893  34208  56753  50210  16070 101383 102694
 118669  55096  88172 103787  83524  19865  16694  46601  31273   9246
  34580 120656  81571 117304  87564  66347  26322   4161  31012  71215
  82159  75322  60716  86087  61428  43117 106054  38876   6001  72497
 115943   3730 102502 108405 102221  18634  67917  25189 116271  91440
  41372  61548  50791 121604  38087  81697 129522  77351   1628  62418
  19107  29361 100698  91966  74854  67399  50043  70794 111131  84514
  47305  95962 122795 119682  93116  61368  24234  14317  59944  64078
  26433  23467  75028   5760 128824  63667  98145  46111  15809  27115
   2918 130010  76921 103459  73419  53855  86212 125446  14585  22548]","[np.int64(34208), np.int64(31273), np.int64(34580), np.int64(66347), np.int64(26322), np.int64(31012), np.int64(71215), np.int64(72497), np.int64(67917), np.int64(25189), np.int64(29361), np.int64(67399), np.int64(24234), np.int64(64078), np.int64(26433), np.int64(27115), np.int64(73419), np.int64(100269), np.int64(3473), np.int64(13612), np.int64(34893), np.int64(56753), np.int64(50210), np.int64(16070), np.int64(101383), np.int64(102694), np.int64(118669), np.int64(55096), np.int64(88172), np.int64(103787), np.int64(83524), np.int64(19865), np.int64(16694), np.int64(46601), np.int64(9246), np.int64(120656), np.int64(81571), np.int64(117304), np.int64(87564), np.int64(4161), np.int64(82159), np.int64(75322), np.int64(60716), np.int64(86087), np.int64(61428), np.int64(43117), np.int64(106054), np.int64(38876), np.int64(6001), np.int64(115943), np.int64(3730), np.int64(102502), np.int64(108405), np.int64(102221), np.int64(18634), np.int64(116271), np.int64(91440), np.int64(41372), np.int64(61548), np.int64(50791), np.int64(121604), np.int64(38087), np.int64(81697), np.int64(129522), np.int64(77351), np.int64(1628), np.int64(62418), np.int64(19107), np.int64(100698), np.int64(91966), np.int64(74854), np.int64(50043), np.int64(70794), np.int64(111131), np.int64(84514), np.int64(47305), np.int64(95962), np.int64(122795), np.int64(119682), np.int64(93116), np.int64(61368), np.int64(14317), np.int64(59944), np.int64(23467), np.int64(75028), np.int64(5760), np.int64(128824), np.int64(63667), np.int64(98145), np.int64(46111), np.int64(15809), np.int64(2918), np.int64(130010), np.int64(76921), np.int64(103459), np.int64(53855), np.int64(86212), np.int64(125446), np.int64(14585), np.int64(22548)]",,100,,
warmup,"[ 93116   2918 116271  91966  19107  50043 100698 120656  18634  61548
  14585 130010 102502  50210  81697  61368  77351  34580  25189  61428
  24234  98145 101383  53855  56753  81571  84514 129522  86087  60716
   9246 102221 118669  67917   3473  64078  76921  87564 115943  16070
  70794 103787  27115 108405  16694 125446   3730  38087  50791  55096
  26322  88172  95962  67399  31273  83524  43117  41372  15809   4161
  13612  73419  34208  26433  74854  75028 102694  71215  91440  47305
  63667  19865  31012 119682   1628 111131  14317  62418  22548 117304
  38876  29361  59944  82159   6001 106054  34893 100269 103459  72497
 128824   5760  66347  23467  46601  75322  86212  46111 121604 122795]","[np.int64(25189), np.int64(25189), np.int64(24234), np.int64(67917), np.int64(64078), np.int64(26433), np.int64(74854), np.int64(75028), np.int64(102694), np.int64(71215), np.int64(6001), np.int64(106054), np.int64(34893), np.int64(100269), np.int64(66347), np.int64(93116), np.int64(2918), np.int64(116271), np.int64(91966), np.int64(19107), np.int64(50043), np.int64(100698), np.int64(120656), np.int64(18634), np.int64(61548), np.int64(14585), np.int64(130010), np.int64(102502), np.int64(50210), np.int64(81697), np.int64(61368), np.int64(77351), np.int64(34580), np.int64(61428), np.int64(98145), np.int64(101383), np.int64(53855), np.int64(56753), np.int64(81571), np.int64(84514), np.int64(129522), np.int64(86087), np.int64(60716), np.int64(9246), np.int64(102221), np.int64(118669), np.int64(3473), np.int64(76921), np.int64(87564), np.int64(115943), np.int64(16070), np.int64(70794), np.int64(103787), np.int64(27115), np.int64(108405), np.int64(16694), np.int64(125446), np.int64(3730), np.int64(38087), np.int64(50791), np.int64(55096), np.int64(26322), np.int64(88172), np.int64(95962), np.int64(67399), np.int64(31273), np.int64(83524), np.int64(43117), np.int64(41372), np.int64(15809), np.int64(4161), np.int64(13612), np.int64(73419), np.int64(34208), np.int64(91440), np.int64(47305), np.int64(63667), np.int64(19865), np.int64(31012), np.int64(119682), np.int64(1628), np.int64(111131), np.int64(14317), np.int64(62418), np.int64(22548), np.int64(117304), np.int64(38876), np.int64(29361), np.int64(59944), np.int64(82159), np.int64(103459), np.int64(72497), np.int64(128824), np.int64(5760), np.int64(23467), np.int64(46601), np.int64(75322), np.int64(86212), np.int64(46111), np.int64(121604)]",mistral:7b,100,,
bigraph,"[ 31012  61428  75322  87564 111131 108405   5760  55096  50210 102221
  91440 117304  53855 102502  34580  82159  23467  77351  86087  38087
 121604  61548  64078   4161  62418  66347 118669 119682  88172  22548
  47305  24234  14585  84514 130010 101383   2918 128824  29361  16694
  27115 103459  91966  46111  13612  50791  67917   6001  59944  46601
  19107  25189  70794  16070 102694  19865  26433  50043  67399   3473
  71215 100269  34893 115943 103787 116271  74854 100698  31273  60716
   9246  95962  14317  83524  15809  34208  75028  18634 125446  81697
  63667 106054 120656 122795  93116  26322  98145  72497  43117   3730
 129522   1628  73419  76921  41372  56753  86212  61368  81571  38876]","[np.int64(64078), np.int64(24234), np.int64(26433), np.int64(31273), np.int64(41372), np.int64(27115), np.int64(101383), np.int64(67917), np.int64(61428), np.int64(128824), np.int64(76921), np.int64(81571), np.int64(23467), np.int64(88172), np.int64(103459), np.int64(19107), np.int64(73419), np.int64(62418), np.int64(106054), np.int64(72497), np.int64(63667), np.int64(26322), np.int64(82159), np.int64(4161), np.int64(34580), np.int64(34208), np.int64(25189), np.int64(46601), np.int64(75028), np.int64(102502), np.int64(46111), np.int64(129522), np.int64(77351), np.int64(6001), np.int64(67399), np.int64(102221), np.int64(119682), np.int64(66347), np.int64(83524), np.int64(59944), np.int64(121604), np.int64(61548), np.int64(100698), np.int64(116271), np.int64(103787), np.int64(71215), np.int64(29361), np.int64(118669), np.int64(87564), np.int64(84514), np.int64(95962), np.int64(86212), np.int64(102694), np.int64(31012), np.int64(75322), np.int64(111131), np.int64(108405), np.int64(5760), np.int64(55096), np.int64(50210), np.int64(91440), np.int64(117304), np.int64(53855), np.int64(86087), np.int64(38087), np.int64(22548), np.int64(47305), np.int64(14585), np.int64(130010), np.int64(2918), np.int64(16694), np.int64(91966), np.int64(13612), np.int64(50791), np.int64(70794), np.int64(16070), np.int64(19865), np.int64(50043), np.int64(3473), np.int64(100269), np.int64(34893), np.int64(115943), np.int64(74854), np.int64(60716), np.int64(9246), np.int64(14317), np.int64(15809), np.int64(18634), np.int64(125446), np.int64(81697), np.int64(120656), np.int64(122795), np.int64(93116), np.int64(98145), np.int64(43117), np.int64(3730), np.int64(1628), np.int64(56753), np.int64(61368), np.int64(38876)]",mistral:7b,100,,
random,"[ 74649 104989  53208  49887  58789 116804  28732 131888 131964  63465
  75124  21166 128956   9839 115065 110988 119626 116875 115059  57392
  71093 124965   2598  59985  37525 124137  67753  51503  21612  97080
 128166  35342  78695  45252  43990  32561 114581  40097 102680  89650
  98200  71668 105934  53228  46571  52077  95985  36910  88983  52403
  74282  86029  64820  41113  22404 105313 106928  21345  72631  79592
  75180 122579  49849  18483 104118  49024  81710  24008   9320 124856
  50209  40158  33150 107344 131724  39938  53133  65438 124023 120191
  35812  81469 129458  34508 124570 117777  52965 124891  22552  60912
   2260  85545  99508  59637 116995  35440   4209 105172  85892 131322]","[ 74649 104989  53208  49887  58789 116804  28732 131888 131964  63465
  75124  21166 128956   9839 115065 110988 119626 116875 115059  57392
  71093 124965   2598  59985  37525 124137  67753  51503  21612  97080
 128166  35342  78695  45252  43990  32561 114581  40097 102680  89650
  98200  71668 105934  53228  46571  52077  95985  36910  88983  52403
  74282  86029  64820  41113  22404 105313 106928  21345  72631  79592
  75180 122579  49849  18483 104118  49024  81710  24008   9320 124856
  50209  40158  33150 107344 131724  39938  53133  65438 124023 120191
  35812  81469 129458  34508 124570 117777  52965 124891  22552  60912
   2260  85545  99508  59637 116995  35440   4209 105172  85892 131322]",,100,,
opt,"[116875  52403  33150  67753 122579  36910 120191  18483  46571 128166
  81710 116995  65438  75180 106928 131724  21166 131322  40097  49887
  85892 105172  95985  60912  40158  41113 124570 105313  52077  39938
  24008  53133  99508  22552 110988  71668  74282  53228  21612  78695
  85545 128956  88983 102680   2260  79592  58789 119626 124137 117777
  86029 104118  98200  34508  50209  49849 124856  35440  57392 116804
  81469  53208 107344  74649 131888  43990 115059 131964  63465 115065
 124023 124891 129458   2598  22404  45252  37525 104989 105934   9320
  52965  59637  72631  75124  64820  32561  59985  35812  35342  28732
   9839  51503   4209  21345  49024  89650  71093 114581 124965  97080]","[np.int64(33150), np.int64(67753), np.int64(65438), np.int64(24008), np.int64(71668), np.int64(74282), np.int64(34508), np.int64(74649), np.int64(72631), np.int64(64820), np.int64(32561), np.int64(28732), np.int64(71093), np.int64(116875), np.int64(52403), np.int64(122579), np.int64(36910), np.int64(120191), np.int64(18483), np.int64(46571), np.int64(128166), np.int64(81710), np.int64(116995), np.int64(75180), np.int64(106928), np.int64(131724), np.int64(21166), np.int64(131322), np.int64(40097), np.int64(49887), np.int64(85892), np.int64(105172), np.int64(95985), np.int64(60912), np.int64(40158), np.int64(41113), np.int64(124570), np.int64(105313), np.int64(52077), np.int64(39938), np.int64(53133), np.int64(99508), np.int64(22552), np.int64(110988), np.int64(53228), np.int64(21612), np.int64(78695), np.int64(85545), np.int64(128956), np.int64(88983), np.int64(102680), np.int64(2260), np.int64(79592), np.int64(58789), np.int64(119626), np.int64(124137), np.int64(117777), np.int64(86029), np.int64(104118), np.int64(98200), np.int64(50209), np.int64(49849), np.int64(124856), np.int64(35440), np.int64(57392), np.int64(116804), np.int64(81469), np.int64(53208), np.int64(107344), np.int64(131888), np.int64(43990), np.int64(115059), np.int64(131964), np.int64(63465), np.int64(115065), np.int64(124023), np.int64(124891), np.int64(129458), np.int64(2598), np.int64(22404), np.int64(45252), np.int64(37525), np.int64(104989), np.int64(105934), np.int64(9320), np.int64(52965), np.int64(59637), np.int64(75124), np.int64(59985), np.int64(35812), np.int64(35342), np.int64(9839), np.int64(51503), np.int64(4209), np.int64(21345), np.int64(49024), np.int64(89650), np.int64(114581), np.int64(124965), np.int64(97080)]",,100,,
warmup,"[ 35812 128956 117777 116995 116804  72631 115059  21612 131322  59985
  52077  24008 124137 102680  67753 124023  98200 104118  99508   9839
  86029  22552  34508  74649  59637  75180  71093  43990 124965  49849
  37525 114581 120191  40097  85545  63465 104989   2598  53228  71668
 107344 105172 106928  52403 115065  49024  35440  78695  53208 131724
  40158  35342 124570 131964  52965  28732 105934  46571  36910  60912
 124856 128166  53133  97080  39938  58789 131888  95985  33150  51503
   4209  18483  75124  22404  64820  41113 110988  49887  79592  45252
  32561  88983  81469   9320  74282 124891 119626  21166 116875  50209
  21345  85892  89650  57392 105313 122579 129458  81710  65438   2260]","[np.int64(67753), np.int64(59637), np.int64(75180), np.int64(71093), np.int64(43990), np.int64(75124), np.int64(64820), np.int64(35812), np.int64(128956), np.int64(117777), np.int64(116995), np.int64(116804), np.int64(72631), np.int64(115059), np.int64(21612), np.int64(131322), np.int64(59985), np.int64(52077), np.int64(24008), np.int64(124137), np.int64(102680), np.int64(124023), np.int64(98200), np.int64(104118), np.int64(99508), np.int64(9839), np.int64(86029), np.int64(22552), np.int64(34508), np.int64(74649), np.int64(124965), np.int64(49849), np.int64(37525), np.int64(114581), np.int64(120191), np.int64(40097), np.int64(85545), np.int64(63465), np.int64(104989), np.int64(2598), np.int64(53228), np.int64(71668), np.int64(107344), np.int64(105172), np.int64(106928), np.int64(52403), np.int64(115065), np.int64(49024), np.int64(35440), np.int64(78695), np.int64(53208), np.int64(131724), np.int64(40158), np.int64(35342), np.int64(124570), np.int64(131964), np.int64(52965), np.int64(28732), np.int64(105934), np.int64(46571), np.int64(36910), np.int64(60912), np.int64(124856), np.int64(128166), np.int64(53133), np.int64(97080), np.int64(39938), np.int64(58789), np.int64(131888), np.int64(95985), np.int64(33150), np.int64(51503), np.int64(4209), np.int64(18483), np.int64(22404), np.int64(41113), np.int64(110988), np.int64(49887), np.int64(79592), np.int64(45252), np.int64(32561), np.int64(88983), np.int64(81469), np.int64(9320), np.int64(74282), np.int64(124891), np.int64(119626), np.int64(21166), np.int64(116875), np.int64(50209), np.int64(21345), np.int64(85892), np.int64(89650), np.int64(57392), np.int64(105313), np.int64(122579), np.int64(129458), np.int64(81710), np.int64(65438), np.int64(2260)]",mistral:7b,100,,
bigraph,"[105172 119626   2598 102680 128956  95985  71668 131322  75180  59985
 107344  52965  51503 124023  35342  97080  78695  34508  98200  22552
 105313 115059  28732  81710  35812 105934  40097  52403   2260  67753
 124856  58789  59637  49887   9320  32561 110988 124137 116875  41113
 124891  74649  37525 122579  35440  75124   9839  39938 120191  40158
  21345 116995 106928  33150 116804  46571 124570  43990  22404  57392
 114581  49849  85892  45252  86029 124965  36910  65438  85545  71093
  49024  89650  24008 131888  53133  63465  21166  74282  53208 129458
  52077  60912 131964 117777  64820  79592 104989  88983 104118  81469
   4209  99508  50209  18483  72631 128166 131724  21612 115065  53228]","[np.int64(52077), np.int64(9320), np.int64(131964), np.int64(21345), np.int64(122579), np.int64(40097), np.int64(60912), np.int64(116995), np.int64(97080), np.int64(33150), np.int64(75124), np.int64(65438), np.int64(45252), np.int64(32561), np.int64(89650), np.int64(75180), np.int64(35812), np.int64(64820), np.int64(36910), np.int64(67753), np.int64(105313), np.int64(85892), np.int64(59985), np.int64(124023), np.int64(105172), np.int64(119626), np.int64(2598), np.int64(102680), np.int64(128956), np.int64(95985), np.int64(71668), np.int64(131322), np.int64(107344), np.int64(52965), np.int64(51503), np.int64(35342), np.int64(78695), np.int64(34508), np.int64(98200), np.int64(22552), np.int64(115059), np.int64(28732), np.int64(81710), np.int64(105934), np.int64(52403), np.int64(2260), np.int64(124856), np.int64(58789), np.int64(59637), np.int64(49887), np.int64(110988), np.int64(124137), np.int64(116875), np.int64(41113), np.int64(124891), np.int64(74649), np.int64(37525), np.int64(35440), np.int64(9839), np.int64(39938), np.int64(120191), np.int64(40158), np.int64(106928), np.int64(116804), np.int64(46571), np.int64(124570), np.int64(43990), np.int64(22404), np.int64(57392), np.int64(114581), np.int64(49849), np.int64(86029), np.int64(124965), np.int64(85545), np.int64(71093), np.int64(49024), np.int64(24008), np.int64(131888), np.int64(53133), np.int64(63465), np.int64(21166), np.int64(74282), np.int64(53208), np.int64(129458), np.int64(117777), np.int64(79592), np.int64(104989), np.int64(88983), np.int64(104118), np.int64(81469), np.int64(4209), np.int64(99508), np.int64(50209), np.int64(18483), np.int64(72631), np.int64(128166), np.int64(131724), np.int64(21612), np.int64(115065), np.int64(53228)]",mistral:7b,100,,
random,"[ 30094  90956 117794  20546  69835 118510 112277  26513  35838  55263
  77299 127220 131728  58769  43737 100518  93722  63838 124364 118861
 128595 106079  34564  72983  67279  35624  51135  91082 102042 113435
 115282  82033  85424 122295  22964  18420 112696 115696 120811   4438
  29005  99749  54922 131397 130945  43852  56195  12291 126571  38522
  45541  22675    273   9491  87729  99206   7206  29798  68840  27170
  35608 100405  37385  87102 113605  93234  13275 113736  62839   2241
  13166  42322  71884  90523  84456   1754  19453  91813  96465   6823
  61737 106866  77747 100515   5473  44179 113137  43333  28762  47564
  89720  20911  37212  14058 120807  47758 111460  47976 130850  46667]","[ 30094  90956 117794  20546  69835 118510 112277  26513  35838  55263
  77299 127220 131728  58769  43737 100518  93722  63838 124364 118861
 128595 106079  34564  72983  67279  35624  51135  91082 102042 113435
 115282  82033  85424 122295  22964  18420 112696 115696 120811   4438
  29005  99749  54922 131397 130945  43852  56195  12291 126571  38522
  45541  22675    273   9491  87729  99206   7206  29798  68840  27170
  35608 100405  37385  87102 113605  93234  13275 113736  62839   2241
  13166  42322  71884  90523  84456   1754  19453  91813  96465   6823
  61737 106866  77747 100515   5473  44179 113137  43333  28762  47564
  89720  20911  37212  14058 120807  47758 111460  47976 130850  46667]",,100,,
opt,"[ 99749 130945  22964  63838 106079  29005    273   4438  91813  71884
  34564  12291 106866  93722 118861  72983 112277  14058  58769  47564
  96465  44179  90523   9491  46667 113736  20911  43852   7206 130850
 102042  47976  84456  47758 131728 127220  45541 122295 117794  55263
  77299  87102 113435  30094  43737  37212  28762   5473  26513 111460
  62839  37385   6823  77747 120811  56195 115282 100518  91082  90956
  69835  27170  38522  61737  87729 120807  93234  85424   2241  13166
  51135   1754  35624  89720  82033 118510  35838  20546  68840  22675
  13275 113605 100515 115696  19453 128595 112696  42322 113137  43333
  99206  54922  35608 131397  18420 100405  29798  67279 126571 124364]","[np.int64(63838), np.int64(29005), np.int64(71884), np.int64(34564), np.int64(72983), np.int64(30094), np.int64(28762), np.int64(26513), np.int64(69835), np.int64(27170), np.int64(68840), np.int64(29798), np.int64(67279), np.int64(99749), np.int64(130945), np.int64(22964), np.int64(106079), np.int64(273), np.int64(4438), np.int64(91813), np.int64(12291), np.int64(106866), np.int64(93722), np.int64(118861), np.int64(112277), np.int64(14058), np.int64(58769), np.int64(47564), np.int64(96465), np.int64(44179), np.int64(90523), np.int64(9491), np.int64(46667), np.int64(113736), np.int64(20911), np.int64(43852), np.int64(7206), np.int64(130850), np.int64(102042), np.int64(47976), np.int64(84456), np.int64(47758), np.int64(131728), np.int64(127220), np.int64(45541), np.int64(122295), np.int64(117794), np.int64(55263), np.int64(77299), np.int64(87102), np.int64(113435), np.int64(43737), np.int64(37212), np.int64(5473), np.int64(111460), np.int64(62839), np.int64(37385), np.int64(6823), np.int64(77747), np.int64(120811), np.int64(56195), np.int64(115282), np.int64(100518), np.int64(91082), np.int64(90956), np.int64(38522), np.int64(61737), np.int64(87729), np.int64(120807), np.int64(93234), np.int64(85424), np.int64(2241), np.int64(13166), np.int64(51135), np.int64(1754), np.int64(35624), np.int64(89720), np.int64(82033), np.int64(118510), np.int64(35838), np.int64(20546), np.int64(22675), np.int64(13275), np.int64(113605), np.int64(100515), np.int64(115696), np.int64(19453), np.int64(128595), np.int64(112696), np.int64(42322), np.int64(113137), np.int64(43333), np.int64(99206), np.int64(54922), np.int64(35608), np.int64(131397), np.int64(18420), np.int64(100405), np.int64(126571), np.int64(124364)]",,100,,
