algorithm,original,reordered,model,size,column,value
random,"[ 57223 114477  94845   5766  39217  94451 123473 128039  96358  78509
 123026  88795  53772 125709  20054  41739 101672  50153 116965  66276
 124023  11854 114287  88407  19316 122153   5085  61096 131562   4767
   6447 104857  47734  41740  86425  60027  47116  61567 113146 117629
  29266  78581  96415 111722  61962  31819 103404  61540  25797 100032
 106984  18197  84351  69325  36083   4548  62826  89445  19470  36448
  20822  45672  92241 131123  63792 113300  19111   1887  39351  66480
 110052   7285  95425 118376  11083  89581 131762 108482  47528     36
 119359  23734  80518  91694  42275  93393 109197  71273  98595  13053
  18771  71122  32359  26918  39032  53674  54843  57150  66868  45774]","[ 57223 114477  94845   5766  39217  94451 123473 128039  96358  78509
 123026  88795  53772 125709  20054  41739 101672  50153 116965  66276
 124023  11854 114287  88407  19316 122153   5085  61096 131562   4767
   6447 104857  47734  41740  86425  60027  47116  61567 113146 117629
  29266  78581  96415 111722  61962  31819 103404  61540  25797 100032
 106984  18197  84351  69325  36083   4548  62826  89445  19470  36448
  20822  45672  92241 131123  63792 113300  19111   1887  39351  66480
 110052   7285  95425 118376  11083  89581 131762 108482  47528     36
 119359  23734  80518  91694  42275  93393 109197  71273  98595  13053
  18771  71122  32359  26918  39032  53674  54843  57150  66868  45774]",,100,,
opt,"[ 45774  61096 113300 123026 128039  54843  57223 114287  94451 119359
 110052  61540  39217  11854  66276  39351 123473  18197 114477 106984
   5085  71122   5766  26918 104857 101672 125709  80518 131123   4767
  39032  61962  98595 103404 111722  47734  71273  13053  19470  32359
   7285  29266 122153  53772  47528  92241 118376  66480  96415 131762
  19111  20054  91694   1887  96358  89581  93393  42275  66868 113146
 117629   6447  69325  18771  57150  62826  88795  88407  19316 108482
  60027  53674 124023  41740  50153  41739  78581   4548 100032  94845
  84351  78509 116965  86425  63792  61567 109197  31819  23734  25797
  47116     36  36448  95425  11083  36083 131562  45672  89445  20822]","[np.int64(66276), np.int64(71122), np.int64(26918), np.int64(71273), np.int64(32359), np.int64(29266), np.int64(66480), np.int64(66868), np.int64(69325), np.int64(63792), np.int64(31819), np.int64(23734), np.int64(25797), np.int64(45774), np.int64(61096), np.int64(113300), np.int64(123026), np.int64(128039), np.int64(54843), np.int64(57223), np.int64(114287), np.int64(94451), np.int64(119359), np.int64(110052), np.int64(61540), np.int64(39217), np.int64(11854), np.int64(39351), np.int64(123473), np.int64(18197), np.int64(114477), np.int64(106984), np.int64(5085), np.int64(5766), np.int64(104857), np.int64(101672), np.int64(125709), np.int64(80518), np.int64(131123), np.int64(4767), np.int64(39032), np.int64(61962), np.int64(98595), np.int64(103404), np.int64(111722), np.int64(47734), np.int64(13053), np.int64(19470), np.int64(7285), np.int64(122153), np.int64(53772), np.int64(47528), np.int64(92241), np.int64(118376), np.int64(96415), np.int64(131762), np.int64(19111), np.int64(20054), np.int64(91694), np.int64(1887), np.int64(96358), np.int64(89581), np.int64(93393), np.int64(42275), np.int64(113146), np.int64(117629), np.int64(6447), np.int64(18771), np.int64(57150), np.int64(62826), np.int64(88795), np.int64(88407), np.int64(19316), np.int64(108482), np.int64(60027), np.int64(53674), np.int64(124023), np.int64(41740), np.int64(50153), np.int64(41739), np.int64(78581), np.int64(4548), np.int64(100032), np.int64(94845), np.int64(84351), np.int64(78509), np.int64(116965), np.int64(86425), np.int64(61567), np.int64(109197), np.int64(47116), np.int64(36), np.int64(36448), np.int64(95425), np.int64(11083), np.int64(36083), np.int64(131562), np.int64(45672), np.int64(89445), np.int64(20822)]",,100,,
warmup,"[ 39217  94451  39032  25797 101672  57223 108482  80518  41740  84351
  23734 114287  61096 113146 131562  41739  98595  93393 118376  92241
  53772 106984 131762  57150  89445  78509  39351  19111  96358 116965
     36 123473 122153  95425 117629 114477 100032  88795  89581 113300
  94845  20054  19316  18771  66276  86425  29266  47734 123026 110052
  61567  20822  45672   4767 124023  54843  53674   6447  50153  91694
 109197  66480  96415  62826  78581  11854  18197  47116  71273  11083
  19470  66868  61962  60027 131123   5766 128039   4548  42275  47528
 119359  13053  36448  31819 103404  36083 111722  88407  69325 104857
  26918  45774 125709   1887   7285   5085  61540  32359  71122  63792]","[np.int64(94451), np.int64(25797), np.int64(94451), np.int64(84351), np.int64(23734), np.int64(84351), np.int64(114287), np.int64(61096), np.int64(113146), np.int64(131562), np.int64(41739), np.int64(98595), np.int64(57150), np.int64(57150), np.int64(57150), np.int64(89445), np.int64(96358), np.int64(96358), np.int64(95425), np.int64(117629), np.int64(114477), np.int64(94845), np.int64(6447), np.int64(50153), np.int64(91694), np.int64(109197), np.int64(66480), np.int64(109197), np.int64(71273), np.int64(71273), np.int64(61962), np.int64(128039), np.int64(4548), np.int64(42275), np.int64(47528), np.int64(103404), np.int64(63792), np.int64(63792), np.int64(63792), np.int64(63792), np.int64(39217), np.int64(39032), np.int64(101672), np.int64(57223), np.int64(108482), np.int64(80518), np.int64(41740), np.int64(93393), np.int64(118376), np.int64(92241), np.int64(53772), np.int64(106984), np.int64(131762), np.int64(78509), np.int64(39351), np.int64(19111), np.int64(116965), np.int64(36), np.int64(123473), np.int64(122153), np.int64(100032), np.int64(88795), np.int64(89581), np.int64(113300), np.int64(20054), np.int64(19316), np.int64(18771), np.int64(66276), np.int64(86425), np.int64(29266), np.int64(47734), np.int64(123026), np.int64(110052), np.int64(61567), np.int64(20822), np.int64(45672), np.int64(4767), np.int64(124023), np.int64(54843), np.int64(53674), np.int64(96415), np.int64(62826), np.int64(78581), np.int64(11854), np.int64(18197), np.int64(47116), np.int64(11083), np.int64(19470), np.int64(66868), np.int64(60027), np.int64(131123), np.int64(5766), np.int64(119359), np.int64(13053), np.int64(36448), np.int64(31819), np.int64(36083), np.int64(111722), np.int64(88407), np.int64(69325)]",qwen2:7b,100,,
bigraph,"[ 25797  19111  66276  66868  18197  36083 101672  39351  20054  78509
  92241   4767 125709  13053 100032  53772  78581  47116  84351  96415
  88407  45774  41740  42275 109197 114287  31819 123026  94845 113146
  86425 122153  26918 123473 103404 111722  80518 118376  18771 104857
  29266   1887  45672  19470  93393 110052  69325  71273     36  39032
   7285  39217  19316 119359  71122 131123 117629  11083  89445  66480
   5766   4548  89581  54843 106984  36448  60027 131562  61567  98595
  96358   6447 114477  61096  41739  47528  91694 124023  94451 113300
  23734 108482  61962  20822  50153  95425  88795  11854  61540 128039
  62826  47734  53674 116965  32359 131762   5085  63792  57223  57150]","[np.int64(42275), np.int64(39217), np.int64(11854), np.int64(7285), np.int64(57223), np.int64(92241), np.int64(66480), np.int64(69325), np.int64(19316), np.int64(5766), np.int64(23734), np.int64(117629), np.int64(108482), np.int64(94845), np.int64(61540), np.int64(94451), np.int64(20822), np.int64(96358), np.int64(19470), np.int64(109197), np.int64(103404), np.int64(98595), np.int64(84351), np.int64(47734), np.int64(62826), np.int64(29266), np.int64(131762), np.int64(131123), np.int64(78509), np.int64(26918), np.int64(63792), np.int64(110052), np.int64(96415), np.int64(36083), np.int64(36), np.int64(89581), np.int64(86425), np.int64(128039), np.int64(100032), np.int64(20054), np.int64(4767), np.int64(25797), np.int64(113300), np.int64(66276), np.int64(131562), np.int64(5085), np.int64(32359), np.int64(101672), np.int64(116965), np.int64(54843), np.int64(61962), np.int64(66868), np.int64(47528), np.int64(57150), np.int64(18771), np.int64(122153), np.int64(123026), np.int64(71122), np.int64(47116), np.int64(88407), np.int64(95425), np.int64(78581), np.int64(113146), np.int64(53674), np.int64(61567), np.int64(104857), np.int64(111722), np.int64(71273), np.int64(124023), np.int64(114287), np.int64(60027), np.int64(118376), np.int64(39351), np.int64(45672), np.int64(13053), np.int64(61096), np.int64(88795), np.int64(119359), np.int64(19111), np.int64(80518), np.int64(41739), np.int64(50153), np.int64(93393), np.int64(4548), np.int64(18197), np.int64(106984), np.int64(125709), np.int64(53772), np.int64(45774), np.int64(41740), np.int64(31819), np.int64(123473), np.int64(1887), np.int64(39032), np.int64(11083), np.int64(89445), np.int64(36448), np.int64(6447), np.int64(114477), np.int64(91694)]",qwen2:7b,100,,
random,"[ 37664 129135 111882  91743  68116  39405  54644  22761  82572  60527
  65722  79365  41199 108324    247 108538  16939  88817  59152 118454
 104557 119281  39526  39004  65324  40919 131336   5418  97910 111095
 116887  55499  78621  26608   6698  70382 108810  15556   5429  10491
 120151  13588  91407 122933  47267  22888  97492  21936  10883   1083
  88919  44287  25926   1614 131222  93804  32094   9993  41158 124638
  90389   8885  98203  85707  94253 121439 122756 105309  68833  81278
    719  13991  52031  43232  38735 105663 108606 123917 122865  95742
  78433  23973 101109  71312  60065  72313  96504 102550  27355  45663
 105743 128473  39612  31831  69414  55610 102847  14231  72441  77243]","[ 37664 129135 111882  91743  68116  39405  54644  22761  82572  60527
  65722  79365  41199 108324    247 108538  16939  88817  59152 118454
 104557 119281  39526  39004  65324  40919 131336   5418  97910 111095
 116887  55499  78621  26608   6698  70382 108810  15556   5429  10491
 120151  13588  91407 122933  47267  22888  97492  21936  10883   1083
  88919  44287  25926   1614 131222  93804  32094   9993  41158 124638
  90389   8885  98203  85707  94253 121439 122756 105309  68833  81278
    719  13991  52031  43232  38735 105663 108606 123917 122865  95742
  78433  23973 101109  71312  60065  72313  96504 102550  27355  45663
 105743 128473  39612  31831  69414  55610 102847  14231  72441  77243]",,100,,
opt,"[101109  90389   1614 116887 111095  97492 105309  65324  91407  65722
 122933  40919   1083  52031  55499 121439  97910  85707  77243  54644
  93804  39612  98203  41158 123917  14231 105743 102847  22888 129135
  32094 119281  82572  39526  22761  23973  41199  55610   9993  37664
  68116   8885  60527 104557  13588  44287  70382  10491  68833 108324
  43232 122756  78621  26608 128473 118454  59152  38735 111882 120151
  27355   5429  72313    719  81278  79365 102550 122865   5418  39004
  94253  15556  47267  10883 131222  71312  39405  88817 124638 131336
  60065    247  91743  96504 108606  13991 108810  31831  72441  21936
  25926  45663  88919  69414  16939  95742  78433   6698 108538 105663]","[np.int64(65324), np.int64(65722), np.int64(32094), np.int64(23973), np.int64(68116), np.int64(70382), np.int64(68833), np.int64(26608), np.int64(27355), np.int64(72313), np.int64(71312), np.int64(31831), np.int64(72441), np.int64(25926), np.int64(69414), np.int64(101109), np.int64(90389), np.int64(1614), np.int64(116887), np.int64(111095), np.int64(97492), np.int64(105309), np.int64(91407), np.int64(122933), np.int64(40919), np.int64(1083), np.int64(52031), np.int64(55499), np.int64(121439), np.int64(97910), np.int64(85707), np.int64(77243), np.int64(54644), np.int64(93804), np.int64(39612), np.int64(98203), np.int64(41158), np.int64(123917), np.int64(14231), np.int64(105743), np.int64(102847), np.int64(22888), np.int64(129135), np.int64(119281), np.int64(82572), np.int64(39526), np.int64(22761), np.int64(41199), np.int64(55610), np.int64(9993), np.int64(37664), np.int64(8885), np.int64(60527), np.int64(104557), np.int64(13588), np.int64(44287), np.int64(10491), np.int64(108324), np.int64(43232), np.int64(122756), np.int64(78621), np.int64(128473), np.int64(118454), np.int64(59152), np.int64(38735), np.int64(111882), np.int64(120151), np.int64(5429), np.int64(719), np.int64(81278), np.int64(79365), np.int64(102550), np.int64(122865), np.int64(5418), np.int64(39004), np.int64(94253), np.int64(15556), np.int64(47267), np.int64(10883), np.int64(131222), np.int64(39405), np.int64(88817), np.int64(124638), np.int64(131336), np.int64(60065), np.int64(247), np.int64(91743), np.int64(96504), np.int64(108606), np.int64(13991), np.int64(108810), np.int64(21936), np.int64(45663), np.int64(88919), np.int64(16939), np.int64(95742), np.int64(78433), np.int64(6698), np.int64(108538), np.int64(105663)]",,100,,
warmup,"[ 96504  40919  22761  82572  85707   5429  21936 111095  22888 102550
  23973  68833  13588  60527  39405  54644  26608  16939 122865   5418
 124638 108810 122933 118454  69414  41199  88919  38735 129135 108606
  60065  41158  77243  71312 102847  95742 131336  10491 105309  93804
 116887  70382  31831  94253  91407    719  97910  98203  55499 111882
  78433  90389 105663   6698   1614  44287  14231  43232  52031    247
   8885  97492  88817 104557  39526  45663  65324  25926  72441  10883
 101109  72313  39612   9993  91743 131222  47267 105743  15556 108538
 122756   1083  13991  59152  68116  32094  55610  37664  27355 121439
 108324 119281  79365 128473  39004 120151 123917  65722  78621  81278]","[np.int64(85707), np.int64(5429), np.int64(21936), np.int64(111095), np.int64(26608), np.int64(131336), np.int64(91407), np.int64(719), np.int64(97910), np.int64(98203), np.int64(111882), np.int64(78433), np.int64(90389), np.int64(44287), np.int64(6698), np.int64(1614), np.int64(8885), np.int64(72441), np.int64(27355), np.int64(96504), np.int64(40919), np.int64(22761), np.int64(82572), np.int64(22888), np.int64(102550), np.int64(23973), np.int64(68833), np.int64(13588), np.int64(60527), np.int64(39405), np.int64(54644), np.int64(16939), np.int64(122865), np.int64(5418), np.int64(124638), np.int64(108810), np.int64(122933), np.int64(118454), np.int64(69414), np.int64(41199), np.int64(88919), np.int64(38735), np.int64(129135), np.int64(108606), np.int64(60065), np.int64(41158), np.int64(77243), np.int64(71312), np.int64(102847), np.int64(95742), np.int64(10491), np.int64(105309), np.int64(93804), np.int64(116887), np.int64(70382), np.int64(31831), np.int64(94253), np.int64(55499), np.int64(105663), np.int64(14231), np.int64(43232), np.int64(52031), np.int64(247), np.int64(97492), np.int64(88817), np.int64(104557), np.int64(39526), np.int64(45663), np.int64(65324), np.int64(25926), np.int64(10883), np.int64(101109), np.int64(72313), np.int64(39612), np.int64(9993), np.int64(91743), np.int64(131222), np.int64(47267), np.int64(105743), np.int64(15556), np.int64(108538), np.int64(122756), np.int64(1083), np.int64(13991), np.int64(59152), np.int64(68116), np.int64(32094), np.int64(55610), np.int64(37664), np.int64(121439), np.int64(108324), np.int64(119281), np.int64(79365), np.int64(128473), np.int64(39004), np.int64(120151), np.int64(123917), np.int64(65722), np.int64(78621), np.int64(81278)]",qwen2:7b,100,,
bigraph,"[128473  79365 108606  41158 124638  70382  39526  31831 111095 119281
 105663 111882  40919 108810  21936  81278 123917 102550 105743  39004
  55499  39405   1614 121439  72313  38735 101109  85707  82572 116887
  98203 105309  14231 122756  97910  44287    719 108538  45663  10883
  94253  13991 131336  27355  93804  54644  65324  71312  37664  15556
  10491  22761   5418  52031 120151  55610  77243  91407  16939  69414
  22888  88919  32094  78433   1083 108324  96504 104557 102847   8885
  65722  60065  43232 118454  13588 122865  39612   9993  25926  26608
  91743 122933  72441   5429   6698  59152  41199 131222  60527    247
  95742  88817  68116  78621  97492 129135  47267  68833  90389  23973]","[np.int64(68116), np.int64(93804), np.int64(108606), np.int64(105743), np.int64(55610), np.int64(23973), np.int64(71312), np.int64(47267), np.int64(26608), np.int64(70382), np.int64(1614), np.int64(41158), np.int64(32094), np.int64(38735), np.int64(94253), np.int64(13588), np.int64(129135), np.int64(120151), np.int64(10491), np.int64(247), np.int64(95742), np.int64(31831), np.int64(59152), np.int64(88817), np.int64(78433), np.int64(69414), np.int64(72313), np.int64(1083), np.int64(105309), np.int64(72441), np.int64(6698), np.int64(122756), np.int64(8885), np.int64(116887), np.int64(82572), np.int64(131336), np.int64(65722), np.int64(90389), np.int64(108538), np.int64(41199), np.int64(10883), np.int64(68833), np.int64(119281), np.int64(104557), np.int64(111882), np.int64(65324), np.int64(102550), np.int64(39004), np.int64(60065), np.int64(44287), np.int64(37664), np.int64(25926), np.int64(88919), np.int64(101109), np.int64(27355), np.int64(111095), np.int64(39526), np.int64(40919), np.int64(123917), np.int64(9993), np.int64(108324), np.int64(91407), np.int64(5429), np.int64(81278), np.int64(131222), np.int64(98203), np.int64(16939), np.int64(108810), np.int64(45663), np.int64(719), np.int64(85707), np.int64(43232), np.int64(22888), np.int64(14231), np.int64(97910), np.int64(102847), np.int64(97492), np.int64(55499), np.int64(96504), np.int64(60527), np.int64(39405), np.int64(122865), np.int64(128473), np.int64(52031), np.int64(124638), np.int64(121439), np.int64(91743), np.int64(122933), np.int64(22761), np.int64(118454), np.int64(79365), np.int64(105663), np.int64(21936), np.int64(13991), np.int64(54644), np.int64(15556), np.int64(5418), np.int64(77243), np.int64(39612), np.int64(78621)]",qwen2:7b,100,,
random,"[ 29748  16212  17401 129076 107408 121299  88600 129783  84195  82739
   9014  50843   7316 128242  65108  23171   6476 131408 124666  72450
  92030  80880  85850  28101 100731  26434  61231  51749   2241  80046
  94610  94918  77495 125658 126274 123607  84492   9617 105245  90697
  91259  70327 105538  53109  74230  67559  62698  12962 130241 128844
 124081    613  62760  34268  89302  94180  98250  67306  99937  26221
 118822  47686  99218 108566 102499  21264  35877 112608  55167 100510
  38016  90852 103146  56342  62748 123493  61958  13812  50296 106265
  58637  85162  26980   2672   4400  88984 121714  17108 103667 124396
  87261  43478  73471  88980  93431  33220 117444  41841  36466 113210]","[ 29748  16212  17401 129076 107408 121299  88600 129783  84195  82739
   9014  50843   7316 128242  65108  23171   6476 131408 124666  72450
  92030  80880  85850  28101 100731  26434  61231  51749   2241  80046
  94610  94918  77495 125658 126274 123607  84492   9617 105245  90697
  91259  70327 105538  53109  74230  67559  62698  12962 130241 128844
 124081    613  62760  34268  89302  94180  98250  67306  99937  26221
 118822  47686  99218 108566 102499  21264  35877 112608  55167 100510
  38016  90852 103146  56342  62748 123493  61958  13812  50296 106265
  58637  85162  26980   2672   4400  88984 121714  17108 103667 124396
  87261  43478  73471  88980  93431  33220 117444  41841  36466 113210]",,100,,
opt,"[ 94610  84492  36466  70327 107408 102499  47686  90697  67306  87261
  53109  50843  88980   4400  65108  21264 124396 124081 105245  26221
  56342  85850 128242  62698 113210  62748 103146  55167  91259 117444
 131408  80046  80880   9617   2241  28101 125658   6476  89302  17108
  99937  92030 100510  26980  41841  72450 124666   2672  77495  26434
  94180  88984 129783  98250 126274 128844  94918  85162  82739  74230
  93431  29748  88600  61231 103667  35877 100731  12962  58637  16212
  34268 118822 121299 105538  90852  51749  33220 106265 121714  43478
   9014  62760 130241  50296  99218 123493 112608  38016  17401  67559
   7316 123607  84195    613  13812 108566  61958 129076  73471  23171]","[np.int64(70327), np.int64(67306), np.int64(65108), np.int64(26221), np.int64(28101), np.int64(26980), np.int64(72450), np.int64(26434), np.int64(74230), np.int64(29748), np.int64(34268), np.int64(33220), np.int64(67559), np.int64(73471), np.int64(94610), np.int64(84492), np.int64(36466), np.int64(107408), np.int64(102499), np.int64(47686), np.int64(90697), np.int64(87261), np.int64(53109), np.int64(50843), np.int64(88980), np.int64(4400), np.int64(21264), np.int64(124396), np.int64(124081), np.int64(105245), np.int64(56342), np.int64(85850), np.int64(128242), np.int64(62698), np.int64(113210), np.int64(62748), np.int64(103146), np.int64(55167), np.int64(91259), np.int64(117444), np.int64(131408), np.int64(80046), np.int64(80880), np.int64(9617), np.int64(2241), np.int64(125658), np.int64(6476), np.int64(89302), np.int64(17108), np.int64(99937), np.int64(92030), np.int64(100510), np.int64(41841), np.int64(124666), np.int64(2672), np.int64(77495), np.int64(94180), np.int64(88984), np.int64(129783), np.int64(98250), np.int64(126274), np.int64(128844), np.int64(94918), np.int64(85162), np.int64(82739), np.int64(93431), np.int64(88600), np.int64(61231), np.int64(103667), np.int64(35877), np.int64(100731), np.int64(12962), np.int64(58637), np.int64(16212), np.int64(118822), np.int64(121299), np.int64(105538), np.int64(90852), np.int64(51749), np.int64(106265), np.int64(121714), np.int64(43478), np.int64(9014), np.int64(62760), np.int64(130241), np.int64(50296), np.int64(99218), np.int64(123493), np.int64(112608), np.int64(38016), np.int64(17401), np.int64(7316), np.int64(123607), np.int64(84195), np.int64(613), np.int64(13812), np.int64(108566), np.int64(61958), np.int64(129076), np.int64(23171)]",,100,,
