letter,error,position,length
Q,0,0,200
Z,0,16,200
D,0,32,200
L,0,48,200
A,0,64,200
P,0,80,200
W,0,96,200
J,0,112,200
U,0,128,200
O,0,144,200
R,0,160,200
K,0,176,200
B,0,192,200
T,0,208,200
G,0,224,200
N,0,240,200
M,0,256,200
I,0,272,200
F,0,288,200
S,0,304,200
Y,0,320,200
X,0,336,200
C,0,352,200
E,0,368,200
V,0,384,200
Y,0,0,200
N,0,16,200
J,0,32,200
U,0,48,200
B,0,64,200
K,0,80,200
F,0,96,200
E,0,112,200
I,0,128,200
C,0,144,200
P,0,160,200
W,0,176,200
G,0,192,200
M,0,208,200
S,0,224,200
D,0,240,200
L,0,256,200
A,0,272,200
V,0,288,200
O,0,304,200
R,0,320,200
Q,0,336,200
Z,0,352,200
T,0,368,200
H,0,384,200
I,0,0,200
J,0,16,200
E,0,32,200
Y,0,48,200
N,0,64,200
L,0,80,200
S,0,96,200
X,0,112,200
U,0,128,200
W,0,144,200
Z,0,160,200
C,0,176,200
R,0,192,200
P,0,208,200
G,0,224,200
F,0,240,200
D,0,256,200
V,0,272,200
K,0,288,200
B,0,304,200
T,0,320,200
O,0,336,200
M,0,352,200
H,0,368,200
Q,0,384,200
J,0,0,200
L,0,16,200
X,0,32,200
F,0,48,200
T,0,64,200
A,0,80,200
Y,0,96,200
P,0,112,200
E,0,128,200
N,0,144,200
O,0,160,200
S,0,176,200
I,0,192,200
U,0,208,200
W,0,224,200
B,0,240,200
Z,0,256,200
G,0,272,200
D,0,288,200
K,0,304,200
C,0,320,200
Q,0,336,200
H,0,352,200
R,0,368,200
V,0,384,200
R,0,0,200
L,0,16,200
U,0,32,200
P,0,48,200
J,0,64,200
K,0,80,200
M,0,96,200
V,0,112,200
Q,0,128,200
X,0,144,200
G,0,160,200
H,0,176,200
F,0,192,200
E,0,208,200
I,0,224,200
N,0,240,200
Y,0,256,200
W,0,272,200
A,0,288,200
S,0,304,200
C,0,320,200
Z,0,336,200
B,0,352,200
T,0,368,200
O,0,384,200
B,0,0,200
