letter,error,position,length
B,0,0,200
T,0,16,200
X,0,32,200
L,0,48,200
M,0,64,200
E,0,80,200
R,0,96,200
P,0,112,200
Q,0,128,200
J,0,144,200
S,0,160,200
W,0,176,200
A,0,192,200
N,0,208,200
U,0,224,200
D,0,240,200
H,0,256,200
Z,0,272,200
K,0,288,200
Y,0,304,200
F,0,320,200
O,0,336,200
I,0,352,200
G,0,368,200
C,0,384,200
C,0,0,200
O,0,16,200
I,0,32,200
S,0,48,200
L,0,64,200
E,0,80,200
D,0,96,200
W,0,112,200
Y,0,128,200
F,0,144,200
A,0,160,200
M,0,176,200
H,0,192,200
X,0,208,200
V,0,224,200
T,0,240,200
Q,0,256,200
R,0,272,200
N,0,288,200
J,0,304,200
U,0,320,200
P,0,336,200
G,0,352,200
B,0,368,200
K,0,384,200
O,0,0,200
C,0,16,200
R,0,32,200
H,0,48,200
N,0,64,200
I,0,80,200
M,0,96,200
Y,0,112,200
W,0,128,200
K,0,144,200
Z,0,160,200
J,0,176,200
P,0,192,200
V,0,208,200
Q,1,224,200
U,0,240,200
T,0,256,200
L,0,272,200
G,0,288,200
E,0,304,200
B,0,320,200
A,0,336,200
S,0,352,200
D,0,368,200
X,0,384,200
V,0,0,200
I,0,16,200
F,0,32,200
Y,0,48,200
A,0,64,200
N,0,80,200
B,0,96,200
O,0,112,200
D,0,128,200
L,0,144,200
P,0,160,200
Z,0,176,200
J,0,192,200
X,0,208,200
T,0,224,200
Q,0,240,200
K,0,256,200
R,0,272,200
C,0,288,200
U,0,304,200
H,0,320,200
S,0,336,200
W,0,352,200
M,0,368,200
G,0,384,200
I,2,0,200
C,0,16,200
Q,0,32,200
F,0,48,200
N,0,64,200
J,0,80,200
T,0,96,200
M,0,112,200
O,0,128,200
D,0,144,200
G,0,160,200
S,0,176,200
V,0,192,200
Z,0,208,200
L,0,224,200
R,0,240,200
B,0,256,200
X,0,272,200
W,0,288,200
A,0,304,200
H,0,320,200
U,0,336,200
Y,0,352,200
E,0,368,200
P,0,384,200
D,0,0,200
R,0,16,200
I,0,32,200
N,0,48,200
O,0,64,200
C,0,80,200
Y,0,96,200
F,0,112,200
J,0,128,200
T,0,144,200
V,0,160,200
S,0,176,200
M,0,192,200
E,0,208,200
Z,0,224,200
B,0,240,200
L,0,256,200
P,0,272,200
A,0,288,200
G,0,304,200
H,0,320,200
W,0,336,200
X,0,352,200
U,0,368,200
K,0,384,200
D,0,0,200
J,0,16,200
H,0,32,200
F,0,48,200
Y,0,64,200
Q,0,80,200
S,0,96,200
L,0,112,200
I,0,128,200
B,0,144,200
U,0,160,200
P,0,176,200
N,0,192,200
Z,0,208,200
O,0,224,200
G,0,240,200
